"character";"jap text";"Eng";"Esp"
"__system__??";"{PHASE_CG \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{GOLD / 1000 = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{GOLD % 1000 \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY = 16:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{P3フラグ \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[D04] & 1:";"";""
"__system__??";"}";"";""
"menu_label__(L_00627)";"攻撃する";"Attack.";"Ataque."
"menu_label__(L_00627)";"攻撃しない";"Don’t attack.";"No ataque."
"__system__??";"{D03 = 1:";"";""
"__system__??";"{GOLD < D02:";"";""
"__system__??";"} else {";"";""
"__system__??";"{☆戦闘回数 > 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[D04] & 1:";"";""
"__system__??";"}";"";""
"menu_label__(L_008ff)";"迎撃する";"Intercept.";"Interceptar."
"menu_label__(L_008ff)";"迎撃しない";"Don’t intercept.";"No interceptar."
"__system__??";"{D03 = 1:";"";""
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{GOLD < D02:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D01 \ 0:";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[D03] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[D03] & 1:";"";""
"__system__??";"{R予支配[D03] \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D03 & 1:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(D01 = 0) + (D01 > 10):";"";""
"__system__??";"}";"";""
"__system__??";"{KEY \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 6:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 9:";"";""
"__system__??";"}";"";""
"__system__??";"{P3フラグ = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{P3フラグ \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"{P1フラグ = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{P2フラグ = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R治安レベル < 2:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND \ 0:";"";""
"__system__??";"{D03 > 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{P1フラグ \ 0:";"";""
"__system__??";"{P1フラグ = 1:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{P2フラグ \ 0:";"";""
"__system__??";"{P2フラグ = 1:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{P3フラグ \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"{R治安レベル \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{TMP_DAT2[D01] \ 0:";"";""
"__system__??";"{☆社長 > 20:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RND \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[U01] & 1:";"";""
"__system__??";"{TMP_DAT2[U01] = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"{U03 - U02 \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D08 > 4:";"";""
"__system__??";"}";"";""
"__system__??";"{MOUSE = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{R制御[35] & 1:";"";""
"__system__??";"}";"";""
"__system__??";"{D13 \ 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{D08 > 4:";"";""
"__system__??";"}";"";""
"__system__??";"{MOUSE = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY & 64:";"";""
"__system__??";"}";"";""
"__system__??";"{(24 < xPos) * (276 < yPos) * (xPos < 316) * (yPos < 277 + 26 * D03):";"";""
"__system__??";"}";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"{(535 < xPos) * (162 < yPos) * (xPos < 620) * (yPos < 193):";"";""
"__system__??";"}";"";""
"__system__??";"{(545 < xPos) * (270 < yPos) * (xPos < 630) * (yPos < 301) * (R治安レベル \ 0):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{450 < yPos:";"";""
"__system__??";"{(163 < xPos) * (xPos < 440):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
