character,jap text,Eng,Esp
name,”セイネンダンジョシ”,”セイネンダンジョシ”,”セイネンダンジョシ”
name,”チンピラ”,”チンピラ”,”チンピラ”
name,”エリートヤクザ”,”Elite Yakuza”,”Elite Yakuza”
name,”ドスヤクザ”,”ドスヤクザ”,”ドスヤクザ”
name,”タカヤマヤクザ”,”タカヤマヤクザ”,”タカヤマヤクザ”
name,”ジョウフ”,”ジョウフ”,”ジョウフ”
name,”イレズミヤクザ”,”イレズミヤクザ”,”イレズミヤクザ”
name,”ケイビイン”,”ケイビイン”,”ケイビイン”
name,”ノラコーギー”,”ノラコーギー”,”ノラコーギー”
name,”チアンカショクイン”,”チアンカショクイン”,”チアンカショクイン”
name,”ハニー”,”Hanny”,”Hanny”
name,”ナコキョウ オトコ”,”ナコキョウ オトコ”,”ナコキョウ オトコ”
name,”ナコキョウ オンナ”,”ナコキョウ オンナ”,”ナコキョウ オンナ”
name,”パンダ”,”パンダ”,”パンダ”
name,”ジャンキー”,”Junky”,”Junky”
name,”ショウジョ”,”ショウジョ”,”ショウジョ”
name,”ジョシガクセイ”,”ジョシガクセイ”,”ジョシガクセイ”
name,”ワカイシュフ”,”ワカイシュフ”,”ワカイシュフ”
name,”テンイン”,”テンイン”,”テンイン”
name,”モモメイド”,”Peach Maid”,”Peach Maid”
name,”ピーチボーイ”,”Peach boy”,”Peach boy”
name,”ジョセイシカン”,”ジョセイシカン”,”ジョセイシカン”
name,”マンボウ”,”マンボウ”,”マンボウ”
name,”セイネン”,”セイネン”,”セイネン”
name,”オンナノコカイゾク”,”オンナノコカイゾク”,”オンナノコカイゾク”
name,”ヨッパライ”,”ヨッパライ”,”ヨッパライ”
name,”ネズミ”,”ネズミ”,”ネズミ”
name,”サル”,”サル”,”サル”
name,”ダチョウ”,”ダチョウ”,”ダチョウ”
name,”ウィミィヘイシ”,”ウィミィヘイシ”,”ウィミィヘイシ”
name,”カセイロボ”,”カセイロボ”,”カセイロボ”
name,”プルトムゥ”,”プルトムゥ”,”プルトムゥ”
name,”シオブクロ”,”シオブクロ”,”シオブクロ”
name,”カンゴフ”,”カンゴフ”,”カンゴフ”
name,”ウミネコ”,”ウミネコ”,”ウミネコ”
name,”デカキノコ”,”デカキノコ”,”デカキノコ”
name,”シャア”,”シャア”,”シャア”
name,”ダブルハニー”,”ダブルHanny”,”ダブルHanny”
name,”スリーハニー”,”スリーHanny”,”スリーHanny”
name,”チコクペンギン”,”チコクペンギン”,”チコクペンギン”
name,”ネコグルミ”,”ネコグルミ”,”ネコグルミ”
name,”ハナーン”,”ハナーン”,”ハナーン”
name,”ドーベルマン”,”ドーベルマン”,”ドーベルマン”
name,”ハニーホース”,”Hannyホース”,”Hannyホース”
