character,jap text,Eng,Esp
__system__??,{D06 = 1:,,
__system__??,{組織番号 = 1:,,
__system__??,} else {,,
__system__??,{(RETURN = 2) * (D19 = 0):,,
__system__??,{戦闘Ｏ \ 1:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(D06 \ 0) * (RETURN \ 0):,,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{勝点Ａ > 勝点Ｂ:,,
__system__??,} else {,,
__system__??,},,
__system__??,{(D06 = 4) * (勝点Ａ = 勝点Ｂ):,,
__system__??,},,
__system__??,},,
__system__??,{F01 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN \ 1:,,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,{U03 \ 0:,,
__system__??,{(I装備[22] \ 0) * (I装備[22] = U03):,,
__system__??,},,
__system__??,},,
__system__??,{(D11 & 1) * (U01 = 0):,,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,} else {,,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,},,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,{FIG_FLG = 3:,,
__system__??,{D07 < 2:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,{FIG_FLG = 3:,,
__system__??,},,
__system__??,{FIG_FLG > 2:,,
__system__??,},,
__system__??,{FIG_FLG \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{RETURN \ 1:,,
__system__??,{FIG_FLG \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{U03 \ 0:,,
__system__??,},,
__system__??,{(I装備[44] \ 0) * ((I装備[44] = FIG_DAT1[0]) + (I装備[44] = FIG_DAT1[1]) + (I装備[44] = FIG_DAT1[2]) + (I装備[44] = FIG_DAT1[3]) + (I装備[44] = FIG_DAT1[4]) + (I装備[44] = FIG_DAT1[5])):,,
__system__??,{U02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[32] \ 0) * ((I装備[32] = FIG_DAT1[0]) + (I装備[32] = FIG_DAT1[1]) + (I装備[32] = FIG_DAT1[2]) + (I装備[32] = FIG_DAT1[3]) + (I装備[32] = FIG_DAT1[4]) + (I装備[32] = FIG_DAT1[5])):,,
__system__??,{U02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[16] \ 0) * ((I装備[16] = FIG_DAT1[0]) + (I装備[16] = FIG_DAT1[1]) + (I装備[16] = FIG_DAT1[2]) + (I装備[16] = FIG_DAT1[3]) + (I装備[16] = FIG_DAT1[4]) + (I装備[16] = FIG_DAT1[5])):,,
__system__??,{U02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[14] \ 0) * ((I装備[14] = FIG_DAT1[0]) + (I装備[14] = FIG_DAT1[1]) + (I装備[14] = FIG_DAT1[2]) + (I装備[14] = FIG_DAT1[3]) + (I装備[14] = FIG_DAT1[4]) + (I装備[14] = FIG_DAT1[5])):,,
__system__??,{(U02 \ 0) * (U02 = I装備[14]):,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[28] \ 0) * ((I装備[28] = FIG_DAT1[0]) + (I装備[28] = FIG_DAT1[1]) + (I装備[28] = FIG_DAT1[2]) + (I装備[28] = FIG_DAT1[3]) + (I装備[28] = FIG_DAT1[4]) + (I装備[28] = FIG_DAT1[5])):,,
__system__??,{(U02 \ 0) * (U02 = I装備[28]):,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[10] \ 0) * ((I装備[10] = FIG_DAT1[0]) + (I装備[10] = FIG_DAT1[1]) + (I装備[10] = FIG_DAT1[2]) + (I装備[10] = FIG_DAT1[3]) + (I装備[10] = FIG_DAT1[4]) + (I装備[10] = FIG_DAT1[5])):,,
__system__??,{(U02 \ 0) * (U02 = I装備[10]):,,
__system__??,},,
__system__??,},,
__system__??,{(I装備[7] \ 0) * ((I装備[7] = FIG_DAT1[0]) + (I装備[7] = FIG_DAT1[1]) + (I装備[7] = FIG_DAT1[2]) + (I装備[7] = FIG_DAT1[3]) + (I装備[7] = FIG_DAT1[4]) + (I装備[7] = FIG_DAT1[5])):,,
__system__??,{D09 < 10000:,,
__system__??,} else {,,
__system__??,},,
__system__??,{U04 \ 0:,,
__system__??,{B体力[U04] > U01:,,
__system__??,},,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{FIG_DAT2[U03] = 部下Ｂ:,,
__system__??,},,
__system__??,{U07 >= B体力:,,
__system__??,},,
__system__??,{U07 >= B体力:,,
__system__??,{RETURN = 1:,,
__system__??,},,
__system__??,},,
__system__??,{U03 = 0:,,
__system__??,},,
__system__??,{U03 < 6:,,
__system__??,} else if {U03 = 6:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,{撤退可能 \ 0:,,
__system__??,},,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,{FIG_BKCG \ 0:,,
__system__??,},,
__system__??,{FIG_NAME \ 0:,,
__system__??,},,
__system__??,{D09 < 10000:,,
__system__??,} else {,,
__system__??,},,
__system__??,{G制御 & 1:,,
__system__??,{RND \ 0:,,
__system__??,{(U02 = 1) * (U01 = 1):,,
__system__??,},,
__system__??,{(U02 = 2) + (U01 \ 1):,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{組織Ａ \ 1:,,
__system__??,{R青規模 \ 0:,,
__system__??,} else if {DB = 1:,,
__system__??,} else {,,
__system__??,{組織Ａ = 0:,,
__system__??,},,
__system__??,{組織Ｂ = 0:,,
__system__??,},,
