character,jap text,Eng,Esp
__system__??,{KEY \ 0:,,
__system__??,},,
__system__??,{(U01 < 10) + (U02 < 5):,,
__system__??,{SCG[D06] \ 0:,,
__system__??,},,
__system__??,} else {,,
__system__??,{(U02 = 5) * (SVG[26] = 1):,,
__system__??,},,
__system__??,{(U02 = 6) * (SVG[4] > 9999):,,
__system__??,},,
__system__??,{(U02 = 7) * (SVG[2] > 999):,,
__system__??,},,
__system__??,{(U02 = 8) * (SVG[20] \ 0):,,
__system__??,},,
__system__??,{(U02 = 9) * (SVG[28] = 1):,,
__system__??,},,
__system__??,{(U02 = 10) * (SVG[27] = 1):,,
__system__??,},,
__system__??,{U02 = 11:,,
__system__??,},,
__system__??,{(U02 = 12) * ((SVG[31] = 1) + (SVG[32] = 1) + (SVG[33] = 1) + (SVG[34] = 1) + (SVG[35] = 1) + (SVG[36] = 1) + (SVG[37] = 1) + (SVG[38] = 1) + (SVG[39] = 1) + (SVG[40] = 1)):,,
__system__??,},,
__system__??,{U02 = 13:,,
__system__??,},,
__system__??,{U02 = 14:,,
__system__??,},,
__system__??,{(U02 = 15) * (SVG[29] = 1):,,
__system__??,},,
__system__??,},,
__system__??,{SEPL[D02] = 1:,,
__system__??,},,
__system__??,{KEY & 64:,,
__system__??,},,
__system__??,{(11 < yPos) * (yPos < 108):,,
__system__??,{(11 < xPos) * (xPos < 140):,,
__system__??,{63 < xPos:,,
__system__??,},,
__system__??,},,
__system__??,{(153 < xPos) * (xPos < 282):,,
__system__??,{63 < xPos:,,
__system__??,},,
__system__??,},,
__system__??,{(295 < xPos) * (xPos < 424):,,
__system__??,{63 < xPos:,,
__system__??,},,
__system__??,},,
__system__??,{(437 < xPos) * (xPos < 566):,,
__system__??,{63 < xPos:,,
__system__??,},,
__system__??,},,
__system__??,{D01 \ 1000:,,
__system__??,{yPos < 60:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(121 < yPos) * (yPos < 218):,,
__system__??,{(11 < xPos) * (xPos < 140):,,
__system__??,},,
__system__??,{(153 < xPos) * (xPos < 282):,,
__system__??,},,
__system__??,{(295 < xPos) * (xPos < 424):,,
__system__??,},,
__system__??,{(437 < xPos) * (xPos < 566):,,
__system__??,},,
__system__??,{D01 \ 1000:,,
__system__??,{yPos < 170:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(231 < yPos) * (yPos < 328):,,
__system__??,{(11 < xPos) * (xPos < 140):,,
__system__??,},,
__system__??,{(153 < xPos) * (xPos < 282):,,
__system__??,},,
__system__??,{(295 < xPos) * (xPos < 424):,,
__system__??,},,
__system__??,{(437 < xPos) * (xPos < 566):,,
__system__??,},,
__system__??,{D01 \ 1000:,,
__system__??,{yPos < 280:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(341 < yPos) * (yPos < 438):,,
__system__??,{(11 < xPos) * (xPos < 140):,,
__system__??,},,
__system__??,{(153 < xPos) * (xPos < 282):,,
__system__??,},,
__system__??,{(295 < xPos) * (xPos < 424):,,
__system__??,},,
__system__??,{(437 < xPos) * (xPos < 566):,,
__system__??,},,
__system__??,{D01 \ 1000:,,
__system__??,{yPos < 390:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{D01 < 1000:,,
__system__??,{xPos - 142 * (D01 % 4) < 64:,,
__system__??,},,
__system__??,{TMP_DAT1[D01] = 0:,,
__system__??,},,
__system__??,{(D05 = 10) * (D01 > 8):,,
__system__??,},,
__system__??,},,
__system__??,{(572 < xPos) * (xPos < 638):,,
__system__??,{(6 < yPos) * (yPos < 44):,,
__system__??,},,
__system__??,{(46 < yPos) * (yPos < 84):,,
__system__??,},,
__system__??,{(86 < yPos) * (yPos < 124):,,
__system__??,},,
__system__??,{(126 < yPos) * (yPos < 164):,,
__system__??,},,
__system__??,{(166 < yPos) * (yPos < 204):,,
__system__??,},,
__system__??,{(206 < yPos) * (yPos < 244):,,
__system__??,},,
__system__??,{(246 < yPos) * (yPos < 284):,,
__system__??,},,
__system__??,{(286 < yPos) * (yPos < 324):,,
__system__??,},,
__system__??,{(326 < yPos) * (yPos < 364):,,
__system__??,},,
__system__??,{(366 < yPos) * (yPos < 404):,,
__system__??,},,
__system__??,{(406 < yPos) * (yPos < 444):,,
__system__??,},,
__system__??,},,
__system__??,{450 < yPos:,,
__system__??,{(163 < xPos) * (xPos < 440):,,
__system__??,},,
__system__??,},,
__system__??,{whCnt1 \ 1000:,,
__system__??,{whCnt1 < 1000:,,
__system__??,},,
__system__??,{whCnt1 > 1000:,,
__system__??,},,
__system__??,},,
__system__??,{450 < yPos:,,
__system__??,{(163 < xPos) * (xPos < 440):,,
__system__??,},,
__system__??,},,
__system__??,{(D01 \ D02) + (D03 \ D04):,,
__system__??,{D02 \ 1000:,,
__system__??,},,
__system__??,{D01 \ 1000:,,
__system__??,},,
__system__??,},,
__system__??,{U02 = 0:,,
__system__??,{(D01 < 1000) * (D01 = D02):,,
__system__??,},,
__system__??,{U01 < 1000:,,
__system__??,},,
__system__??,{(1000 < U01) * (U01 < 2000):,,
__system__??,},,
__system__??,{U01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,{U02 = 1:,,
__system__??,{U01 < 1000:,,
__system__??,{(D01 \ D02) + (D03 \ 0):,,
__system__??,},,
__system__??,{(D05 < 10) + (U01 < 5):,,
__system__??,{TMP_DAT1[D01] \ 0:,,
__system__??,{D03 = 0:,,
__system__??,} else if {D03 = 1:,,
__system__??,} else if {D03 = 2:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(1000 < U01) * (U01 < 2000):,,
__system__??,},,
__system__??,{U01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,{U02 = 2:,,
__system__??,{U01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,{KEY = 16:,,
__system__??,{D01 = 1000:,,
__system__??,},,
__system__??,{D01 < 1000:,,
__system__??,{(D05 < 10) + (D01 < 5):,,
__system__??,{D03 = 0:,,
__system__??,} else if {TMP_DAT1[D01] \ 0:,,
__system__??,{D03 = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,} else {,,
__system__??,},,
__system__??,} else if {TMP_DAT1[D01] \ 0:,,
__system__??,{D01 = 5:,,
__system__??,},,
__system__??,{D01 = 6:,,
__system__??,},,
__system__??,{D01 = 7:,,
__system__??,},,
__system__??,{D01 = 8:,,
__system__??,},,
__system__??,{D01 = 9:,,
__system__??,},,
__system__??,{D01 = 10:,,
__system__??,},,
__system__??,{D01 = 11:,,
__system__??,},,
__system__??,{D01 = 12:,,
__system__??,},,
__system__??,{D01 = 13:,,
__system__??,},,
__system__??,{D01 = 14:,,
__system__??,{KEY \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 15:,,
__system__??,},,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,{(1000 < D01) * (D01 < 2000):,,
__system__??,},,
__system__??,{D01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,{KEY = 32:,,
__system__??,},,
__system__??,{KEY = 16:,,
__system__??,{D01 = 1000:,,
__system__??,},,
__system__??,{D01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,{KEY = 32:,,
__system__??,},,
__system__??,{D05 < 11:,,
__system__??,},,
__system__??,{(D05 < 10) + (U01 < 5):,,
__system__??,{SCG[D06] \ 0:,,
__system__??,},,
__system__??,} else {,,
__system__??,{(U01 = 5) * (SVG[26] = 1):,,
__system__??,},,
__system__??,{(U01 = 6) * (SVG[4] > 9999):,,
__system__??,},,
__system__??,{(U01 = 7) * (SVG[2] > 999):,,
__system__??,},,
__system__??,{(U01 = 8) * (SVG[20] \ 0):,,
__system__??,},,
__system__??,{(U01 = 9) * (SVG[28] = 1):,,
__system__??,},,
__system__??,{(U01 = 10) * (SVG[27] = 1):,,
__system__??,},,
__system__??,{U01 = 11:,,
__system__??,},,
__system__??,{(U01 = 12) * ((SVG[31] = 1) + (SVG[32] = 1) + (SVG[33] = 1) + (SVG[34] = 1) + (SVG[35] = 1) + (SVG[36] = 1) + (SVG[37] = 1) + (SVG[38] = 1) + (SVG[39] = 1) + (SVG[40] = 1)):,,
__system__??,},,
__system__??,{U01 = 13:,,
__system__??,},,
__system__??,{U01 = 14:,,
__system__??,},,
__system__??,{(U01 = 15) * (SVG[29] = 1):,,
__system__??,},,
__system__??,},,
__system__??,{RND = 105:,,
__system__??,},,
__system__??,{RND = 72:,,
__system__??,},,
__system__??,{RND = 28:,,
__system__??,},,
__system__??,{U01 < 2003:,,
narrator,インターネットに接続します。 よろしいでしょうか？,May I connect to the Internet?,¿Puedo conectarme a Internet?
narrator,はい,Yes.,Sí.
narrator,いいえ,No.,No.
__system__??,{U01 = 1:,,
__system__??,},,
__system__??,} else {,,
narrator,アンケート期間は終了しました。 また次の機会にはお願いします。,The survey period has ended Ryou. Please come back next time.,"El periodo de encuesta ha terminado Ryou. Por favor, vuelva la próxima vez."
__system__??,},,
