"character","jap text","Eng","Esp"
"__system__??","{KEY \ 0:","",""
"__system__??","}","",""
"__system__??","{R制御[35] & 1:","",""
"__system__??","}","",""
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","{D08 > 4:","",""
"__system__??","}","",""
"__system__??","{(MOUSE = 1) * (D03 & 1024) = 0:","",""
"__system__??","}","",""
"__system__??","{KEY & 64:","",""
"__system__??","}","",""
"__system__??","{(301 < xPos) * (xPos < 620):","",""
"__system__??","{(45 < yPos) * (yPos < 449):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(COM_FLG = 0) * (D04 \ 0) * (257 < xPos) * (xPos < 302):","",""
"__system__??","{(45 < yPos) * (yPos < 449):","",""
"__system__??","}","",""
"__system__??","{D01 \ D02:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(618 < xPos) * (46 < yPos) * (yPos < 68):","",""
"__system__??","}","",""
"__system__??","{(618 < xPos) * (429 < yPos) * (yPos < 451):","",""
"__system__??","}","",""
"__system__??","{(618 < xPos) * (67 < yPos) * (yPos < 430) * (D08 > 4):","",""
"__system__??","{RND \ 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(309 < xPos) * (3 < yPos) * (xPos < 446) * (yPos < 43):","",""
"__system__??","}","",""
"__system__??","{(D04 \ 0) * (7 < xPos) * (3 < yPos) * (xPos < 310) * (yPos < 43):","",""
"__system__??","}","",""
"__system__??","{(451 < xPos) * (3 < yPos) * (xPos < 521) * (yPos < 43) * (D06 \ 0):","",""
"__system__??","}","",""
"__system__??","{(522 < xPos) * (3 < yPos) * (xPos < 592) * (yPos < 43) * (D06 = 0):","",""
"__system__??","}","",""
"__system__??","{(597 < xPos) * (3 < yPos) * (xPos < 636) * (yPos < 43) * (COM_FLG = 0):","",""
"__system__??","}","",""
"__system__??","{450 < yPos:","",""
"__system__??","{(xPos < 162) * (D03 & 1024 = 0):","",""
"__system__??","}","",""
"__system__??","{(163 < xPos) * (xPos < 302):","",""
"__system__??","}","",""
"__system__??","{(301 < xPos) * (xPos < 371):","",""
"__system__??","}","",""
"__system__??","{(370 < xPos) * (xPos < 440):","",""
"__system__??","}","",""
"__system__??","{(D03 & 1024) * (D01 > 4000):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{whCnt1 \ 1000:","",""
"__system__??","{whCnt1 < 1000:","",""
"__system__??","}","",""
"__system__??","{whCnt1 > 1000:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 0:","",""
"__system__??","}","",""
"__system__??","{((D01 < 2000) + (3000 < D01)) * (D01 \ 3005):","",""
"__system__??","}","",""
"__system__??","{(D01 \ D02) + (D04 \ D05):","",""
"__system__??","{D02 \ 1000:","",""
"__system__??","}","",""
"__system__??","{D01 \ 1000:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 0:","",""
"__system__??","{U01 / 1000 = 2:","",""
"__system__??","{D01 \ D02:","",""
"__system__??","{COM_FLG = 0:","",""
"__system__??","}","",""
"__system__??","{COM_FLG = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 / 1000 = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U01 = 3001:","",""
"__system__??","}","",""
"__system__??","{U01 = 3002:","",""
"__system__??","}","",""
"__system__??","{U01 = 3003:","",""
"__system__??","}","",""
"__system__??","{U01 = 3005:","",""
"__system__??","{D01 = 3005:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U01 = 3006:","",""
"__system__??","}","",""
"__system__??","{U01 = 3007:","",""
"__system__??","}","",""
"__system__??","{U01 = 3008:","",""
"__system__??","}","",""
"__system__??","{U01 = 4000:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4003:","",""
"__system__??","}","",""
"__system__??","{U01 = 4004:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 1:","",""
"__system__??","{U01 / 1000 = 2:","",""
"__system__??","{D01 \ D02:","",""
"__system__??","}","",""
"__system__??","{(COM_FLG = 0) * (U03 \ 0):","",""
"__system__??","{D04 < 2:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D02 / 1000 = 2:","",""
"__system__??","}","",""
"__system__??","{D01 \ D02:","",""
"__system__??","{COM_FLG = 0:","",""
"__system__??","}","",""
"__system__??","{COM_FLG = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{KEY = 16:","",""
"__system__??","{U01 = 3001:","",""
"__system__??","}","",""
"__system__??","{U01 = 3002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U01 = 3003:","",""
"__system__??","}","",""
"__system__??","{U01 = 3005:","",""
"__system__??","{D04 > 1:","",""
"__system__??","}","",""
"__system__??","{D04 < 2:","",""
"__system__??","}","",""
"__system__??","{SORT \ 1:","",""
"__system__??","}","",""
"__system__??","{SORT \ 2:","",""
"__system__??","}","",""
"__system__??","{SORT \ 3:","",""
"__system__??","}","",""
"__system__??","{SORT \ 4:","",""
"__system__??","}","",""
"__system__??","{D04 > 1:","",""
"__system__??","}","",""
"__system__??","{D02 = 3005:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(U01 > 3005) * (U01 \ 4000):","",""
"__system__??","}","",""
"__system__??","{U01 = 3006:","",""
"__system__??","}","",""
"__system__??","{U01 = 3007:","",""
"__system__??","}","",""
"__system__??","{U01 = 3008:","",""
"__system__??","}","",""
"__system__??","{U01 = 4000:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4003:","",""
"__system__??","}","",""
"__system__??","{U01 = 4004:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 2:","",""
"__system__??","{U01 / 1000 = 2:","",""
"__system__??","}","",""
"__system__??","{U01 = 3006:","",""
"__system__??","}","",""
"__system__??","{U01 = 3007:","",""
"__system__??","}","",""
"__system__??","{U01 = 3008:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4003:","",""
"__system__??","}","",""
"__system__??","{U01 = 4004:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{yPos \ yPos2:","",""
"__system__??","{yPos2 < VY:","",""
"__system__??","}","",""
"__system__??","{yPos < VY:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 0:","",""
"__system__??","} else {","",""
"__system__??","{yPos - 68 - D09 + D10 < 362:","",""
"__system__??","}","",""
"__system__??","{yPos - 68 - D09 + D10 > 361:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{KEY = 16:","",""
"__system__??","{(D01 = 1000) + (D01 = 4000):","",""
"__system__??","}","",""
"__system__??","{(2000 < D01) * (D01 < 2005):","",""
"__system__??","{TMP_DAT2[D07 + D01] \ 0:","",""
"__system__??","{COM_FLG = 0:","",""
"__system__??","{D04 = 2:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{COM_FLG = 1:","",""
"__system__??","{Bキャラ = 1:","",""
"__system__??","}","",""
"??","削除する","Delete.","Borrar."
"??","削除しない","Not delete.","No borrar."
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","}","",""
"__system__??","{R制御[35] & 1:","",""
"__system__??","}","",""
"__system__??","{D08 > 4:","",""
"__system__??","}","",""
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(3000 < D01) * (D01 < 3003):","",""
"__system__??","{D08 > 4:","",""
"__system__??","{(D01 = 3001) * (D07 \ 0):","",""
"__system__??","}","",""
"__system__??","{(D01 = 3002) * (D07 < D08 - 4):","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 3003:","",""
"__system__??","{(yPos - 68 - D09) * 100 / RND \ D07:","",""
"__system__??","{D07 > D08 - 4:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 3004:","",""
"__system__??","{D08 > 4:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 3005:","",""
"__system__??","{D04 > 1:","",""
"__system__??","{D08 > 4:","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 3006:","",""
"__system__??","}","",""
"__system__??","{D01 = 3007:","",""
"__system__??","}","",""
"__system__??","{D01 = 3008:","",""
"__system__??","}","",""
"__system__??","{(D01 = 4001) + (D01 = 4004):","",""
"__system__??","}","",""
"__system__??","{D01 = 4002:","",""
"__system__??","}","",""
"__system__??","{D01 = 4003:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{KEY = 32:","",""
"__system__??","{(COM_FLG = 0) + (D03 & 1024):","",""
"__system__??","{D03 & 1024 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","{(2000 < D01) * (D01 < 2005):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{部下番号 \ 0:","",""
"__system__??","}","",""
"__system__??","{D06 = 0:","",""
"__system__??","{U06 \ 0:","",""
"__system__??","}","",""
"__system__??","{I装備[14] = 部下番号:","",""
"__system__??","}","",""
"__system__??","{I装備[28] = 部下番号:","",""
"__system__??","}","",""
"__system__??","{B最大体力 < 101:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","{B忠誠心 < 20:","",""
"__system__??","}","",""
"__system__??","{U04 > 3:","",""
"__system__??","}","",""
"__system__??","}","",""
