"character";"jap text";"Eng";"Esp"
"__system__??";"{KEY \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{D04 \ 0:";"";""
"__system__??";"{(S調教レベル[D04] \ D05) + (S調教補正値[D04] \ D06):";"";""
"__system__??";"{S調教レベル[D04] \ D05:";"";""
"__system__??";"{(S調教レベル[D04] > 2) * (S娼婦状態[D04] = 11):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{MOUSE = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{KEY & 64:";"";""
"__system__??";"}";"";""
"__system__??";"{(7 < yPos) * (yPos < 104):";"";""
"__system__??";"{(6 < xPos) * (xPos < 103):";"";""
"__system__??";"}";"";""
"__system__??";"{(113 < xPos) * (xPos < 210):";"";""
"__system__??";"}";"";""
"__system__??";"{(220 < xPos) * (xPos < 317):";"";""
"__system__??";"}";"";""
"__system__??";"{(327 < xPos) * (xPos < 424):";"";""
"__system__??";"}";"";""
"__system__??";"{(434 < xPos) * (xPos < 531):";"";""
"__system__??";"}";"";""
"__system__??";"{(541 < xPos) * (xPos < 638):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(117 < yPos) * (yPos < 214):";"";""
"__system__??";"{(6 < xPos) * (xPos < 103):";"";""
"__system__??";"}";"";""
"__system__??";"{(113 < xPos) * (xPos < 210):";"";""
"__system__??";"}";"";""
"__system__??";"{(220 < xPos) * (xPos < 317):";"";""
"__system__??";"}";"";""
"__system__??";"{(327 < xPos) * (xPos < 424):";"";""
"__system__??";"}";"";""
"__system__??";"{(434 < xPos) * (xPos < 531):";"";""
"__system__??";"}";"";""
"__system__??";"{(541 < xPos) * (xPos < 638):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(227 < yPos) * (yPos < 324):";"";""
"__system__??";"{(6 < xPos) * (xPos < 103):";"";""
"__system__??";"}";"";""
"__system__??";"{(113 < xPos) * (xPos < 210):";"";""
"__system__??";"}";"";""
"__system__??";"{(220 < xPos) * (xPos < 317):";"";""
"__system__??";"}";"";""
"__system__??";"{(327 < xPos) * (xPos < 424):";"";""
"__system__??";"}";"";""
"__system__??";"{(434 < xPos) * (xPos < 531):";"";""
"__system__??";"}";"";""
"__system__??";"{(541 < xPos) * (xPos < 638):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(337 < yPos) * (yPos < 434):";"";""
"__system__??";"{(6 < xPos) * (xPos < 103):";"";""
"__system__??";"}";"";""
"__system__??";"{(113 < xPos) * (xPos < 210):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 0:";"";""
"__system__??";"{(231 < xPos) * (337 < yPos) * (xPos < 457) * (yPos < 446):";"";""
"__system__??";"}";"";""
"__system__??";"{(351 < xPos) * (343 < yPos) * (xPos < 447) * (yPos < 440):";"";""
"__system__??";"}";"";""
"__system__??";"{(241 < xPos) * (343 < yPos) * (xPos < 338) * (yPos < 440):";"";""
"__system__??";"}";"";""
"__system__??";"{(467 < xPos) * (340 < yPos) * (xPos < 580) * (yPos < 388):";"";""
"__system__??";"}";"";""
"__system__??";"{(467 < xPos) * (395 < yPos) * (xPos < 580) * (yPos < 443):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{450 < yPos:";"";""
"__system__??";"{(COM_FLG = 0) * (xPos < 162):";"";""
"__system__??";"}";"";""
"__system__??";"{(163 < xPos) * (xPos < 302):";"";""
"__system__??";"}";"";""
"__system__??";"{(301 < xPos) * (xPos < 440):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D01 \ D02:";"";""
"__system__??";"{D02 \ 1000:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 \ 1000:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{U02 = 0:";"";""
"__system__??";"{U01 < 1000:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 1001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 1002:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 2001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 2002:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4000:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4002:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{U02 = 1:";"";""
"__system__??";"{U01 < 1000:";"";""
"__system__??";"{COM_FLG = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 2:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(U01 > 1000) * (U01 \ 4000):";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 1001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 1002:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 2001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 2002:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4000:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4002:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{U02 = 2:";"";""
"__system__??";"{U01 = 2001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 2002:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4001:";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 4002:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(xPos \ xPos2) + (yPos \ yPos2):";"";""
"__system__??";"{(xPos < VX - 13) * (yPos < VY - 34):";"";""
"__system__??";"{xPos2 < VX:";"";""
"__system__??";"}";"";""
"__system__??";"{xPos < VX:";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{U03 = 0:";"";""
"__system__??";"{xPos < VX:";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{KEY = 16:";"";""
"__system__??";"{(D01 = 1000) + (D01 = 4000):";"";""
"__system__??";"}";"";""
"__system__??";"{D01 < 1000:";"";""
"__system__??";"{COM_FLG = 0:";"";""
"__system__??";"{(S制御[1 + D01] & 1) * (S娼婦状態[1 + D01] \ 0):";"";""
"__system__??";"{S娼婦状態 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{KEY = 16:";"";""
"__system__??";"{D01 < 1000:";"";""
"__system__??";"{S制御[1 + D01] & 1:";"";""
"__system__??";"{(D10 = 11) * (S調教レベル[1 + D01] < 3) + (D10 \ 11) * (S調教レベル[1 + D01] > 0):";"";""
"__system__??";"{D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{D11 \ 0:";"";""
"__system__??";"{D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"{D09 < 1000:";"";""
"__system__??";"} else if {D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"{D09 < 1000:";"";""
"__system__??";"} else if {D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else if {(1000 < D01) * (D01 < 1004):";"";""
"__system__??";"{D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"{D09 < 1000:";"";""
"__system__??";"} else if {D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"{D09 < 1000:";"";""
"__system__??";"} else if {D10 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 1:";"";""
"__system__??";"{S制御[1 + D01] & 1:";"";""
"??";"削除する";"Delete";"Borrar."
"??";"削除しない";"Not delete.";"No borrar."
"__system__??";"{S娼婦状態 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{S娼婦状態 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 2:";"";""
"__system__??";"{(S調教レベル[1 + D01] \ 0) * (☆貴神 > 2):";"";""
"??";"払い下げる";"Pay off";"Pagar"
"??";"払い下げない";"Not pay off";"No pagar"
"__system__??";"{S娼婦状態 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{S娼婦状態 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 1001:";"";""
"__system__??";"{D07 \ 0:";"";""
"__system__??";"{KEY = 16:";"";""
"__system__??";"{D01 < 1000:";"";""
"__system__??";"{(S制御[1 + D01] & 1) * (S調教レベル[1 + D01] < 3):";"";""
"__system__??";"{D11 \ 0:";"";""
"__system__??";"{D11 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else if {(1000 < D01) * (D01 < 1004):";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 1002:";"";""
"__system__??";"{D08 \ 0:";"";""
"__system__??";"{KEY = 16:";"";""
"__system__??";"{D01 < 1000:";"";""
"__system__??";"{(S制御[1 + D01] & 1) * (S調教レベル[1 + D01] > 0):";"";""
"__system__??";"{D11 \ 0:";"";""
"__system__??";"{D11 = 11:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{U01 = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else if {(1000 < D01) * (D01 < 1004):";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 2001:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 2002:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 4001:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 4002:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{KEY = 32:";"";""
"__system__??";"{COM_FLG = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"{COM_FLG = 1:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{D01 < 1000:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{S調教レベル[U03] = 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"{U06 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 1:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{COM_FLG = 2:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{S制御[U02] & 1:";"";""
"__system__??";"{U05 > 500:";"";""
