character,jap text,Eng,Esp
__system__??,{MES_FLG < 9:,,
__system__??,},,
__system__??,{MES_FLG > 7:,,
__system__??,},,
__system__??,{RND & 32:,,
__system__??,{D01 \ 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,{RND & 64:,,
__system__??,},,
__system__??,{(F10 = 0) * ((xPos < 3) + (yPos < 3) + (VX - 3 < xPos) + (VY - 3 < yPos)):,,
__system__??,},,
__system__??,{(F10 = 1) * (2 < xPos) * (2 < yPos) * (xPos < VX - 2) * (yPos < VY - 2):,,
__system__??,},,
__system__??,{MES_FLG < 9:,,
__system__??,},,
__system__??,{MES_FLG > 7:,,
__system__??,},,
__system__??,{RND & 64:,,
__system__??,},,
__system__??,{(F10 = 0) * ((xPos < 3) + (yPos < 3) + (VX - 3 < xPos) + (VY - 3 < yPos)):,,
__system__??,},,
__system__??,{(F10 = 1) * (2 < xPos) * (2 < yPos) * (xPos < VX - 2) * (yPos < VY - 2):,,
__system__??,},,
__system__??,{MES_FLG < 9:,,
__system__??,},,
__system__??,{MES_FLG = 8:,,
__system__??,},,
__system__??,{MES_FLG = 9:,,
__system__??,},,
__system__??,{MES_FLG \ 8:,,
__system__??,} else {,,
__system__??,},,
__system__??,{F04 \ 0:,,
__system__??,},,
__system__??,{F04 \ 0:,,
__system__??,},,
__system__??,{F03 < 1000:,,
__system__??,},,
__system__??,{F03 < 100:,,
__system__??,},,
__system__??,{F03 < 10:,,
__system__??,},,
__system__??,{RND & 32:,,
__system__??,{D01 \ 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,{RND & 64:,,
__system__??,},,
__system__??,{RND & 64:,,
__system__??,},,
__system__??,{D01 < D02:,,
__system__??,},,
__system__??,{D01 > D02:,,
__system__??,},,
__system__??,{F09 \ 0:,,
__system__??,},,
__system__??,{D01 < D02:,,
__system__??,},,
__system__??,{D01 > D02:,,
__system__??,},,
__system__??,{D01 < D02:,,
__system__??,},,
__system__??,{D01 > D02:,,
__system__??,},,
__system__??,{SEL_FLG = 0:,,
__system__??,{SEL_OPN \ 0:,,
__system__??,{(D01 < 11) + (D01 = 14):,,
__system__??,{D01 = 5:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{SEL_FLG \ 0:,,
__system__??,{(SEL_FLG = 1) + (SEL_FLG = 5):,,
__system__??,{SEL_FLG = 5:,,
__system__??,},,
__system__??,},,
__system__??,{SEL_FLG = 2:,,
__system__??,},,
__system__??,{SEL_FLG = 11:,,
__system__??,},,
__system__??,{SEL_FLG = 12:,,
__system__??,},,
__system__??,{SEL_FLG = 13:,,
__system__??,},,
__system__??,{SEL_FLG = 14:,,
__system__??,},,
__system__??,{SEL_FLG = 20:,,
__system__??,},,
__system__??,},,
__system__??,{MES_FLG > 7:,,
__system__??,},,
__system__??,{(MES_OPN \ 0) * ((MES_FLG = 0) + (D02 \ MES_FLG)):,,
__system__??,{D02 < 8:,,
__system__??,},,
__system__??,},,
__system__??,{MES_FLG \ 0:,,
__system__??,{(D02 = MES_FLG) * (D01 < 10):,,
__system__??,},,
__system__??,{MES_FLG = 1:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 2:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 3:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 4:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 5:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 6:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 7:,,
__system__??,{D01 < 10:,,
__system__??,},,
__system__??,} else if {MES_FLG = 8:,,
__system__??,{D01 < 10:,,
