character,jap text,Eng,Esp
__system__??,{G制御 & 4:,,
__system__??,},,
__system__??,{G制御 & 8:,,
__system__??,},,
__system__??,{DB = 1:,,
narrator,［［　,［［　,［［　
narrator,の配置アルゴリズム開始　］］,Placement algorithm begins　］］,Comienza el algoritmo de colocación　］］
__system__??,},,
__system__??,{DB = 1:,,
__system__??,},,
__system__??,{R制御[D01] & 1:,,
__system__??,{R支配[D01] = 組織番号:,,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,{RND = 2:,,
__system__??,},,
__system__??,{RND = 3:,,
__system__??,},,
__system__??,{RND = 4:,,
__system__??,},,
__system__??,{RND = 5:,,
__system__??,},,
__system__??,{RND < D02:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{DB = 1:,,
narrator,［［　,［［　,［［　
narrator,の戦略アルゴリズム開始　］］,Start of strategy algorithm　］］,Inicio del algoritmo estratégico.　］］
__system__??,},,
__system__??,{D02 = 0:,,
__system__??,{(R制御[D03] & 1) * (TMP_DAT2[D03] = 0):,,
__system__??,{R支配 = 組織番号:,,
__system__??,{RND \ 0:,,
__system__??,{D02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(D02 = 0) * (★★わかめ \ 1):,,
__system__??,{(R制御[D03] & 1) * (TMP_DAT2[D03] = 0):,,
__system__??,{R支配 = 1:,,
__system__??,{RND \ 0:,,
__system__??,{D02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{D02 = 0:,,
__system__??,{(R制御[D03] & 1) * (TMP_DAT2[D03] = 0):,,
__system__??,{R支配 = 1:,,
__system__??,{D05 = 1:,,
__system__??,},,
__system__??,{D05 = 2:,,
__system__??,},,
__system__??,{D05 = 3:,,
__system__??,},,
__system__??,{D05 = 4:,,
__system__??,},,
__system__??,{D05 = 5:,,
__system__??,},,
__system__??,{D05 = 6:,,
__system__??,},,
__system__??,{DB = 1:,,
__system__??,},,
__system__??,{R支配[D04] = 組織番号:,,
__system__??,{G制御[D07] & 1:,,
__system__??,},,
__system__??,{D06 = 0:,,
__system__??,{D02 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{D02 = 0:,,
__system__??,{RND = 0:,,
