character,jap text,Eng,Esp
__system__??,{KEY \ 0:,,
__system__??,},,
__system__??,{KEY = 0:,,
__system__??,},,
__system__??,{(507 < xPos) * (137 < yPos) * (xPos < 636) * (yPos < 162):,,
__system__??,},,
__system__??,{(507 < xPos) * (167 < yPos) * (xPos < 636) * (yPos < 192):,,
__system__??,},,
__system__??,{(487 < xPos) * (197 < yPos) * (xPos < 507) * (yPos < 222):,,
__system__??,},,
__system__??,{(507 < xPos) * (197 < yPos) * (xPos < 550) * (yPos < 222):,,
__system__??,},,
__system__??,{(550 < xPos) * (197 < yPos) * (xPos < 593) * (yPos < 222):,,
__system__??,},,
__system__??,{(593 < xPos) * (197 < yPos) * (xPos < 636) * (yPos < 222):,,
__system__??,},,
__system__??,{(507 < xPos) * (227 < yPos) * (xPos < 593) * (yPos < 252):,,
__system__??,},,
__system__??,{(507 < xPos) * (257 < yPos) * (xPos < 593) * (yPos < 282):,,
__system__??,},,
__system__??,{(507 < xPos) * (287 < yPos) * (xPos < 593) * (yPos < 312):,,
__system__??,},,
__system__??,{(507 < xPos) * (327 < yPos) * (xPos < 636) * (yPos < 352):,,
__system__??,},,
__system__??,{(592 < xPos) * (229 < yPos) * (xPos < 613) * (yPos < 250):,,
__system__??,},,
__system__??,{(614 < xPos) * (229 < yPos) * (xPos < 635) * (yPos < 250):,,
__system__??,},,
__system__??,{(592 < xPos) * (259 < yPos) * (xPos < 613) * (yPos < 280):,,
__system__??,},,
__system__??,{(614 < xPos) * (259 < yPos) * (xPos < 635) * (yPos < 280):,,
__system__??,},,
__system__??,{(592 < xPos) * (289 < yPos) * (xPos < 613) * (yPos < 310):,,
__system__??,},,
__system__??,{(614 < xPos) * (289 < yPos) * (xPos < 635) * (yPos < 310):,,
__system__??,},,
__system__??,{(255 < xPos) * (127 < yPos) * (xPos < 384) * (yPos < 164):,,
__system__??,},,
__system__??,{(255 < xPos) * (243 < yPos) * (xPos < 384) * (yPos < 280):,,
__system__??,},,
__system__??,{(255 < xPos) * (359 < yPos) * (xPos < 384) * (yPos < 396):,,
__system__??,},,
__system__??,{(255 < xPos) * (475 < yPos) * (xPos < 384) * (yPos < 512):,,
__system__??,},,
__system__??,{(329 < xPos) * (167 < yPos) * (xPos < 354) * (yPos < 192):,,
__system__??,},,
__system__??,{(329 < xPos) * (283 < yPos) * (xPos < 354) * (yPos < 308):,,
__system__??,},,
__system__??,{(329 < xPos) * (399 < yPos) * (xPos < 354) * (yPos < 424):,,
__system__??,},,
__system__??,{(355 < xPos) * (167 < yPos) * (xPos < 380) * (yPos < 192):,,
__system__??,},,
__system__??,{(355 < xPos) * (283 < yPos) * (xPos < 380) * (yPos < 308):,,
__system__??,},,
__system__??,{(355 < xPos) * (399 < yPos) * (xPos < 380) * (yPos < 424):,,
__system__??,},,
__system__??,{(506 < xPos) * (369 < yPos) * (xPos < 637) * (yPos < 394):,,
__system__??,},,
__system__??,{(506 < xPos) * (400 < yPos) * (xPos < 637) * (yPos < 425):,,
__system__??,},,
__system__??,{(506 < xPos) * (431 < yPos) * (xPos < 637) * (yPos < 456):,,
__system__??,},,
__system__??,{(514 < xPos) * (457 < yPos) * (xPos < 539) * (yPos < 482):,,
__system__??,},,
__system__??,{(540 < xPos) * (457 < yPos) * (xPos < 565) * (yPos < 482):,,
__system__??,},,
__system__??,{(514 < xPos) * (483 < yPos) * (xPos < 539) * (yPos < 508):,,
__system__??,},,
__system__??,{(540 < xPos) * (483 < yPos) * (xPos < 565) * (yPos < 508):,,
__system__??,},,
__system__??,{(578 < xPos) * (457 < yPos) * (xPos < 603) * (yPos < 482):,,
__system__??,},,
__system__??,{(604 < xPos) * (457 < yPos) * (xPos < 629) * (yPos < 482):,,
__system__??,},,
__system__??,{(578 < xPos) * (483 < yPos) * (xPos < 603) * (yPos < 508):,,
__system__??,},,
__system__??,{(604 < xPos) * (483 < yPos) * (xPos < 629) * (yPos < 508):,,
__system__??,},,
__system__??,{(390 < xPos) * (365 < yPos) * (xPos < 493) * (yPos < 390):,,
__system__??,},,
__system__??,{KEY = 16:,,
__system__??,{(1000 < D01) * (D01 < 1011):,,
__system__??,{D01 = 1001:,,
__system__??,{RND \ 0:,,
__system__??,{(3000 < RND) * (RND < 3301):,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1002:,,
__system__??,{RND \ 0:,,
__system__??,{(3600 < RND) * (RND < 4001) + (RND = 0):,,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(1002 < D01) * (D01 < 1007):,,
__system__??,{D01 = 1003:,,
__system__??,},,
__system__??,{D01 = 1004:,,
__system__??,},,
__system__??,{D01 = 1005:,,
__system__??,},,
__system__??,{D01 = 1006:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1007:,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1008:,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1010:,,
__system__??,{RND \ 0:,,
__system__??,{(3000 < RND) * (RND < 3301):,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(1010 < D01) * (D01 < 1999):,,
__system__??,{D01 = 1011:,,
__system__??,{ANI_DAT[ANI_PNT2 + 2] < 16:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1012:,,
__system__??,{ANI_DAT[ANI_PNT2 + 2] > 1:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1013:,,
__system__??,{ANI_DAT[ANI_PNT2 + 3] < 16:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1014:,,
__system__??,{ANI_DAT[ANI_PNT2 + 3] \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1015:,,
__system__??,{ANI_DAT[ANI_PNT2 + 4] < 10000 + 100:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 1016:,,
__system__??,{ANI_DAT[ANI_PNT2 + 4] > 10000 - 100:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(2000 < D01) * (D01 < 2999):,,
__system__??,{D01 = 2001:,,
__system__??,{D05 < 3:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 2002:,,
__system__??,{D05 > 0:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 2003:,,
__system__??,{D05 < D06 - 3:,,
__system__??,},,
__system__??,},,
__system__??,{D01 = 2004:,,
__system__??,{D05 > D06 - 3:,,
__system__??,},,
__system__??,},,
__system__??,{(2004 < D01) * (D01 < 2008):,,
__system__??,},,
__system__??,{(2007 < D01) * (D01 < 2011):,,
__system__??,},,
__system__??,},,
__system__??,{(3000 < D01) * (D01 < 4999):,,
__system__??,{D01 = 3001:,,
__system__??,},,
__system__??,{D01 = 3002:,,
__system__??,},,
__system__??,{D01 = 3003:,,
__system__??,},,
__system__??,{D01 = 3004:,,
__system__??,},,
__system__??,{D01 = 3006:,,
__system__??,},,
__system__??,{D01 = 3007:,,
__system__??,},,
__system__??,{D01 = 3008:,,
__system__??,},,
__system__??,{D01 = 3010:,,
__system__??,},,
__system__??,{D01 = 3011:,,
__system__??,},,
__system__??,{D01 = 4001:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{KEY > 31:,,
__system__??,},,
__system__??,{U01 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{U01 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{U01 = 0:,,
__system__??,},,
__system__??,{U01 = 1:,,
__system__??,},,
__system__??,{U01 = 2:,,
__system__??,},,
__system__??,{U01 = 3:,,
__system__??,},,
__system__??,{ANI_DAT[ANI_PNT2 + 1] = 0:,,
__system__??,},,
__system__??,{ANI_DAT[ANI_PNT2 + 1] = 3:,,
__system__??,},,
__system__??,{U01 < 10000:,,
??,-,-,-
__system__??,},,
__system__??,{U01 = 10000:,,
__system__??,},,
__system__??,{U01 > 10000:,,
??,+,+,+
__system__??,},,
__system__??,{U01 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{U02 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{U03 = ANI_DAT[ANI_PNT2 + 5]:,,
__system__??,},,
__system__??,{(D07 = 1) * (D08 = 2):,,
__system__??,},,
__system__??,{(D07 = 2) * (D08 = 1):,,
__system__??,},,
__system__??,{(D07 = 1) * (D08 = 1):,,
__system__??,},,
__system__??,{(D07 = 2) * (D08 = 2):,,
__system__??,},,
__system__??,{D07 = 1:,,
__system__??,},,
__system__??,{D07 = 2:,,
__system__??,},,
__system__??,{D07 = 3:,,
__system__??,},,
__system__??,{D08 = 1:,,
__system__??,},,
__system__??,{D08 = 2:,,
__system__??,},,
__system__??,{D08 = 3:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,{RND = 0:,,
__system__??,{ANI_DAT[D02 * 10 + 4] = 10000 - 96:,,
__system__??,},,
__system__??,},,
__system__??,},,
