character,jap text,Eng,Esp
narrator,"──わかめ組、組長執務室。
ここに、現在のわかめ組を取り仕切る 四人の幹部が集まっていた。","The Wakamegumi, the clan leader's office.
Here, the four executives in charge of the current Wakame-gumi were gathered.","El clan Wakame, en la oficina del líder del clan.
Aquí se reunieron los cuatro líderes del actual clan Wakame."
narrator,"まず一人は、辻家晴子。
彼女は元々、わかめ組の組員ではなかった。 自分の夫がたまたまわかめ組の組員だったのだ。
だが、女性上位の世である現在、 彼女は射撃の腕と明晰な頭脳を買われ、 一組員の妻から幹部へと異例の出世を遂げた。","The first one is Tsujiya Haruko.
She was not originally a member of the Wakame-gumi, but her husband was.
However, in today's female-dominated world, she was praised for her shooting skills and clear mind, and has achieved an exceptional rise from being the wife of a gang member to a senior executive.","El primero es Tsujiya Haruko.
No era originalmente un miembro del clan Wakame. Su marido resultó ser un miembro del clan Wakame.
Sin embargo, en el mundo actual, dominado por las mujeres, fue elogiada por sus habilidades de tiro y su mente clara, y ascendió en el escalafón, pasando de ser la esposa de un miembro del clan a oficial superior, un logro extraordinario."
narrator,"次に、加賀元子。
彼女の父親が戦前に組の幹部だったために 組織の内情に詳しく、 今では父に代わって幹部の座に就いた。
余談だが、彼女は親同士の関係上、 悪司とは“おさななじみ”の間柄にある。","Next is Kaga Motoko.
Her father was an executive of the clan before the war, so she is familiar with the inner workings of the organization and has replaced her father as an executive.
As a side note, she and Akuji are childhood friends because of their parents' shared occupations.","A continuación, Kaga Motoko.
Su padre era un miembro veterano del clan antes de la guerra, por lo que está familiarizada con el funcionamiento interno de la organización y ahora le ha sustituido como miembro veterano.
Como dato curioso, Ella y Akuji son amigos de la infancia debido a las relaciones laborales de sus padres."
narrator,そして、残る二人は──,And the other two…,Y los otros dos…
narrator,仁義に厚いわかめ組の切り込み隊長、 森田愛。,"Morita Ai is a leader in the Wakame-gumi, a woman with a strong sense of honor and humanity.",Morita Ai es una benévola y despiadada líder del clan Wakame.
narrator,そして、組長の市橋蘭である。,And the leader of the group is Ichihashi Ran.,Y el líder del grupo es Ichihashi Ran.
Ichihashi Ran (talking),へぇ…面白いね。 辻家、その話、本当なんだろうね？,"Heh… That's interesting. Tsujiya, that story must be true, right?","Heh… Interesante. Tsujiya, esa historia debe ser cierta, ¿no?"
Tsujiya Haruko (talking),"…間違いありません。 私自身、確認してきましたから。
奉仕青年団の事務所に居る女の子へ、 我が物顔で指示を飛ばしていて…","…I'm sure of it. I've seen it myself.
He was giving orders to a girl in the Youth Service League office…","…estoy seguro de ello. Yo mismo lo he visto.
Ha estado dando órdenes a las chicas en la oficina del Cuerpo de Servicio Juvenil con su propia cara…"
Ichihashi Ran (talking),フフ…悪司の事さ、 我が物顔どころか本気でその娘たちを “我が物”にしてるだろうねぇ。,"I'm sure Akuji is not just making a big show of owning the girls, but seriously “owning” them.","Probablemente Akuji sea el dueño de esas chicas, no sólo de las suyas."
Tsujiya Haruko (talking),………………,………………,………………
Ichihashi Ran (talking),"まあ……楽しみが増えたって事だよ。
組の内部がもう少しまとまれば、 あんな素人集団、即潰してやるさ。
…悪司ボウヤの鼻っ柱ごとね。","Well…… that just means I have more to look forward to.
If the gang can become a little more unified, we'll crush that bunch of amateurs in a heartbeat.
…All the way up to the nose of that boy Akuji.","Bueno…… significa que aun hay más que esperar.
Si la banda se vuelve mas unida, aplastaremos a esa panda de aficionados en un santiamén.
…Todo el camino hasta la nariz de ese chico Akuji."
Tsujiya Haruko (talking),彼を放置しておくのですか？,Do you want us to leave him alone for now?,¿Quieres que lo dejemos en paz por ahora?
Ichihashi Ran (talking),そう、今はね。 不満かい？　辻家。,"Yes, for now. Complaints, Tsujiya?","Sí, por ahora. ¿Quejas, Tsujiya?"
Tsujiya Haruko (talking),あ、いいえ……,"Oh, no……","Oh, no……"
Ichihashi Ran (talking),"何が「いいえ」だい、顔に出てるよ。
あんたが悪司を憎むその事情、 あたしは知っちゃいるけどね…","What's with the “no”?
I know why you hate Akuji, but…","¿Qué es el “no” en tu cara?
Sé por qué odias a Akuji, pero…"
Tsujiya Haruko (talking),………………,………………,………………
Ichihashi Ran (talking),…旦那さんとは、 今も仲直りできてないのかい？,…You still haven't reconciled with your husband?,¿…Todavía no se ha reconciliado con su marido?
Tsujiya Haruko (talking),仲直りも何も…… もうどうにもならないので…,There's nothing to make up for…… Since there's nothing more we can do about it…,No hay nada que compensar…… Ya que no podemos hacer nada más…
Ichihashi Ran (talking),そうかい… 解ったよ、あたしが悪かった。 この話はこれで終わりにしようかね。,"I see… alright, I'm sorry. I guess we are done talking about this.","Ya veo… de acuerdo, lo siento. Supongo que esta charla ha terminado."
Tsujiya Haruko (talking),…すみません。,…Sorry.,…Lo siento.
Ichihashi Ran (talking),"さて… 話のついでと言っちゃあ何だけど……
…元子。","Well… while we're on the subject……
…Motoko.","Ahora… sólo para mantener la conversación……
…Motoko."
Kaga Motoko (talking),はい。,Yes.,Sí.
Ichihashi Ran (talking),どうだい？　組の男どもは。 まだまとまりそうにないのかい？,How's it going?　How are the guys in your group? Still can't seem to get it together?,¿Cómo va todo?　¿Cómo están los hombres de la banda? ¿Todavía no puede reunirse?
Kaga Motoko (talking),一時期に比べると従順です。 ……諦めたのかも。,They are more obedient than before. ……Maybe they gave up on it.,Son más obedientes que antes. ……Tal vez se rindieron.
Ichihashi Ran (talking),"それで充分だよ。 いずれ男どもも慣れてくるさ。
女に顎で使われる、って状態にね。","That's good enough. The men will get used to it.
They'll get used to women being in control.","Es suficiente. Los hombres se acostumbrarán.
Se acostumbrarán a que las mujeres tengan el control."
Kaga Motoko (talking),そう上手くいくとは 思えませんが。,I don't think it's going to work out that way.,No creo que vaya a funcionar así.
