"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆加賀元子 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆加賀元子 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆加賀元子 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{★愛 = 2:";"";""
"__system__??";"{☆加賀元子 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{★愛 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Kaga Motoko (talking)";"……悪司。";"……Akuji.";"……Akuji."
"Yamamoto Akuji (talking)";"お、来んの早かったなぁ、トコ。";"Oh, you came early, Toco.";"Oh, llegaste temprano, Toco."
"Kaga Motoko (talking)";"…その呼び方、やめて。";"…Don't call me that.";"…No me llames así."
"Yamamoto Akuji (talking)";"なんで？";"Why?";"¿Por qué?"
"Kaga Motoko (talking)";"子供じゃないのよ、もう。";"I'm not a child, not anymore.";"No soy un niño, ya no."
"Yamamoto Akuji (talking)";"まー、一理あっけどさ。 今更呼び方変えるのめんどくさいし。";"Well, you have a point. It's a hassle to change what we call them now.";"Bueno, tienes razón. Es una molestia cambiar lo que llamamos ahora."
"Kaga Motoko (talking)";"…………
大体、敵なのよ、私。 馴れ馴れしいと思わない？";"…………
Mostly, I'm the enemy, I'm the enemy. Don't you think that's familiar?";"…………
Sobre todo, soy el enemigo, soy el enemigo. ¿No crees que te conozco?"
"Yamamoto Akuji (talking)";"そりゃ昔のこったろ。 今はもう俺の部下じゃねーか。 現に働いてくれてっしよ。";"That was a long time ago. You're my man now. You're working for me now.";"Eso fue hace mucho tiempo. Ahora eres mi hombre. En realidad está trabajando para mí."
"Kaga Motoko (talking)";"それは…
助けて貰った恩、あるから…";"I mean…
I owe you for saving my life, so…";"Quiero decir…
Te debo por salvar mi vida, así que…"
"Yamamoto Akuji (talking)";"義理堅いねー。 昔っからトコってそうだよな。";"You're so righteous, aren't you? That's the way it's always been with tokos.";"¡Eres tan justo! Así ha sido siempre Toko."
"Kaga Motoko (talking)";"だから信じるの？　安直ね。
昔は昔よ、私はもう変わったわ。 悪司だって変わってないとは言わせない。
 …いずれ、あなたを裏切るかも。";"So you believe them?　You're so naive.
The past is the past. I've changed. Don't tell me Akuji hasn't changed too.
 …I might betray you sooner or later.";"¿Así que les crees?　Eres barato.
Esos eran los días, he cambiado. No me digas que Akuji no ha cambiado también.
 …que podría traicionarte tarde o temprano."
"Yamamoto Akuji (talking)";"ま、そんときゃそんときだ。
でも、俺はんなこたぁねぇって 信じてるけどな。";"Well, when it happens, it happens.
But I believe that I'll never be like that.";"Bueno, cuando pasa, pasa.
Pero creo que no soy así."
"Kaga Motoko (talking)";"理解できない。";"I don't understand.";"No lo entiendo."
"Yamamoto Akuji (talking)";"人間、そりゃ変わっていくけどよ、 ガキの頃の性根は残ってるもんだ。 俺もそうだけど。
トコは昔っから、喧嘩しても何しても いつも最後は俺の味方してくれたからな。";"People change, of course, but they still have their childhood spirit. It's the same for me.
Toko has always been on my side in the end, no matter what we fought about.";"La gente cambia, por supuesto, pero sigue teniendo su infancia. A mí me pasa lo mismo.
Al final, Toko siempre ha estado de mi lado, sin importar por qué hayamos peleado."
"Kaga Motoko (talking)";"……それは…………";"…… it's …………";"…… Se puede encontrar en …………"
