character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆加賀太郎 = 0:,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,{☆加賀元子監禁 \ 0:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,{H物欲抵抗 <= H物欲:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
Yamamoto Akuji (talking),"んーと、 加賀のおっちゃんはどこに居たっけ。 連絡つけて……
……ん？","Hmmm, where was old man Kaga? Contact him at……
……hmm?","Hmm, ¿dónde estaba el viejo Kaga? Póngase en contacto con él en……
……¿hmm?"
Kaga Tarou (talking),大杉よ、お主は間違っておる！ お主のせいで悪司は ああなってしもうたのじゃぞ！？,"You are wrong, Oosugi! It is because of you that Akuji has become what it is today!","¡Te equivocas, Oosugi! ¡Es tu culpa que Akuji se haya vuelto así!"
Oosugi Tsuyoshi (talking),申し訳ありませんが、加賀様…… 仰ることの意味がよく解りません。,"Sorry, Mr. Kaga,…… I don't quite understand what you mean.","Lo siento, señor Kaga…… no entiendo lo que quiere decir."
Kaga Tarou (talking),"いいか、組織を治めてゆくためには 部下や住民への優しさと気遣いが 必要なのじゃ。
悪司にそれが欠けておるのは、 教育係であったお主の失敗じゃろうが！","To govern an organization, it is necessary to be kind and considerate to your subordinates and residents.
That Akuji lacks this is your failure as an educator!","Mira, para gobernar una organización, tienes que ser amable y considerado con tus subordinados y con la gente.
¡Que Akuji carezca de esto es su fracaso como educador!"
Oosugi Tsuyoshi (talking),"恐れながら加賀様、それは違います。
優しさなどは二の次三の次、 リーダーに必要なのは強固たる意志、 決断力、そして強さです。
人は、強い者にこそ付いてゆくのです。","With all due respect, Mr. Kaga, that is not true.
Kindness is secondary and tertiary. What a leader needs is a strong will, decisiveness, and strength.
People will follow only those who are strong.","Con el debido respeto, señor Kaga, eso no es cierto.
La bondad es secundaria y terciaria, lo que se necesita para un líder es una fuerte voluntad, decisión y fuerza.
La gente sólo sigue a los que son fuertes."
Kaga Tarou (talking),大杉よ、それは違う、違うのじゃ！,"Oosugi, that's not right, that's not right!","Oosugi, ¡no es, no es!"
Oosugi Tsuyoshi (talking),"若は何より、先々代である一発様の血を 色濃く受け継いでおります。 もっともっと、強いお方になるでしょう。
この大杉、私が若にお教えした事、 何一つ間違ってはおらぬと 自負しております。","He has the blood of the previous generation, Ippatsu, in his veins. He will become stronger and stronger.
I am proud to say that nothing I have taught him is wrong.","Sobre todo, desciende fuertemente de su predecesor, el maestro Ippatsu. Se hará aún más fuerte.
Este Oosugi, me enorgullece decir, no ha hecho nada malo en lo que le he enseñado."
Kaga Tarou (talking),たわけが……悪司は百発の息子ぞ？！ その血目覚めさせずして何が教育か！,What kind of a fool is ……Akuji the son of a hundred shots? What is education without awakening his blood!,"¡¿Qué te pasa, ……Akuji es el hijo de cien tiros! ¿Qué es la educación sin despertar esa sangre?"
Oosugi Tsuyoshi (talking),では加賀様は、 リーダーに強さなど必要ないと 仰るのですか？,"So you, Kaga, are saying that a leader does not need to be strong?","¿Así que tú, Kaga, dices que un líder no necesita ser fuerte?"
Kaga Tarou (talking),"そうは言うておらぬ、 百発も本当に強い男じゃったからの……
じゃが、それは強引さや非情とは違う！ 全く質の違う強さなのじゃ！ 打ち壊すのではなく包み込む強さじゃ！","I didn't say that, because Hundred Blows was a really strong guy too: ……
But that's not forcefulness or ruthlessness! It is a different kind of strength! A strength that envelops, not destroys!","No he dicho eso, porque Hundred Blows también era un hombre muy fuerte……
Pero eso no es contundencia ni despiadada. Es un tipo de fuerza diferente. Una fuerza que envuelve y no destruye."
Oosugi Tsuyoshi (talking),恐れながら、加賀様……,"With all due respect, Mr. Kaga ……","Con todo el respeto, señor Kaga ……"
Kaga Tarou (talking),"ええい、もうよいわえ！ お主は黙って下がればよい！
この事、儂が直々に悪司へ教える！ 悪司ならば解るはずじゃ、 百発の息子ならきっと………………","Yes, that's enough! You will back off!
I will personally tell Akuji about this! Akuji would understand. I'm sure the son of a hundred blows would understand………………","¡Sí, es suficiente! ¡Te vas a echar atrás!
¡Yo personalmente le diré a Akuji sobre esto! Akuji lo entenderá. Estoy seguro de que el hijo de los cien golpes lo entenderá………………"
Yamamoto Akuji (talking),……っせーな、ったく。 血管キレるぞ、加賀のおっちゃん。,"…… What the hell, man. You're going to get a vascular breakdown, old man Kaga.","…… ¿Qué demonios, hombre? Vas a tener un vaso sanguíneo, viejo Kaga."
Oosugi Tsuyoshi (talking),おお、若。いらっしゃいましたか……,"Oh, young man. There you are……","Oh, joven. Ahí tienes……"
Kaga Tarou (talking),悪司よ、聞いておったのか。 ならば話は早いわえ。つまりの……,"Akuji, you heard me. Well, that's a good thing. In other words ……","Akuji, ya lo has oído. Entonces es una historia rápida. En otras palabras, ……"
Yamamoto Akuji (talking),あーーーーーーもーーーーーーうるせ。 俺は俺だ、そう簡単に変わってたまるか。,"Shuuuuuuut uuuuuuup. I'm me, I'm not going to change so easily.","Siiiiiiilenciooooooo, no voy a cambiar tan fácilmente."
Oosugi Tsuyoshi (talking),さすがは若、人の言葉に踊るべからず。 立派でございますぞ。,"As expected of a young man, he should not dance to the words of others. You are a fine young man.","Como se espera de un joven, no baila al son de las palabras de los demás. Eres un buen joven."
Yamamoto Akuji (talking),大杉もいーから、仕事に戻れ。 俺はおっちゃんに用があっからよ。,"Oosugi, get back to work. I'm here because I have something to do with you.",Ya puedes volver al trabajo. Estoy aquí para ti.
Oosugi Tsuyoshi (talking),はっ。,Ha.,Ha.
Kaga Tarou (talking),悪司よ、いいから儂の話を聞くのじゃ！ よいか、組織を治めるためにはな……,"Akuji, just listen to me! To rule, you must……","Akuji, ¡escúchame! ¡Escúchame! Para gobernar, tienes que……"
Yamamoto Akuji (talking),解った解った、加賀のおっちゃんは その辺よーく解ってんだよな。 そういうのはもう任せるから。,"I know, I know. Old man Kaga knows exactly what I'm talking about. I'll leave those things to you now.","Lo sé, lo sé, el viejo de Kaga sabe exactamente de lo que habla. Ahora te dejaré ese tipo de cosas."
Kaga Tarou (talking),任せる……じゃと？,Leave it to me……?,¿Lo dejamos en……?
Yamamoto Akuji (talking),"今はもう俺の部下なんだからよ、 部下として俺の足りないところを 補ってくれ。
そーすりゃ俺はこのままでいいし、 おっちゃんはイロイロ腕が振るえる。 いいことずくしだろ？","You're my subordinate now, so you can fill in for me where I'm lacking.
That way, I get to keep my job and you get to do whatever you want. It's a good thing, right?","Ahora eres mi subordinado, así que puedes llenar lo que me falta como subordinado.
De este modo, yo conservo mi trabajo y tú puedes hacer todo tipo de cosas. Es algo bueno, ¿verdad?"
Kaga Tarou (talking),"な、なんと……何と言うことを……
悪司よ、 それでは駄目なのじゃ、それでは……","Oh, my God……, what a……
Akuji, that's not good enough, then……","Oh, Dios mío……, qué……
Akuji, eso no es suficiente, entonces……"
Yamamoto Akuji (talking),あーもう解ったから、 その話はまた今度な。,"Oh, I get it now. We'll talk about it another time.","Oh, ahora lo entiendo, ya lo hablaremos en otro momento."
Kaga Tarou (talking),……悪司よ、今時間は空いておるか？,"……Akuji, are you free right now?","……Akuji, ¿estás libre en este momento?"
Yamamoto Akuji (talking),おお、ちょーど良かったぜ。 俺もちいっとおっちゃんに用があってよ。,"Oh, that was great. I've got some business with the old man myself.","Oh, eso fue genial. Tengo algunos asuntos con el viejo."
Kaga Tarou (talking),そうか……解ってくれたのか？ さすが百発の息子よ！,So…… you figured it out? That's my 100 shot son!,Así que…… ¿me entiendes? ¡Ese es el hijo de cien tiros!
Yamamoto Akuji (talking),…………は？,What about…………?,¿Qué hay de…………?
Kaga Tarou (talking),"よしよし、 リーダーたる者の優しさについて 儂がみっちり教えてやるからの。
よいか、まず第一に人を思いやり……","All right, I'll teach you all about leadership kindness.
First of all, you need to be considerate……","Muy bien, te enseñaré todo sobre la bondad del liderazgo.
Muy bien, en primer lugar, tienes que ser considerado……"
Yamamoto Akuji (talking),……………………………… まあ、その話はまた今度な。,"……………………………… Well, we'll talk about that another time.","……………………………… Bueno, ya hablaremos de eso en otro momento."
narrator,　悪司とエッチです。,　Akuji and sex.,　Akuji y el sexo.
Yamamoto Akuji (talking),ほいおっちゃん、特別ボーナス。 自由に使ってくれ。,"Here, old man, a special bonus. Feel free to spend it.","Hey viejo, bono especial. Gástalo libremente."
Kaga Tarou (talking),……………………,……………………,……………………
Yamamoto Akuji (talking),何だよ、あんま嬉しそうじゃねーな。 カネじゃない方が良かったかい？,"What, you don't look so happy. Would you rather it wasn't money?","Qué, no pareces muy feliz. ¿Habrías preferido que no fuera dinero?"
Kaga Tarou (talking),"いや…… これは儂の働きに対する報酬として 有り難く頂くがな……
こういうやり方だけではいかんのじゃ。 悪司よ、金だけではいかんのじゃ……","No…… I will take it as my reward for my work……
This is not the way. It's not just about the money, Akuji……","No…… me lo tomo como una recompensa por mi trabajo, muchas gracias……
Este no es el camino. Akuji, no se trata sólo del dinero……"
Yamamoto Akuji (talking),"………………
まあ確かに、おっちゃんの言うことも 一理あるんだけどなー。","………………
Well, you certainly have a point.","………………
Bueno, claro, el viejo tiene un punto…"
Kaga Tarou (talking),む……？,M……?,¿Mu……?
Yamamoto Akuji (talking),"そーだな、今度今度って言ってちゃ ダメなのかもしれねぇな。
なあおっちゃん、あんたの言う リーダーに必要な優しさってヤツ、 一つ教えてくんねーかな？","Well, maybe I shouldn't just say “next time”.
Hey, old man, can you teach me one thing you say is necessary for a leader to have kindness?","Bueno, tal vez no deberíamos decir sólo “la próxima vez”.
Oye, viejo, ¿puedes enseñarme una cosa que dices que es necesaria para que un líder tenga bondad?"
Kaga Tarou (talking),"………………な…………
あ、悪司よ………… その言葉、まことの気持ちで 言うておるのか……？","………………na…………
Oh, I'm Akuji………… Do you say those words with true feelings……?","………………na…………
Oh, Akuji………… ¿Estás diciendo esas palabras con verdaderos sentimientos……?"
Yamamoto Akuji (talking),"俺は自分の利になんない事は 絶対やんねえ主義だからな。 知ってんだろ？
今のまんまじゃ行き詰まるかなーとか 考えたり考えなかったりしてさ。
まあ、おっちゃんに教わったからって すぐ実行に移せるとは限らねぇが……
後々、無駄になるこたぁねえだろ。","I never do anything that doesn't benefit me. You know that, right?
I think about it and don't think about it.
Well, just because I learned from my old man doesn't mean I can put it into action right away……
It won't be a waste of time later on.","Nunca hago nada que no me beneficie. Lo sabes, ¿verdad?
No pienso en si me atascaré si no hago lo que estoy haciendo ahora.
Que aprendas algo de tu viejo no significa que puedas ponerlo en práctica inmediatamente……
No será una pérdida de tiempo más adelante."
Kaga Tarou (talking),"お…………おおおおっ…… おおおおおおおおっ…………！
よう言うた、よう言うたぞ悪司よ……！ さすがは百発の息子よ！ 正当なる組の跡取りよ…………！","O…………oooo~…… oooooooo~…………！
Well said, well said, well said Akuji……! That's the son of Hyakubutsu! Heir to the rightful clan…………!","O…………oooo~…… oooooooo~…………！
¡Bien dicho, bien dicho, bien dicho Akuji yo ……! ¡Es el hijo de cien balas! Heredero del clan legítimo…………!"
Yamamoto Akuji (talking),…………泣くほどの事かよ、おっちゃん。,"………… Is that enough to make you cry, old man?","………… ¿Es suficiente para hacerte llorar, viejo?"
Kaga Tarou (talking),"よしよし、よしよし…… では早速、百発の心をお主に伝えようぞ！
そう、あれは忘れもせぬ。 正和五年の夏の日じゃ。 悪司、お主が生まれる前の事よ……
入道雲を見ながらかき氷を食うておった 儂に、百発が突然、先代・一発の教えは 間違いではないのかと言い始めての……
そう、よく憶えておるとも。 儂は驚きのあまり 鉄の匙を取り落としてしもうたのじゃ……","Okay, okay, okay… Now let's share our 100 hearts with you!
Yes, I'll never forget that. It's the summer day of the 5th year of Showa. Akuji, before you were born……
I was eating shaved ice while looking at the muddy clouds, and suddenly a hundred shots started to say that the teachings of the previous Ippatsu were wrong……
Yes, I remember well. I was so surprised I took away the iron spoon……","Está bien, está bien, está bien … ¡ahora compartimos nuestros 100 corazones contigo!
Sí, nunca olvidaré eso. Es el día de verano del quinto año de Showa. Akuji, antes de que nacieras……
Estaba comiendo hielo afeitado mientras miraba las nubes fangosas, y de repente cien disparos comenzaron a decir que las enseñanzas del Ippatsu anterior estaban equivocados……
Sí, lo recuerdo bien. Estaba tan sorprendido de haber quitado la cuchara de hierro……"
narrator,加賀太郎の話は、その後、 たっぷり二時間は続くことになる──,Kaga Tarou's story would continue for the next two hours…,La historia de Kaga Tarou continuaría durante dos horas…
Yamamoto Akuji (thinking),"…………く、クソ長ぇ……
おっちゃん、何でこんなアホ臭い話を こんな長い間続けていられるんだ？ 喋ってて自分で眠くなんねーのか？
………………
まあいいや、このおっちゃん カネだけじゃ言うこと聞かねえもんな。 仕方ねーか……
騙しちまって悪いな、おっちゃん。 ま、今だけ夢に浸っててくれや。","…………Damn, that's a fucking long time……
Pops, how can you keep this stupid story going for so long? Don't you get sleepy yourself when you talk?
………………
Oh well, this old man won't listen to me with just money. I guess it can't be helped……
I'm sorry I tricked you, old man. Just soak in the dream for now.","…………Joder, es jodidamente largo……
Papá, ¿cómo puedes mantener esta estúpida historia durante tanto tiempo? ¿No te da sueño cuando hablas?
………………
Bueno, supongo que el dinero no es suficiente para este viejo. Supongo que no se puede evitar……
Siento haberte engañado, viejo. Por el momento, sólo empápate de tus sueños."
Kaga Tarou (talking),…………こりゃ、悪司よ。 ちゃんと話を聞いておるのか？,………… This is Akuji. Are you listening to me?,………… Este es Akuji. ¿Me estás escuchando?
Yamamoto Akuji (talking),ああ、ちゃんと聞いてるよ。 さっきの話、ちょっとホロッと来たぜ。,"Yeah, I'm all ears. I'm a little bit tickled by what you just said.","Sí, te estoy escuchando bien. Estoy un poco sorprendido por lo que acabas de decir."
Kaga Tarou (talking),うむうむそうじゃろそうじゃろ。 百発が身を挺して部下を庇った時は、 儂も思わず熱いモノがこみあげて……,"Yes, yes, yes, yes. When Hyakubutsu put himself on the line to protect his subordinate, I was so hot that I couldn't help it……","Sí, sí, sí. Cuando Hundred se disparó a sí mismo para proteger a sus hombres, estaba tan caliente que no pude evitarlo……"
Yamamoto Akuji (thinking),……………… アホ臭ぁ………………,……………… Stinking of stupidity………………,……………… Apestando a estupidez………………
Yamamoto Akuji (talking),よお、加賀のおっちゃん。 久しぶりだな。,"Hey, old man Kaga. Long time no see.","Oye, viejo Kaga. Hace tiempo que no te veo."
Kaga Tarou (talking),………………うむ。,………………mmm.,………………mmm.
Yamamoto Akuji (talking),………………,………………,………………
Kaga Tarou (talking),………………,………………,………………
Yamamoto Akuji (thinking),"ちっ…… どーもこのおっちゃんは苦手だぜ……
どーにもガキの頃から 小煩いジジィだっつー印象しか ねぇんだよな、俺。","Damn…… I don't like this old man at all……
I've always had the impression of him as a nagging old man since I was a kid.","Mierda…… No me gusta nada este viejo……
Sólo tengo la impresión de que es un viejo regañón desde que era un niño."
Kaga Tarou (talking),……しかし、これが運命だとすれば 皮肉なものよの。,"…… But if this is fate, it's ironic.","…… Pero si esto es el destino, es irónico."
Yamamoto Akuji (talking),へっ？,Huh?,¿Eh?
Kaga Tarou (talking),よもや、このような形で お主と話すことになるとは 夢にも思わなんだわ。,I never dreamed that I would be speaking to you in this way.,Nunca soñé que te hablaría de esta manera.
Yamamoto Akuji (talking),そーだな。,I guess so.,Sí.
Kaga Tarou (talking),………………,………………,………………
Yamamoto Akuji (talking),………………,………………,………………
Kaga Tarou (talking),………………………………,………………………………,………………………………
Yamamoto Akuji (talking),………………………………,………………………………,………………………………
Yamamoto Akuji (thinking),うーん、話しづらいっつーか、 居心地悪いっつーか……,"Well, I don't know if I'm uncomfortable talking to you or not… ……","Bueno, es difícil hablar, es incómodo……"
Kaga Tarou (talking),……悪司よ。,It's ……Akuji.,……Akuji.
Yamamoto Akuji (talking),…………ん？,…………hmm?,…………¿hmm?
Kaga Tarou (talking),お主、いつまでこのようなことを 続けるつもりなのじゃ。,How long do you intend to continue this kind of thing?,¿Cuánto tiempo piensa seguir haciendo esto?
Yamamoto Akuji (talking),このようなこと？　いつまで？ ……何の事言ってんだ、おっちゃん。,"This kind of thing?　For how long?…… What are you talking about, old man?","¿Este tipo de cosas?　¿Por cuánto tiempo?…… ¿De qué estás hablando, viejo?"
Kaga Tarou (talking),"金と欲で人を煽り、 力で相手をねじ伏せる…… お主の成すことすべてよ。
そのようなこと、 虚しいだけだとは思わぬのか？","You incite people with money and greed, and you use force to overpower them…… All that you do, don't you think it's just empty?
Don't you see that such things are just vain?","Incitas a la gente con dinero y codicia, y utilizas la fuerza para dominarla…… Todo lo que haces.
¿No ves que esas cosas son simplemente vanas?"
