character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆市橋蘭 = 2:,,
__system__??,},,
__system__??,{☆市橋蘭 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,{H愛欲 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Yamamoto Akuji (talking),おーい、お蘭。 どこ行ったーーー？,"Hey, ORan. Where'd you go?","Hola, ORan. ¿A dónde fuiste?"
Ichihashi Ran (talking),ああ……ここだよ、若旦那。 何か用かい？,"Aa…… here, young master. What can I do for you?","Aa…… aquí, joven maestro. ¿Qué puedo hacer por usted?"
Yamamoto Akuji (talking),"おう、実はな……
……って、なんか顔色悪ィぞ、お蘭。 どーかしたのか？","Well, actually...
……Hey, you look a little pale, Ran. Is something wrong?","Ah, en realidad...
……Te ves pálida, Ran. ¿Qué ocurre?"
Ichihashi Ran (talking),"えっ？ ……嫌だね、顔に出てたのかね。
あたし宛てに、手紙が来ていてね。 今、読んでたところなのさ。","Eh? ……I don't like it, was it on your face?
There was a letter addressed to me. I was just reading it now.","¿Eh? ……No me gusta, ¿estaba en tu cara?
Había una carta dirigida a mí. Acabo de leerlo."
narrator,言って、蘭は袂から書簡を取り出して 悪司に差し出した。,"Saying this, Ran took a letter from his embitterment and presented it to Akuji.","Diciendo esto, Ran sacó la carta de su amargura y se la presentó a Akuji."
Yamamoto Akuji (talking),俺が読んでいいのか？,Am I allowed to read it?,¿Se me permite leerlo?
Ichihashi Ran (talking),"ああ、構わないよ。
ただ、中の便箋取り出すときは 張り付けてあるカミソリに注意しなよ。","Yeah, that's fine.
Just be careful of the razor on the inside when you take out the letterhead.","Sí, está bien.
Sólo hay que tener cuidado con la navaja que está pegada al sacar el membrete del interior."
Yamamoto Akuji (talking),おいおい、穏やかじゃねぇな……,"Hey, that's not very calm……","Oye, eso no es tranquilo……"
