character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆森田２ = 0:,,
__system__??,},,
__system__??,{☆天才病院 = 1:,,
__system__??,},,
__system__??,{☆森田 = 4:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{(B忠誠タイプ = 3) * (B忠誠心 > 70):,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,{H愛欲 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
morita  ai (talking),"はぁぁぁ~~ん…… 駄目でござんす、駄目駄目です。
あたしゃ、自分が情けないでござんすよ。
義理と任侠の世界で生きようと 決意したのに、あの男の色香に 迷わされるなんざー……","Haahahah~~n…… I'm no good~gozansu, I'm no good.
I'm ashamed of myself~gozansu.
I made up my mind to live in the world of duty and chivalry, but I'm lost in that man's sex appeal……","Haahahah~~n…… No soy lo suficientemente buena~gozansu, no soy lo suficientemente buena.
Me avergüenzo de mí misma~gozansu.
Me decidí a vivir en el mundo de la rectitud y la caballerosidad, pero me he perdido en el aroma de ese hombre……"
Yamamoto Akuji (talking),どの男？,Which guy?,¿Qué hombre?
morita  ai (talking),あんた。,You.,Tu.
Yamamoto Akuji (talking),いつも直球勝負の女だな、 お前さんは……,"You've always been a direct bitch, you……","Siempre has sido una mujer directa, tú……"
narrator,悪司の元に愛がやってきた。,Ai came to Akuji.,Ai se acercó a Akuji.
morita  ai (talking),お呼びになりやしたかい？,You wanted to see me?,¿Querías verme?
Yamamoto Akuji (talking),………………,………………,………………
morita  ai (talking),何か？,Yes?,¿Sí?
Yamamoto Akuji (talking),どっか体調が悪いとかねーか？,"I don't know, maybe you're not feeling well somewhere?",¿Te sientes mal en alguna parte o algo así?
morita  ai (talking),いえ、至極健康でござんすが。,"No, I am in perfect health~gozansu.","No, estoy en perfecto estado de salud~gozansu."
Yamamoto Akuji (talking),こう……ハニワが恋しいとか…,so…… misses Haniwa…,Y…… echo de menos al Haniwa…
morita  ai (talking),ん？？ なんでござんすか、それは。,Hmm? What is it~gozansu?,"¿Eh? ¿Qué es~gozansu, qué es?"
Yamamoto Akuji (talking),"……………
世の中には、知らない方が 幸せって事もあるんだ。","……………
There are some things in this world that we are happier not knowing.","……………
A veces, cuanto menos sabes del mundo, más feliz eres”."
morita  ai (talking),気になるでござんすよ。,I'm curious~gozansu.,Tengo curiosidad~gozansu.
Yamamoto Akuji (talking),記憶にないんだったら、 それでいーじゃねぇか。,"If you don't remember, that's fine.","Si no te acuerdas, no pasa nada."
morita  ai (talking),記憶がない……それはそれで、 ドラマみたいでかっこいいでござんす。,"I don't remember…… That's so cool, it's like a drama~gozansu.","No lo recuerdo…… Es genial, es como un drama~gozansu."
morita  ai (talking),今日はなんですかい。 輪姦されるとか、そーいうんじゃ ないでやんすよね？,"What is it today? You're not going to be gang raped or anything like that, are you?","¿Qué es hoy? No vas a ser violado por una pandilla o algo así, ¿verdad?"
Yamamoto Akuji (talking),輪姦して欲しいのか？,You want me to gang-rape you?,¿Quieres que te viole en grupo?
morita  ai (talking),ぶるるるるるるるっっっっっっっっっっ。,Burururururururu~~~~~~~~~~。,Burururururururu~~~~~~~~~~。
morita  ai (talking),お呼びでござんすかー？,You wanted to see me~gozansu?,¿Querías verme~gozansu?
Yamamoto Akuji (talking),おう……そーいや呼んでたな。 あんまし時間が経ってたんで 忘れてた。,"Oh……, you called me that. It's been so long, I forgot about it.","Oh……, sí, lo has llamado. Ha pasado tanto tiempo que lo había olvidado."
morita  ai (talking),天才病院に行っていたでござんす。,I was at the genius hospital~gozansu.,Estuve en el Hospital Genius~gozansu.
Yamamoto Akuji (talking),びょーいん？ なんだ、脳波の検査か？,What is this? Is this an electroencephalogram test?,¿Qué es esto? ¿Es esta una prueba de electroencefalograma?
morita  ai (talking),風邪をひいたんで、診察とお薬を もらいに行ってたんでござんす。,"I caught a cold, so I went to see a doctor and get some medicine~gozansu.",Estaba resfriado y fui a ver al médico para que me diera una medicina~gozansu.
Yamamoto Akuji (talking),なんとかは風邪ひかねーってのは ウソだったのか？,Was it a lie that “something” doesn't catch a cold?,¿Era mentira que el “algo” no se resfría?
morita  ai (talking),あたしゃ、なんとかじゃないんで 風邪ひくでござんす。 ふぇっくしゅぃーんっ。,"For some reason, I caught a cold~gozansu. Fueh~kushiyuhihin~。","No me siento bien, así que tengo miedo de resfriarme~gozansu. Fueh~kushiyuhihin~。"
Yamamoto Akuji (talking),くしゃみとか咳とかする時は 手で口ふさげって、習わなかったのかよ。,Didn't you ever learn to cover your mouth with your hand when you sneeze or cough?,¿No has aprendido a taparte la boca con la mano cuando estornudas o toses?
morita  ai (talking),すいやせん、突発事故でさ。,"I'm sorry, it was an accident.","Lo siento, fue un accidente."
Yamamoto Akuji (talking),その治療ってのは、 院長もしたりするのか？,Does the Director do that treatment too?,¿El director también hace ese tratamiento?
morita  ai (talking),"へい。 今日は院長先生に 診てもらいやしたよ。
旦那も、あの院長、怪しいと 思ってるんでござんすか？","Hey. I saw the director today.
Does your husband also think that the director is suspicious~gozansu?","Hola. Hoy he visto al director.
¿Su marido también cree que el director es sospechoso~gozansu?"
Yamamoto Akuji (talking),俺もって…,Me too…,Yo también…
morita  ai (talking),あたしも、あの院長は嫌いでして。,I didn't like the director either.,A mí tampoco me gustaba ese director.
Yamamoto Akuji (talking),どうしてだ？,Why?,¿Por qué?
morita  ai (talking),世間様には評判がよろしくても、 あたしの目にはそうは映らないんで。,"I know it may have a good reputation among the public, but not in my eyes.","Sé que es popular entre el público, pero a mis ojos no funciona así."
Yamamoto Akuji (talking),何かそういう素振りでも見たのか？,Did you see any pretense of that?,¿Viste alguna pretensión de eso?
morita  ai (talking),ドラマの定番じゃござんせんか。 美形で評判のいい医者が、裏で 怪しい趣味をもっていたりするのは。,"Isn't this a staple of dramas? A good looking doctor with a good reputation, but with shady hobbies behind his back.",¿No es esto un elemento básico del drama? Un médico guapo y reputado con dudosas aficiones a sus espaldas.
Yamamoto Akuji (talking),…それだけか？,…That's it?,…¿eso es todo?
morita  ai (talking),そうでござんす。,That's right~gozansu.,"Sí, lo es~gozansu."
Yamamoto Akuji (talking),お前やっぱ脳波 調べてもらってこい。,Go get your brain waves checked.,Deberías ir a que te revisen las ondas cerebrales.
morita  ai (talking),どうしてでござんすかーー！！,Why is that~gozansu?,¿Por qué~gozansu?
Yamamoto Akuji (thinking),しかし、愛の言い分はともかく、 誰にも評判がいい人間なんて 存在すんのかねー……,"But Ai's argument notwithstanding, I wonder if there is such a thing as a person with a good reputation with anyone……","Pero, a pesar de lo que dice Ai, ¿alguien tiene fama de ser un ser humano reputado? ……"
Yamamoto Akuji (talking),んじゃあ、お楽しみタイムだ。,Then it's time to have some fun.,Entonces es el momento de divertirse.
morita  ai (talking),なんでござんすか！？ ふたりでテレビの任侠連続ドラマ 「仁義ある海辺」を見るでござんすか！？,What is it~gozansu? Are you two going to watch the TV drama series “Ninkyo Aru Kaibe” together~gozansu?,¿Qué es~gozansu? ¿Vais a ver la serie dramática “Ningi aru Kaibe”~gozansu?
Yamamoto Akuji (talking),そりゃ、お前さんのお楽しみだろうが。,"Well, that's just for your amusement.","Bueno, eso es sólo para su diversión."
morita  ai (talking),そうでござんすか？,Is that so~gozansu?,¿Es así~gozansu?
Yamamoto Akuji (talking),こっちだ、こっち。 お前さんも夢中になるコレだ。,"This way, this way. This is the one you'll be crazy about.","Por aquí, por aquí. Este es el que también te volverá loco."
narrator,と、悪司は拳を作って人差し指と 中指の間から、親指の先を出してみせた。,And Akuji made a fist and stuck the tip of his thumb out between his index and middle fingers.,Y Akuji cerró el puño y sacó la punta del pulgar entre los dedos índice y corazón.
morita  ai (talking),最悪に下品な手でござんすね。,It is a vile hand at worst~gozansu.,Esa es la peor clase de mano vil~gozansu.
Yamamoto Akuji (talking),やらねぇのかい？,Don't you want to do it?,¿No quieres hacerlo?
morita  ai (talking),う、あ、う。,U、a、u。,U、a、u。
Yamamoto Akuji (talking),そんなに俺に溺れるのが怖かったらよ、 イヤんなったら、俺をこれで刺しな。,"If you're so afraid of being drowned by me, you can stab me with this if you don't like it.","Si tanto miedo tienes de que te ahogue, si no te gusta, apuñálame con esto."
narrator,と、悪司はまた愛にドスを渡した。,And Akuji handed Ai the knife again.,Y Akuji le entregó el doss a Ai nuevamente.
morita  ai (talking),んんん~~……,Nnn~~……,Nnn~~……
Yamamoto Akuji (talking),そーら、よっこいしょっと。,There you go!,"Pues bien, vámonos."
morita  ai (talking),ひえええ！！,Hieee！！,¡¡Hieee！！
narrator,悪司は愛を小脇に抱えると、 ベッドの上に乗った。,Akuji took Ai aside and got on the bed.,Akuji se llevó a Ai a un lado y se subió a la cama.
cg narrator,"「あっ…また…こんな……」
悪司の指からは、充分に湿った 水音が響いている。
「どうした？ 　イヤじゃねぇのかい？」
「うっ……あっ…そ、それ……は…」
「素直に俺に溺れちまいな。 　誰もそれを責めやしねーからよ」
「でっ……でも……」
悪司の指が、愛の胸と花弁で蠢く。
「ああっ……！！」
「頭で考えてるうちは、どーにもなんねぇぜ」
「あ、あう、あう……」
「さぁて、入れてやるよ。 　足、そのまま開いてな」
「えっ…あっ……うあっ…！」
「そら、一発で、ぜーんぶ俺の、 　飲みこんじまったぜ、愛」
「うーっ……あうっ……」
「今日も目一杯、俺ので楽しみな。 　くらくらにしてやるよ」
「あ、あう、あう、あっ……あ~~……！！」","「Ah… again… like this…」
Akuji's fingers were making a rich, wet sound.
「What's wrong? You don't like it?」
「Uhh… Ah… Th-that… is…」
「Just fall in love with me. No one will blame you for that.」
「But…..」
Akuji's fingers wriggle in Love's chest and petals.
「Aa~……！！」
「As long as you think about it, nothing will change.」
「a、au、au……」
「Now, I'll put it in. Keep your legs open.」
「e~…a~……ua~…！」
「There, in one go, you swallowed it all, Ai.」
「uu~……au~……」
「Have fun today with me. I'll make you dizzy.」
「a、au、au、a~……a~~……！！」","「Ah… otra vez… así…」
El sonido húmedo del agua resuena en los dedos de Akuji.
「¿Que pasa? ¿No te gusta?」
「Uf… ah… eso… eso…」
「No te enamores simplemente de mí. Porque nadie te culpará por eso.」
「Pero… pero…」
Los dedos de Akuji se retuercen en el pecho y los pétalos del amor.
「Aa~……！！」
「Mientras esté pensando en ello en mi cabeza, no hay nada que pueda hacer al respecto.」
「a、au、au……」
「Vamos, lo pondré. Mantén las piernas abiertas.」
「e~…a~……ua~…！」
「Bueno, de una sola vez, te tragaste todo, Ai.」
「uu~……au~……」
「Voy a dar lo mejor de mí hoy, así que lo espero con ansias. te volvere loca」
「a、au、au、a~……a~~……！！」"
Yamamoto Akuji (talking),さて、しばらくぶりだな。 お前さんを可愛がってやるのも。,"Well, it's been a while. I adore you.","Bueno, ha pasado un tiempo. Yo también te amo."
morita  ai (talking),ホント、ご無沙汰でござんすよ。 蜘蛛の巣がはると思ったでござんす。,It's really been a while~gozansu. I thought the cobwebs would have appeared~gozansu.,Realmente ha pasado mucho tiempo~gozansu. Pensé que habrían telarañas~gozansu.
Yamamoto Akuji (talking),また、凄い言い回しを……,"Also, awesome phrasing: ……","Además, una frase estupenda: ……"
morita  ai (talking),ほんとの事でござんす。,It is true~gozansu.,Es cierto~gozansu.
Yamamoto Akuji (talking),はいはい、わかったよ。 足腰立たなくなるまで、やってやるよ。,"Okay, okay, okay. I'll do it until I can't stand on my feet anymore.","Sí, sí, de acuerdo. Lo haré hasta que no pueda mantenerme en pie."
morita  ai (talking),おおおお~~う。,Oooo~~u。,Oooo~~u。
morita  ai (talking),愛は、足腰がふにゃふにゃになるまで抱かれた。,Ai was held until his legs and feet were squishy.,Ai se mantuvo hasta que las piernas y los pies se pusieron blandos.
Yamamoto Akuji (talking),愛、これ、受け取ってくんな。,"Ai, don't take this.","Ai, no tomes esto."
morita  ai (talking),お金でござんすか。,Is it money~gozansu?,¿Es por el dinero~gozansu?
