"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠タイプ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","{B忠誠タイプ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲 = 4:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"?? (talking)","まー、これで曲げたヘソ、 まっすぐにしてやってくれや。","Well, please straighten his bent belly button with this.","Bueno, endereza ese ombligo doblado con esto."
"narrator","と、悪司は晴子に少しまとまった金を渡した。","And Akuji gave Haruko a little sum of money.","Y Akuji le dio a Haruko una pequeña suma de dinero."
"?? (talking)","それとこれとは別よ。 でも、くれるものは頂いておくわ。","That's not the same thing. But I'll take what you give me.","Eso no es lo mismo que esto. Pero aceptaré lo que me den."
"?? (talking)","あんたには、 金よりこっちの方がいいかもな。","I think this might be better than money for you.","Para ti, esto puede ser mejor que el dinero."
"narrator","と言って、悪司は晴子のスカートの中に 手を入れた。","Akuji put his hand inside Haruko's skirt.","Y Akuji puso su mano dentro de la falda de Haruko."
"?? (talking)","俗物ね……","You're a snob……","Eres un snob……"
"?? (talking)","お互いさまだよ。","It's mutual.","Es mutuo."
"?? (talking)","あっ……","Oh, ……","Ah: ……"
"Tsujiya Haruko (talking)","何か用？","What do you want?","¿Qué quieres?"
