"character";"jap text";"Eng";"Esp"
"narrator";"ウィミィ人の乗ったジープが止まっていた。 それを取り囲むように数名の子供達がいる。";"A jeep with Wime people in it was parked. There are several children surrounding it.";"Un jeep con gente Wime en él estaba aparcado. Varios niños la rodean."
"shoujo (talking)";"ぎぶみー、ぎぶみーちょこ。";"Gibumi, gibumi choko.";"Gibumi, gibumi choko."
"shounen (talking)";"ぎぶみーしてんかーっ！";"Gibu-mi shikkake!";"¡Gibu-mi shikkake!"
"uimiionnaheishi (talking)";"待て待て、そう慌てないで。 チョコはいくらでもあるから。";"Wait, wait, don't be in such a hurry. There are plenty of chocolates.";"Espera, espera, no te precipites. Hay mucho chocolate para todos."
"joseishikan (talking)";"あいかわらずニホンは貧しいな。";"As usual, Japan is poor.";"Como siempre, Japon es pobre."
"uimiionnaheishi (talking)";"そうですね、我々が正しく指導して あげないといけません。";"Yes, we must guide them correctly.";"Sí, tenemos que guiarlos correctamente."
"joseishikan (talking)";"まったくだ。";"Totally.";"Totalmente."
"uimiionnaheishi (talking)";"ほーら、チョコをくれてやろう。";"Here, let me give you some chocolate.";"Toma, vamos a darte un poco de chocolate."
"narrator";"終戦直後と比べてかなり数は減ったウィミィ 進駐兵だが、このオオサカにもまだまだ多数 見かける事が出来た。
勝者である彼等は、時に傲慢な振る舞いを する事もあるが、それに逆らう事は 今のニホン国民には事実上不可能であった。";"Although the number of Wime occupiers had decreased considerably since the end of the war, they could still be seen in large numbers here in Osaka.
They were the victors and sometimes behaved arrogantly, but it was virtually impossible for the current Japanese citizens to resist them.";"Aunque el número de soldados de la ocupación del Wime ha disminuido considerablemente desde el final de la guerra, todavía se pueden ver muchos de ellos aquí en Osaka.
Los vencedores se comportaban a veces con arrogancia, pero era prácticamente imposible que los actuales ciudadanos japoneses se resistieran a ellos."
"narrator";"ウィミィ女性士官が部下を連れ、 街を歩いている。";"A Wime female officer is walking the streets with her men.";"Wime mujer oficial con sus hombres, caminando por las calles."
"joseishikan (talking)";"ふむ、君。";"Hmmm, you.";"Hm, tú."
"Elite Yakuza (talking)";"は？ 私ですか？";"Huh? Me?";"¿Eh? ¿Yo?"
"joseishikan (talking)";"そうだ、特別に食事に招待してやろう。";"Yes, I'll invite you to a special dinner.";"Sí, te invitaré a una cena especial."
"Elite Yakuza (talking)";"え……ですが……";"Eh… but…";"Eh… pero…"
"uimiiheishi (talking)";"おい、言う事、きイとけ。 俺の上司、怖い。
女性の誘イを断る、それもウィミィの… お前、死ぬヨ、デンジャー。";"Hey, you listen to me. My boss is scary.
Refusing a woman's advances, and that's just for Wime… You're gonna die, Danger.";"Oye, haz lo que te digo. Mi jefe da miedo.
Rechazar las insinuaciones de una mujer, incluso de una Wime… vas a morir, Danger."
