"character","jap text","Eng","Esp"
"Seanel Br (talking)","………………は？ 帰るですって？","What about ………………? You're leaving?","¿Qué hay de ………………? ¿Me voy?"
"Ehavilla Me (talking)","そう驚くほどの事でもあるまい。
特Ａ級の指令書があったにも 関わらず、君およびエデンは 私に協力的ではない。
君はおろか、 ウィミィ統治下に入っているはずの 地域管理組合までもが非協力的だった。
これ以上ニホンに留まれば、 私は自分本来の仕事にまで 支障をきたしかねん。","Not so surprisingly, you and Eden have not been cooperative with me, despite the fact that I have a class A directive.
Despite a class A directive, you and Eden have been uncooperative with me.
Not only you, but even the local management association, which is supposed to be under Wime, has been uncooperative.
If I stay in Japan any longer, I may even jeopardize my own work.","No es tan sorprendente.
A pesar de tener una directiva especial de grado A, tú y Eden han sido poco cooperativos conmigo.
No sólo tú, sino incluso la asociación de gestión local, que se supone que depende de Wime, no ha cooperado.
Si me quedo en Japón más tiempo, estaré obstaculizando mi propio trabajo."
"Seanel Br (talking)","………………","………………","………………"
"Seanel Br (thinking)","ばんざーい、ばんざーい、ばんざーい！ 厄介者が一人減ってくれるわ……！","Hooray, hooray, hooray! That's one less nuisance to deal with……!","¡Hurra, hurra, hurra! Una molestia menos para ti……!"
"Ehavilla Me (talking)","……嬉しそうだな、シーネル司令。","…… You look happy, Commander Seanel.","…… Se le ve feliz, Comandante Seanel."
"Seanel Br (talking)","いえ別に。
しかし残念です、博士。 我々は結局、あなたの役には 立てなかったようで……","No, nothing.
But I am sorry, Doctor. It seems we were of no use to you after all……","No, nada.
Pero lo siento, doctor. Parece que, después de todo, no te hemos servido de nada……"
"Ehavilla Me (talking)","……虫酸が走るな、 その上っ面だけの物言いは。
本当にそう思っているのなら、 憲兵でも衛兵でも何でもいいから 今すぐ那古教にけしかけろ。
そして、強制的に那古教を潰して 私の元に教祖を連れて来たまえ。","…… is a bugger, that superficial talk.
If you really believe that, you should go to Nakokyou right now with the military police, guards, or whatever you can get your hands on.
Then, forcibly crush Nakokyou and bring Oyasama to me.","…… Es usted un bicho, la forma en que habla por los codos.
Si realmente crees eso, entonces deberías ir a Nakokyou ahora con la policía militar, los guardias o lo que quieras.
Entonces, aplasta a la fuerza a Nakokyou y tráeme a Oyasama."
"Seanel Br (talking)","ですから、現在のエデンは、 ニホンの治安回復と女性上位主義の徹底が 最重要課題だと、前にも…………","Therefore, Eden has said before that the most important issues now are to restore security in NIHON and to ensure the supremacy of women in the country…………","Por ello, Eden dice ahora que su máxima prioridad es restablecer la seguridad y garantizar la supremacía de las mujeres en el Nihongo, como ya ha hecho antes: …………"
"Ehavilla Me (talking)","君の屁理屈は聞きたくない。 全く、最後の最後まで非協力的な……","I don't want to hear your quibbles. Totally uncooperative until the very end……","No quiero oír tus objeciones. Totalmente poco cooperativo hasta el final……"
"Seanel Br (talking)","ですから、協力したいのはやまやまですが そういう訳にはいかないのですよ、博士。","So, as much as I would like to cooperate with you, that is not the way it works, Doctor.","Así que, por mucho que me gustaría ayudar, no es así como funciona, Dr."
