"character","jap text","Eng","Esp"
"Takega Satsu (talking)","で？ どういう方法で行くつもりだ。","And? What method are you going to use?","¿Y? ¿Qué método piensa utilizar para llegar hasta allí?"
"Kanbara Yuuko (thinking)","こんないきいきしているさっちゃん見るの 初めてかもしれない~…","I don't think I've ever seen Sacchan so lively…","Creo que nunca he visto a Sacchan tan animado…"
"Yamamoto Akuji (talking)","今夜のうちに、エデンのウィミィ司令部を 強襲する。","Later tonight, we will raid the Wime command center in Eden.","Más tarde, esta noche, asaltaremos el centro de mando de Wime en Edén."
"Kanbara Yuuko (talking)","は~い…","Yes…","Ha~y…"
"Yamamoto Akuji (talking)","はい、夕子さん。","Yes, Yuuko.","Sí, Yuuko."
"Kanbara Yuuko (talking)","でもでも、市議会攻めた時みたくは いかないと思うの…
だって、エデン見たでしょ？
おっきな銃座はあるし、あの建物の中 だって、どれだけの銃器類があるか わかんないし~…
キョウに連絡を入れられて、 本隊がきたりなんかしたら、 私達、おだぶつよ~。","But I don't think it will be like when we attacked the City Council…
I mean, you saw Eden, right?
There's a big gun emplacement, and I don't know how many firearms they have in that building…
If they call Keogh and the main army comes, we'll all be scared to death!","Pero no creo que sea como cuando atacamos al Ayuntamiento…
Porque viste el Edén, ¿verdad?
Hay un gran emplazamiento de armas, y no sabes cuántas armas de fuego hay en ese edificio…
 ¡Si se ponen en contacto con Keogh y viene el ejército principal, todos estaremos muertos de miedo!"
"Yamamoto Akuji (talking)","連絡を入れられなければいい。","You should not be able to contact them.","No deberían poder ponerse en contacto con usted."
"Kanbara Yuuko (talking)","そうだけど~…","Yes, but…","Sí, pero…"
"Yamamoto Akuji (talking)","キョウから部隊がきても、 追い返せばいい。","If a unit comes from Keogh, just turn them away.","Si las tropas vienen de Keogh, sólo hay que rechazarlas."
"Kanbara Yuuko (talking)","そうだけど~…","Yes, but…","Sí, pero…"
"Yamamoto Akuji (talking)","エデンのトップは女だらけだ。","The top of Eden is full of women.","La alta dirección de Eden está llena de mujeres."
"Kanbara Yuuko (talking)","うん~…","Yeah~…","Sí~…"
"Yamamoto Akuji (talking)","トップが男だったら使えない手を使う。","If the top management were men, they would use moves that are not available.","Si los altos cargos fueran hombres, utilizarían movimientos que no están disponibles."
"Kanbara Yuuko (talking)","まさか……","No way……","De ninguna manera……"
"Yamamoto Akuji (talking)","その、まさかさ。
シーネルを、俺に従順なメス犬に 調教してしまえばいいんだ。","I mean, no way.
I should train Seanel to be an obedient bitch to me.","Quiero decir, de ninguna manera.
Puedo entrenar a Seanel para que sea una perra obediente conmigo."
"Kanbara Yuuko (talking)","あらま~~~……","Oh my~~~……","Oh, querida - ……"
"Takega Satsu (talking)","くっ…くくくっ… 男とニホンを馬鹿にしている奴を 調教か。愉快な話だ。","Kuh…kuh…kuh…training a guy who makes fun of men and Nihongo. That's hilarious.","Kuh… kuh… entrenar a un hombre y a un tonto de Nihong. Eso es divertidísimo."
"__system__??","{★愛 = 1:","",""
"Takega Satsu (talking)","そう思わんか？ 嫁殿。","Don't you think so? Dear Wife.","¿No lo crees? Querida esposa."
"Haku Minka (talking)","えっ…","Eh…","Eh…"
"Takega Satsu (talking)","エデンで何があったか、 聞いてはいるだろう？","I'm sure you've heard about what happened in Eden.","Has oído hablar de lo que pasó en el Edén, ¿verdad?"
"Haku Minka (talking)","は、はい……","is, yes ……","Ja, sí ……"
"Takega Satsu (talking)","そなたは、悪司が他の女に手を出すのを イヤがっていると聞いている。
それを知っているうえで、 私は敢えて悪役になる。
悪司がシーネルを抱く事を許せ。","I hear that you do not want Akuji to touch other women.
Knowing this, I dare to be the villain.
Allow Akuji to have Seanel.","He oído que no quieres que Akuji toque a otras mujeres.
Sabiendo esto, me atrevo a ser el villano.
Permite a Akuji tener a Seanel."
"Haku Minka (talking)","あたし……","I ……","I……"
"Takega Satsu (talking)","夫のプライドを傷つけられたのだぞ。
それにあれ以上、あのような事が エスカレートし続けたら、恐らく 悪司の命が――","You know, it was a wound to my husband's pride.
And if things like that continue to escalate, Akuji's life will probably be--","Has herido el orgullo de mi marido.
Y si las cosas siguen aumentando, tal vez la vida de Akuji…"
"Yamamoto Akuji (talking)","そのぐらいでいい、さっちゃん。","That's about right, Sacchan.","Así es, Sacchan."
"Takega Satsu (talking)","………………","………………","………………"
"Haku Minka (talking)","…………","…………","…………"
"Yamamoto Akuji (talking)","悪いな、民華さん。 あんたとの約束、破らせて貰う。","Sorry, Mr. Minka. I'm going to have to break my promise to you.","Lo siento, Minka. Voy a tener que romper la promesa que te hice."
"Haku Minka (talking)","…………","…………","…………"
"Yamamoto Akuji (talking)","イヤだったら、この場で離婚してくれ。","If you don't like it, divorce me right here and now.","Si no quieres, divórciate aquí y allá."
"Haku Minka (talking)","えっ……","Eh ……","Eh ……"
"Yamamoto Akuji (talking)","俺はあんたが大事だ。 その大事なあんたとの約束を破る。
あんたに離縁されてもしかたないと思う。","I care about you. I'm breaking my promise to you.
I think I deserve to be divorced from you.","Me preocupo por ti. Estoy rompiendo mi promesa a usted.
Creo que es justo que me dejes."
"Haku Minka (talking)","……………","……………","……………"
"Yamamoto Akuji (talking)","これからする事は、俺の勝手でする事だ。","What I'm about to do, I'm going to do on my own.","Lo que voy a hacer ahora, lo voy a hacer por mi cuenta."
"Haku Minka (talking)","…………………","…………………","…………………"
"narrator","民華は黙って悪司の胸に抱きついた。","Minka silently hugged Akuji's chest.","Minka se abrazó en silencio al pecho de Akuji."
"Yamamoto Akuji (talking)","民華さん……","Minka Ms……","Minka ……"
"Haku Minka (talking)","馬鹿な亭主持つと…苦労しちゃうよぉ…","You'll have a hard time if you have a stupid husband…","Tienes un marido estúpido… lo vas a pasar mal…"
"Yamamoto Akuji (talking)","そだな…","Sodas…","Sod…"
"Haku Minka (talking)","一回だけ……だからね… これっきりだよ…
嫉妬してるとこも… みせたくないんだから…","It's just one time……… and it's the last time…
I don't want you to see me jealous.","Es sólo una vez……… y es la última vez…
No quiero que me veas celoso… y no quiero que me veas celoso…"
"Yamamoto Akuji (talking)","あんたは何しても可愛いって。","He said you are pretty no matter what.","Ella dijo que eres bonita sin importar qué."
"Haku Minka (talking)","………馬鹿……","……… stupid ……","……… estúpido ……"
"__system__??","}","",""
"Yamamoto Akuji (talking)","おーし。 それじゃ出撃だ。 全員、用意した車に乗り込め。
仲良く、総攻撃だ。","Oshi. Let's get out of here. All of you, get into the cars we've prepared.
Let's get along and hit it hard.","Oooh. Entonces salgamos. Que todo el mundo entre en los coches que hemos preparado.
Llevarse bien y atacar a la vez."
"narrator","嵐はより一層、酷くなっていた。","The storm was getting worse.","La tormenta estaba empeorando."
"Takega Satsu (talking)","酷い嵐になったな。","It's been a terrible storm.","Ha sido una mala tormenta."
"Yamamoto Akuji (talking)","あーほんと。","Oh, really.","Oh, de verdad."
"__system__??","{RND \ 0:","",""
