"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆キャット = 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{☆キャット > 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"kyatto Me (talking)";"……悪司さん？ どこに居るんですか？";"……Akuji? Where are you?";"……Akuji? ¿Dónde estás?"
"Yamamoto Akuji (talking)";"おー、こっちだこっちだ。 来るの早かったな。";"Oh, this way, this way. You're here early.";"Oh, por aquí, por aquí. Has llegado pronto."
"kyatto Me (talking)";"ハイ！ 呼ばれた以上、早いほうがいいと思って あたし、走ってきましたから！";"Hi! Since you called me, I thought it would be better to be quick, so I came running!";"¡Hola! Como me llamaste, pensé que sería mejor ser rápido, ¡así que corrí!"
"Yamamoto Akuji (talking)";"おうおう、感心感心。 でな、今呼んだ用事ってのは……";"Oh, I'm impressed. So, the errand I just called you on is ……";"Oh, oh, estoy impresionado. Así que, el recado para el que te he llamado es ……"
"kyatto Me (talking)";"………………";"………………";"………………"
"Yamamoto Akuji (talking)";"…………何だ？ 人の顔をジトーっと見てよ。";"………… What? Look at people's faces, Jito.";"………… ¿Qué? Mira las caras de la gente, Jito."
"kyatto Me (talking)";"いえ、別に……";"No, not really……";"No, en realidad no……"
"Yamamoto Akuji (talking)";"別にっておめー、 いきなりすんげぇ機嫌悪そうな 顔になったぞ？";"You just suddenly turned really grumpy, didn't you?";"De repente te has vuelto muy gruñón, ¿no?"
"kyatto Me (talking)";"………………";"………………";"………………"
"Yamamoto Akuji (thinking)";"……………………ああ、そうだ。 そういや姉ちゃん博士が…";"…………………… Oh, yeah. Well, my sister, Dr…";"…………………… Oh, sí. Bueno, mi hermana, la Dra…"
"Yamamoto Akuji (talking)";"おうおう、わりぃわりぃ。 仕事だからと思って気を遣って わざわざ走って来たんだもんな。";"Oh, oh, I'm sorry, I'm sorry. I ran all the way here out of concern for you because it's my job.";"Oh, oh, lo siento, lo siento. Corrí hasta aquí porque pensé que era trabajo y me importaba."
