"character";"jap text";"Eng";"Esp"
"Sandy Sa (talking)";"ふー、遊んだ遊んだ。";"Whew, I played, I played.";"Uf, jugó y jugó."
"uimiiheishi (talking)";"サンディ様、そろそろキョウに 帰りましょう。 お時間が…";"Dear Sandy, it's time to go back to Ky. It's time…";"Querida Sandy, es hora de volver a Keogh. Es hora de que…"
"Sandy Sa (talking)";"いやよ。 あたし、もっと遊ぶんだもん。
それよりあんた！ 部下…しかも男のくせに、 何あたしに命令してんのよ！";"No, I don't want to. I'm going to play more.
I don't care! You're my subordinate… and you're a man. Why are you telling me what to do?";"No, no quiero. Voy a jugar más.
 ¡No me importa, tú! Eres mi subordinado… y eres un hombre, ¡por qué me dices lo que tengo que hacer!"
"uimiiheishi (talking)";"す、すみません。";"Sorry, sorry.";"S'il vous plaît."
"Sandy Sa (talking)";"もういいわ！ ソフトクリーム買ってきて！";"Enough! Go get me some soft serve ice cream!";"¡Suficiente! ¡Consígueme un poco de helado suave!"
"uimiiheishi (talking)";"は、はい。";"Ha, yes.";"Ja, sí."
"Sandy Sa (talking)";"もう……ホント使えないんだから。
 …………
 ……ん……";"You can't really use…… anymore.
 ……………… and ……";"Ya no se puede utilizar …….
 …………
 ……n……"
"uimiiheishi (talking)";"サンディ様、どちらへ？";"Dear Sandy, where are you going?";"Querida Sandy, ¿a dónde vas?"
"Sandy Sa (talking)";"女が一人で行くとこっていったら 決まってんでしょ、トイレ！";"If there's one place a woman should go alone, it's the bathroom!";"¿Dónde más podría ir una mujer sola?"
"uimiiheishi (talking)";"は、はい、すみません…";"Ha, yes, sorry…";"Ja, sí, lo siento…"
"Sandy Sa (talking)";"ホンット、気がきかないったら ありゃしない。
あー、次、何乗ろうかな……";"I really can't believe how wacky they are.
Oh, what should I ride next? ……";"No puedo creer lo mucho que he trabajado.
Ah, ¿qué voy a montar ahora? ……"
"narrator";"サンディは、トイレの個室の扉を開けた。";"Sandy opened the door to the private bathroom.";"Sandy abrió la puerta del cuarto de baño privado."
"Sandy Sa (talking)";"えっ……
な、何、あんた、ここ、女子トイ――";"What? ……
What, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what.";"¿Qué? ……
Que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que, que…"
"narrator";"　　［ぷしゅっ］";"[Psshhh!]";"[¡Uf!]"
"Sandy Sa (talking)";"うっ…！？";"Ugh…!";"¡Uf…!"
"narrator";"男はサンディの鼻先に、催眠ガスを吹き掛けた。 サンディはあっという間に気絶し、男の腕の中に 倒れた。";"The man sprayed hypnotic gas on the tip of Sandy's nose. Sandy quickly fainted and fell into the man's arms.";"El hombre roció gas hipnótico en la punta de la nariz de Sandy. Sandy se desmayó rápidamente y cayó en los brazos del hombre."
"uimiiheishi (talking)";"いたか？";"Was there?";"¿Lo había?"
"uimiiheishi (talking)";"いや…そっちは？";"No… that way?";"No… ¿por ahí?"
"uimiiheishi (talking)";"見当たらないぜ。";"Kentou, I ain't got nothing on you.";"Kentou."
"uimiiheishi (talking)";"ったく…どこ行っちまったんだ…";"Where the hell did he go…?";"Dónde coño… dónde coño ha ido…"
"Sandy Sa (talking)";"……………
 ……っ……………
っ………うっ……
 ……ぁっ……
 ……………
なっ……
何、ここ……？";"……………
 …………………
 ……………
 ……aah……
 ……………
What is this place ……
What is this place ……?";"……………
 ………………………… u……
 ……aah……
 ……………
Nah……
 ¿Qué, aquí ……?"
" (talking)";"おはよーさん。";"Good morning.";"Buenos días."
"Sandy Sa (talking)";"お前っ……！！
ここどこ？ 一体っ……";"You! ……!
Where am I? What the hell? ……";"¡Tú! ¡……!
 ¿Dónde estoy? ¿Qué demonios? ……"
"Yamamoto Akuji (talking)";"ここは、俺のショーバイ場所。";"This is my show-by place.";"Este es mi lugar de exhibición."
"Sandy Sa (talking)";"商売……？";"Commerce ……?";"Comercio ……?"
"Yamamoto Akuji (talking)";"タマネギ。";"Tamanegi.";"Tamanegi."
"Tamanegi (talking)";"はい……";"Yes ……";"Sí ……"
"Yamamoto Akuji (talking)";"この女だ。";"This woman.";"Esta mujer."
"Tamanegi (talking)";"なるほど……典型的なウィミィ女ですね… いけますよ。";"I see that…… is a typical Wime woman… It's ok.";"Ya veo…… Típico de una mujer Wime… Puedes seguir."
"Yamamoto Akuji (talking)";"任せた。";"I've got it.";"Te lo he dejado a ti."
"Tamanegi (talking)";"ニホン人客相手に仕込んで よろしいのですね？";"Are you sure you want to do this with a Japanese clientele?";"¿Estás seguro de que quieres montar esto con una clientela japonesa?"
"Yamamoto Akuji (talking)";"おう。
ウィミィ人に怨みを持ったニホンの男達に ズバスバいたぶられても、へーきの へのかっぱなように仕上げてくれ。";"Oh.
Wime make it so that even if you get beaten up by Japanese men who have a grudge against you, you'll still be a heck of a good boy.";"Oh.
Wime hacer que, aunque te peguen los japoneses que te guardan rencor, sigas siendo un chico muy bueno."
"Tamanegi (talking)";"わかりました。";"I understand.";"Entendido."
"Sandy Sa (talking)";"あっ……あんた達、一体……";"Oh…… what the hell are you guys ……";"Oh…… ¿qué diablos son ustedes ……"
"Yamamoto Akuji (talking)";"まあ……こーなったら、あんたも 楽しんだ方が賢明だぜ。";"Well, …you'd be wise to have some fun too.";"Bueno, en… también harías bien en divertirte."
" (talking)";"そんなところで何をしているのですか？ サンディ。";"What are you doing in such a place? Sandy.";"¿Qué haces en un lugar así? Sandy."
"Sandy Sa (talking)";"タマネギ…";"Tamanegi…";"Tamanegi…"
"Tamanegi (talking)";"さあ、始めますよ。 最終仕上げです。";"Now, Hajime, I'm going to put the finishing touches on it. Final touches.";"Vamos, Hajime. Los últimos retoques."
"narrator";"タマネギはサンディの手首をそっと掴んだ。";"Tamanegi gently grabbed Sandy's wrist.";"Tamanegi agarró suavemente la muñeca de Sandy."
"Sandy Sa (talking)";"いやっ！";"No!";"¡No!"
"narrator";"　　［がりっ］
サンディの爪が、タマネギの頬に当たった。 タマネギの頬から細い糸のような血が垂れる。";"[Gulp]…
Sandy's nail hit Tamanegi's cheek. A thin thread of blood drips from Tamanegi's cheek.";"[Gulp]
Las uñas de Sandy golpean la mejilla de Tamanegi. Delgados hilos de sangre goteaban de la mejilla de Tamanegi."
"Sandy Sa (talking)";"あっ……";"Oh, ……";"Ah: ……"
"Tamanegi (talking)";"このぐらいで驚くなんて、 不思議な方ですね。
あなたは、何千というニホン人を テンプラにしたのでしょう？";"It is a wonder that you are surprised by this.
You must have turned thousands of Japanese into tempeh.";"Es extraño que te sorprenda esto.
Debes haber convertido a miles de japoneses en tempura."
"Sandy Sa (talking)";"そっ……そうよ、だからあんたなんかっ…";"That's…… right, that's why I don't want you…";"Eso es…… correcto, así que no tienes que…"
"Tamanegi (talking)";"それはそれ。 これはこれです。";"That is it. This is it.";"Eso es todo. Esto es todo."
"narrator";"タマネギが頬の血を掌で拭うと、 屈強な男が出てきた。";"Tamanegi wiped the blood from his cheek with his palm, and a strong man came out.";"Mientras Tamanegi se limpiaba la sangre de la mejilla con la palma de la mano, surgió un hombre fuerte."
"Tamanegi (talking)";"さっき説明した通りに拘束して下さい。";"Restrain them as I explained to you earlier.";"Sujétalos como te expliqué antes."
