"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆プリシラ = 0:","",""
"__system__??","}","",""
"__system__??","{☆プリシラ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{★愛 = 4:","",""
"__system__??","}","",""
"__system__??","{(★愛 = 0) * (☆プリシラ = 1):","",""
"__system__??","}","",""
"__system__??","{(★愛 = 1) * (☆プリシラ = 1):","",""
"__system__??","}","",""
"__system__??","{(★愛 \ 0) * (☆プリシラ = 1):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","……お、来たかプリシラ。","…… Oh, here you are Priscilla.","…… Oh, aquí estamos Priscilla."
"Priscilla Va (talking)","来たか、って……
くすっ、当然じゃない。 私が悪司に呼ばれて来ない訳が ないでしょう？","I said, “You're here.” ……
I'm not surprised. How could I not come when Akuji called me?","Estás aquí……
No, claro que no. ¿Cómo no voy a ser invitado por Akuji?"
"Yamamoto Akuji (talking)","ま、そりゃそうだ。 お前にメシ食わせてる以上は 俺ぁ雇い主だからな。","Well, that's right. As long as I'm feeding you, I'm your employer.","Así es. Mientras te alimente, soy tu empleador."
"Priscilla Va (talking)","…………………… そうじゃなくて……
ねえ、悪司…… あなた、私に少し冷たくない？","…………………… Not so much… …
Hey, Akuji…… aren't you a little cold to me?","…………………… No es que… …
Oye, Akuji…… ¿no eres un poco frío conmigo?"
"Yamamoto Akuji (talking)","は？","Huh?","¿Ja?"
"Priscilla Va (talking)","私はあなたの単なる部下なの？
少なくとも私は、 そうじゃないつもりだけど……
ルソンでの愛は今も続いていると 私はずっと思っていたけれど……
最近のあなたを見ている限り、 どうもそうじゃないような 気がしてきたの。","Am I just another subordinate of yours?
At least I don't think I am……
I always thought our love affair in Luzon was still going on, but ……
But looking at you lately, I have a feeling that's not the case.","¿Soy tu mero subordinado?
Al menos no tengo intención de serlo……
Siempre pensé que nuestro amor en Luzón seguía adelante, pero ……
Pero viéndote últimamente, tengo la sensación de que no es así."
"Yamamoto Akuji (talking)","何のこった？","What the hell is that?","¿Qué demonios es eso?"
"Priscilla Va (talking)","もしかして、 私と再会したくなかった……？","Perhaps you didn't want to see me again ……?","¿Quizás no querías volver a verme ……?"
"Yamamoto Akuji (talking)","………………
そんな事はねえって。","………………
That ain't true.","………………
No voy a hacer eso, hombre."
"Priscilla Va (talking)","その一呼吸分の間は何？","What is that pause for a breath?","¿Qué es esa pausa para respirar?"
"Yamamoto Akuji (talking)","……間なんてあったか？","Was there such a thing as a…… room?","¿Existe tal cosa entre ……?"
"Priscilla Va (talking)","………………
私も、子供じゃないから…… 人の気持ちが永遠だなんて 信じてはいないわ。
ルソンで別れた後の三年で、 あなたに恋人ができていても 不思議じゃない。
あなたを夢見ながらも…… その覚悟だけは、していたつもり。
だから……お願い。 変に話を逸らさないで……
お願いだから、 私にあなたの本当の気持ちを話して……","………………
I'm not a child either, so I don't believe…… that people's feelings are eternal.
I wouldn't be surprised if in the three years since we broke up in Luzon, you've had a girlfriend.
Even though I dreamed of you,…… I thought I was prepared for that.
So…… please. Don't go off on a tangent……
Please, tell me how you really feel……","………………
Yo tampoco soy un niño, así que…… no creo que los sentimientos de las personas sean eternos.
No me sorprendería que en los tres años desde que rompimos en Luzón, hayas tenido una novia.
Aunque soñé contigo,…… pensé que estaba preparado para ello.
Así que…… por favor. No te salgas por la tangente……
Por favor, dime lo que realmente sientes por mí……"
"Yamamoto Akuji (talking)","………………","………………","………………"
"Yamamoto Akuji (thinking)","やべえ……マジだこいつ。
自意識過剰でも何でもねえ、 マジ俺に惚れてる女の目だぜ……
どーするよ…… 俺んトコから去るのを覚悟で 全部言ってやった方がいいのか？
いや、だが損得勘定で言うと、 姉ちゃん博士を何とかする切り札として こいつは絶対必要だし……
 ………………
人徳より損得が先だな。","Oh man,…… this guy is for real.
He's not self-conscious or anything, he's got the eyes of a woman who's really in love with me……
What do you think I should do?…… Tell him everything in case he leaves my place?
No, but I'll tell you what I'm going to do, I need this guy as a bargaining chip to get rid of Dr. Sis……
 ………………
I'd put profit and loss ahead of humanity.","Oh, hombre…… Este tipo es real.
No está cohibido ni nada, tiene los ojos de una mujer que está realmente enamorada de mí……
 ¿Qué crees que debo hacer,…… contarle todo, por si me deja?
No, pero estoy pensando en ganancias o pérdidas, definitivamente necesito a este tipo como moneda de cambio para deshacerme de la Dra. Sis……
 ………………
Las pérdidas y las ganancias se anteponen a las virtudes personales."
"Priscilla Va (talking)","悪司…………？","Akuji …………?","¿Recibirás un mensaje?"
"Yamamoto Akuji (talking)","大丈夫だって、おめーが何を 心配してんだか知らねえが 俺の気持ちは全然変わってねぇ。
ああ、俺はルソンに居た時と…… おめーの知ってる俺と全く同じつもりだ。","I don't know what you're worried about, but my feelings haven't changed at all.
Yeah, I'm exactly the same as I was in Luzon and the…… you know me.","No sé qué te preocupa, pero mis sentimientos no han cambiado en absoluto.
Sí, voy a ser exactamente el mismo…… ya me conoces como era en Luzón."
"Yamamoto Akuji (thinking)","……嘘じゃねえぞ、コレは。","…… I ain't lying, here.","…… No estoy mintiendo."
"Priscilla Va (talking)","本当なの……？　悪司…… 信じていていいのね……？","Is it true ……?　Akuji…… I'm supposed to believe you ……?","¿Es cierto ……?　Akuji…… ¿podemos confiar en ti ……?"
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Priscilla Va (talking)","………………有り難う…… その言葉だけで、今は充分……","Thank you……………… Thank you…… Those words are enough for now ……","Gracias……………… Gracias…… Esas palabras son suficientes por ahora ……"
"Yamamoto Akuji (talking)","………………","………………","………………"
"Yamamoto Akuji (thinking)","人徳取った方が良かったかもしれん。","It might have been better to take human virtue.","Hubiera sido mejor tomar la virtud humana."
"Yamamoto Akuji (talking)","えーと、たしかプリシラは まだココに居たはずだが……","Well, I believe Priscilla was still here: ……","Bueno, creo que Priscilla todavía estaba aquí……"
"Elite Yakuza (talking)","……若、誰かをお捜しですか？","…… young, are you looking for someone?","…… joven, ¿buscas a alguien?"
"Yamamoto Akuji (talking)","おう、プリシラは どこに居たかと思ってな。
おめー、この近所で見なかったか？","Hey, I was wondering where Priscilla was.
Hey, have you seen him around the neighborhood?","Me preguntaba dónde estaba Priscilla.
Oye, ¿la has visto en el barrio?"
"Elite Yakuza (talking)","………………
さっき……向こうで見たような。 ですが知りません。","………………
I think I just saw it over there at ……. But I don't know.","………………
Creo que lo acabo de ver en ……. Pero no lo sé."
"Yamamoto Akuji (talking)","……？
向こうで見たってのも、 知らないってのも別にいいんだが。
なんかおめー、言葉にトゲがねえか？","……?
I don't care if you saw it over there or don't know about it.
You're kind of prickly, aren't you?","……?
No importa si lo has visto allí o no.
Tienes un poco de pico en tu vocabulario, ¿no?"
"Elite Yakuza (talking)","……そうでしょうか？","…… Is that right?","…… ¿Es eso cierto?"
"Yamamoto Akuji (talking)","うわ、なんかめっちゃ嫌そーだな。 んな事訊くなって感じのツラか？","Wow, you look like you don't like it very much. Is that the kind of look that says, “Don't ask me that question”?","Vaya, parece que lo odias mucho. ¿Es el tipo de mirada que dice: “No me hagas esa pregunta”?"
"Elite Yakuza (talking)","……","……","……"
"Yamamoto Akuji (talking)","おめー、プリシラと何かあったか？ それともプリシラが何かやったのか？","Hey, did you have something to do with Priscilla? Or did Priscilla do something?","Tú, ¿tuviste algo que ver con Priscilla? ¿O es que Priscilla hizo algo?"
"Elite Yakuza (talking)","………………
あの、若……
私が言うべき事ではないと 承知しているのですが、 あえて言わせて下さい。
なぜ、あの女がここに居るのですか？","………………
Well, young ……
I know it's not my place to say this, but I'm going to go out on a limb and say it.
Why is that woman here?","………………
Bueno, joven ……
Sé que no me corresponde decir esto, pero me atrevo a decirlo.
 ¿Por qué está esa mujer aquí?"
"Yamamoto Akuji (talking)","はあ？","Huh?","¿Eh?"
"Elite Yakuza (talking)","あの女、ウィミィの将校なのでしょう？","That woman is an officer of Wime, isn't she?","Es una oficial de Wime, ¿no?"
"Yamamoto Akuji (talking)","そーだけど？","Yeah, but what?","Sí, ¿pero qué?"
"Elite Yakuza (talking)","だったら何故…… 娼婦や奴隷、鉄砲玉ならともかく、 若の側でああも大事になさるなど……","If so, then why do you take such good care of…… a prostitute, a slave, or a gunman, but not on the side of a young man?","Si es así, ¿por qué…… se cuida tanto de los jóvenes, por no hablar de las prostitutas, los esclavos y los pistoleros? ……"
"Yamamoto Akuji (talking)","？
何か、おめーが言ってる事が いまいち掴めねえんだけどな……","What's going on?
I'm not sure what you're talking about……","¿Qué está pasando?
No sé muy bien de qué estás hablando……"
