"character";"jap text";"Eng";"Esp"
"shoujo (talking)";"るん、るるん………";"Lun, Lun ………";"Lun, Lun ………"
" (talking)";"そ、そこの君……";"Well, you there: ……";"Ahí tienes: ……"
"shoujo (talking)";"ん？ わたしの事？";"Hmm? You mean me?";"¿Hmm? ¿Te refieres a mí?"
"Johnson Be (talking)";"か、可愛いね。 チョコ…好き？";"You're so cute. Chocolate… do you like it?";"Eres muy lindo. Chocolate… ¿te gusta?"
"shoujo (talking)";"うん、好きー！";"Yeah, I love it!";"Sí, me gusta."
"Johnson Be (talking)";"じゃ、じゃあ、あげるよ…… は、はい……";"Well, then, I'll give it to you:…… Yes, yes: ……";"Bueno, entonces, te lo daré:…… Sí, sí: ……"
"shoujo (talking)";"ありがとう、異人さん。 食べていい？";"Thank you, alien. May I eat?";"Gracias, alienígena. ¿Puedo comer?"
"Johnson Be (talking)";"う、うん…… どんどん食べて…";"Umm, yeah…… Keep eating and eating…";"Umm, sí…… Sigue comiendo más y más…"
"shoujo (talking)";"ぱく……美味しい。";"Paku…… delicious.";"Paku…… delicioso."
"Johnson Be (talking)";"そ、そう……";"So, yes ……";"Así que, sí: ……"
"shoujo (talking)";"……あっ……あれれ？ なんだか、眠くなってきちゃった……";"Oh…… oh…… what the heck? I'm getting sleepy……";"…… Oh,…… ¿qué demonios? Empiezo a tener sueño……"
"Johnson Be (talking)";"じゃ、じゃあ……
ボクのお部屋で…ねんねする？ そ、添い寝してあげるよ… ふ…ふふ……";"Okay, then……
Do you want to sleep in my room?";"Bien, entonces……
 ¿Quieres dormir en mi habitación? Bueno, me acostaré contigo… hmm… hmm… hmm… ……"
"shoujo (talking)";"う…うーん……";"Umm…ummm ……";"Umm… umm… ……"
"narrator";"女の子はパタンと倒れてしまった。";"The girl fell down with a slam.";"La chica se desplomó."
"Johnson Be (talking)";"ふふ……ふふふ……ふふ……";"Hmmm……… Hmmm……… Hmmm… ……";"ff…… ff…… ff…… ff…… ff……"
"narrator";"　　［どんどんっっっっ］";"［More and more!]";"[más y más]"
" (talking)";"ジョンソン、ジョンソンいるんだろう！ さっさと出ろ！！";"Johnson, Johnson I know you're in there! Get the hell out of here!";"Johnson, Johnson ¡Sé que estás ahí! ¡Lárgate de aquí!"
"Johnson Be (talking)";"う……うう……怖いよぅ…… 大人の女… う…うう……";"U…… ugh…… I'm scared…… adult woman… ugh… ugh ……";"U…… uu…… uu…… uu…… uu…… uu…… uu…… uu…… uu… uu…… uu… uu……"
" (talking)";"ジョンソン！！ 開けないか！！";"Johnson! Can't you open it!!!!!!!!!!!!!!!!!!!!!!!";"¡¡¡Johnson!!! ¡No puedes abrirlo!"
"Johnson Be (talking)";"やだ…やだよぅ…… 怖いよぅ…… た、助けて、ジェシーちゃん……";"Oh no… oh no… oh no……… I'm scared……… Oh, help me, Jesse… ……";"Oh no… oh no… oh no……… Tengo miedo……… Oh, ayúdame, Jesse… ……"
" (talking)";"開けてしまえ！！";"Open it up!";"¡Ábrelo!"
"narrator";"　　［バンバンバンッッッ］
銃弾が鍵を壊す。";"[bang bang bang]
Gun Dan breaks the lock.";"[bang bang bang]
El arma Dan rompe la cerradura."
"Johnson Be (talking)";"ひ、ひいぃぃ……！";"Hi, hiiiii……!";"¡Hola, hiiiii……!"
"uimiionnaheishi (talking)";"うっ……！？";"Ugh ……!";"¡Ugh ……!"
