character,jap text,Eng,Esp
__system__??,{●ＥＸ \ 0:,,
__system__??,},,
__system__??,{戦闘Ｏ = 1:,,
__system__??,},,
__system__??,{R支配[1] \ 1:,,
__system__??,},,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,{(RND = 0) * (★★民華 = 3):,,
__system__??,},,
__system__??,{(RND = 0) * (★愛 = 2):,,
__system__??,},,
__system__??,{(RND = 0) * (★愛 = 3):,,
__system__??,},,
__system__??,{(RND = 0) * (☆イハビーラ > 10):,,
__system__??,{★愛 = 4:,,
__system__??,},,
__system__??,},,
__system__??,{(RND = 0) * (☆殺 \ 0) * (☆ギガフロート = 0) * (★★殺 \ 99):,,
__system__??,{★愛 = 5:,,
__system__??,},,
__system__??,},,
__system__??,{(RND = 0) * (☆傀儡議会 = 0) * (☆夕子 \ 0):,,
__system__??,},,
__system__??,{(RND = 0) * (☆アンリ > 20):,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{(★★那古 = 3) * (☆由女／死亡 = 0) * (D11 = 0):,,
__system__??,},,
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ 　悪司は大切な力を失った。,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Akuji lost his precious power.,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Akuji perdió un poder importante.
 (talking),御免！！,Sorry!,Lo siento.
Yamamoto Akuji (talking),"どしたい？ じーさん…
 …………？
何を、そんなに怒って……","What do you want? Grandpa…
 …………?
What, so angry ……","¿Qué quieres hacer? El abuelo…
 …………?
Qué, tan enfadado ……"
Yamamoto Ippatsu (talking),この、愚図がぁぁ！！！,"You stupid, stupid, stupid!","¡Estúpido, estúpido, estúpido!"
Yamamoto Akuji (talking),ひえっ……,Heehee ……,Heehee: ……
Yamamoto Ippatsu (talking),何をグズグズしておるか！！ あのように弱体化した組織ひとつに てこずっていて、どうする！？,What are you waiting for? What are you going to do with such a weakened organization?,¿A qué esperas? ¿Qué vas a hacer si te quedas con una organización así de debilitada?
Yamamoto Akuji (talking),あー…それは……,Uh… that's ……,Uh… eso es ……
Yamamoto Ippatsu (talking),問答無用じゃ！！ この馬鹿孫がぁぁぁ！！！,No questions asked! You stupid grandson!,Sin preguntas. ¡Estúpido nieto!
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ 　遅すぎて一発に怒られた,"☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Too late, Ippatsu got mad at me.","☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Demasiado tarde, Ippatsu se enfadó conmigo."
narrator,青年団女子が、青い顔をして ふらふらと事務所に入ってきた。,Seinendan Jyoshi wandered into the office with a blue face.,Seinendan Jyoshi entró en la oficina con un aspecto azul.
Seinendan Jyoshi (talking),悪司さ~ん…,Akuji…,Akuji…
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
Seinendan Jyoshi (talking),なくなっちゃいましたー…,It's gone…,Se ha ido…
Yamamoto Akuji (talking),何が？,What?,¿Qué?
Seinendan Jyoshi (talking),奉仕青年団の、活動資金……,"Service Youth Group, funds for activities ……","Servicio de grupos de jóvenes, financiación de sus actividades: ……"
Yamamoto Akuji (talking),"……………
えっ！？","……………
What!!!","……………
 ¡Eh!"
Seinendan Jyoshi (talking),"……ないです…… ………しくしくしく……
私達もう、いい事も悪い事も 出来ません…しくしく…","……We can't…… ………skuskusku……
We can no longer do the good or the bad… skuskusku……","……No podemos…… skusku……
Ya no podemos hacer lo bueno o lo malo……"
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆
narrator,　☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ 　　　　破産,☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Bankruptcy,☆☆ＧＡＭＥ　ＯＶＥＲ☆☆ Quiebra
Kanbara Yuuko (talking),ん~~………,Hmmm~~………,Hmmm~~………
Yamamoto Akuji (talking),どうしたんだい、夕子さん。 朝からなんか変な声出してっけど…,"What's the matter, Yuuko? You've been making strange noises since this morning…","¿Qué pasa, Yuuko? Has estado haciendo ruidos extraños toda la mañana…"
Kanbara Yuuko (talking),なんだか、胸が苦しくて… ……な~んとなく、嫌な感じが……,"I feel like I'm having a hard time… …I don't know, I have a bad feeling about it…","Siento que lo estoy pasando mal… No sé, tengo un mal presentimiento…"
Yamamoto Akuji (talking),おい、夕子さん……自分の躰に そのな~んとなくを使っちまうと…,"Hey, Yuuko, ……, if you use that “anything” for your body…","Oye, Yuuko, ……, si usas esa 'nada' para tu cuerpo…"
Kanbara Yuuko (talking),"………………
 ………ん~~……","………………
 ………ん~~……","………………
 ………ん~~……"
narrator,"　　［ぱたり］
夕子は床に倒れ、動かなくなった。","［PATTER.]
Yuuko collapsed on the floor and stopped moving.","[JADEO]
Yuuko se derrumbó en el suelo y dejó de moverse."
Yamamoto Akuji (talking),"えっ……
お、おい、夕子さん？ 夕子さん！！","What? ……
Oh, hey, Yuuko-san? Mr. Yuuko!","¿Qué? ……
Oh, hey, Yuuko? ¡Señor Yuuko!"
Takega Satsu (talking),"悪司、どういうつもりで市議会を 放置しているのか、聞きにきたのだが。 さっさと攻めん……と……
 ………どうした？ 夕子さんがどうして倒れて…","Akuji, I'm here to ask you what kind of intentions you have in leaving the city council in the lurch. Get off your ass and attack…… and ……
What's wrong with ………? How did Yuuko fall…","Akuji, vengo a preguntarte qué intención tienes al dejar al ayuntamiento en la estacada. Ataque rápido…… y ……
 ¿Qué pasa con ………? ¿Cómo cayó Yuuko…"
Yamamoto Akuji (talking),………脈がない…,……… No pulse…,……… No hay pulso…
Takega Satsu (talking),なんだと！？,What the hell?,¿Qué demonios?
