"character";"jap text";"Eng";"Esp"
"__system__??";"{●ＥＸ \ 0:";"";""
"narrator";"　　このモードでは、情報は無し";"No information in this mode";"No hay información en este modo."
"__system__??";"}";"";""
"__system__";"{☆簡単 = 1:";"";""
"narrator";"　☆☆　現在　簡単モード　☆☆";"　☆☆　Currently in easy mode　☆☆";"☆☆　Actualmente en modo fácil　☆☆"
"__system__";"~R:";"";""
"narrator";"　　正規の難易度ではありません。";"  It's not the normal difficulty.";"  No es el nivel de dificultad normal."
"__system__";"}";"";""
"__system__??";"{RND \ 0:";"";""
"__system__??";"} else {";"";""
"__system__??";"}";"";""
"__system__??";"{DB = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{D11 = 701:";"";""
"Shimamoto Jun (talking)";"お聞きになりたいのは、どの事ですか？ 私にわかる事でしたらお答えします。";"Which of the following questions would you like to ask? I will answer if I know the answer.";"¿Cuál de las siguientes preguntas le gustaría hacer? Responderé a su pregunta si sé lo que es."
"__system__??";"}";"";""
"__system__??";"{D11 = 702:";"";""
"Seinendan Jyoshi (talking)";"あっ……はい、なんでしょう。";"Oh…… Yes, what is it?";"Ah…… Sí, ¿qué es?"
"Yamamoto Akuji (talking)";"情報を聞かせてくんねーかな。 ちゃんとまとめてるよな？";"I'd love to hear some information. You're putting it all together right?";"Me gustaría escuchar algo de información, por favor. Lo tienes todo junto, ¿no?"
"Seinendan Jyoshi (talking)";"…………す、すみません…… わたし、よく分かりません……";"………… sorry…… I'm not sure ……";"………… Lo siento, lo siento…… No estoy seguro ……"
"Yamamoto Akuji (thinking)";"……やっぱ、情報に詳しい奴がいるな。";"…… I knew there was a well-informed guy.";"…… sabía que alguien estaba bien informado."
"__system__??";"}";"";""
"narrator";"　どの情報を聞きますか？ 　　経過時間　　（";"Which information do you want to hear? 　　Elapsed time (";"¿Qué información quieres escuchar? 　　Tiempo transcurrido ("
"narrator";"週） 　　現在の総戦闘力（";"(Weeks) Current Total Combat Power (";"(semanas) Potencia de combate total actual ("
"narrator";"ドン）";"(Don)";"(Don)"
"menu_label__(L_02615)";"注意すべき点";"Points to note";"Puntos a tener en cuenta."
"menu_label__(L_0233e)";"悪司の恋";"Love of Akuji.";"Amor de Akuji."
"menu_label__(L_008fb)";"簡易計算";"Simplified Calculation";"cálculo sencillo"
"menu_label__(L_00a31)";"自軍地域への侵入者";"Intruders in their own area";"Intrusos en su propia área."
"menu_label__(L_00b63)";"地域分析";"Regional Analysis";"análisis regional"
"menu_label__(L_007e9)";"各種記録";"Various records";"Varios discos"
"__system__??";"{DB = 1:";"";""
"menu_label__(L_002f3)";"★★★デバッグ★★★";"★★★ Debugging ★★★";"★★★ Depuración ★★★"
"__system__??";"}";"";""
"menu_label__(L_0042a)";"■■　　終了　　■■";" ■■ End ■■";"■■ Fin ■■"
"narrator";"　　デバッグモード";"debug mode";"modo de depuración"
"__system__??";"{DB = 0:";"";""
"narrator";"　ＯＦＦ　";"　ＯＦＦ　";"　ＯＦＦ　"
"__system__??";"}";"";""
"__system__??";"{DB = 1:";"";""
"narrator";"　ＯＮ　";"　ＯＮ　";"　ＯＮ　"
"__system__??";"}";"";""
"menu_label__(L_02059)";"★フラグ";"★ flag";"★Bandera."
"menu_label__(L_03637)";"★構成員";"★Constituents";"★Componentes"
"menu_label__(L_01ec2)";"★各種記録";"★Various records";"★Varios discos"
"menu_label__(L_00cab)";"★フラグ修正";"★Flag Correction";"★Banderas arregladas."
"menu_label__(L_0061d)";"長期記録ファイル";"longitudinal record file";"archivo de registro longitudinal"
"menu_label__(L_003f8)";"デバッグフラグ";"debug(ger) flag";"bandera debug(ger)"
"menu_label__(L_00440)";"スキル追加";"Additional Skills";"Habilidades adicionales."
"menu_label__(L_003f1)";"ロールへ";"To Roll";"A rodar."
"menu_label__(L_0042a)";"■■　　終了　　■■";"■■ End ■■";"■■ Fin ■■"
"__system__??";"{DB = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{DB = 1:";"";""
"__system__??";"}";"";""
"menu_label__(L_004a9)";"悪司につける";"Attach it to Akuji.";"Adjúntalo a Akuji."
"menu_label__(L_00525)";"殺につける";"Attach to Satsu.";"Adjuntar a Satsu."
"menu_label__(L_005a1)";"大杉につける";"Attach it to Oosugi.";"Adjúntalo a Oosugi."
"menu_label__(L_00488)";"旗男と";"With Hatao.";"Con Hatao."
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"narrator";"　悪司のスキル 　　スキル番号　［";"Akuji's skills Skill number ［Skill(s)";"Habilidades de Akuji Habilidad no."
"narrator";"］";"］";"］"
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"narrator";"　殺のスキル 　　スキル番号　［";"Satsu's skills Skill number [Satsu's skills";"Habilidades de Satsu Habilidades no."
"narrator";"］";"］";"］"
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"narrator";"　剛のスキル 　　スキル番号　［";"Tsuyoshi's skills Skill number [Tsuyoshi's skills";"Habilidades de Tsuyoshi Habilidad no."
"narrator";"］";"］";"］"
"menu_label__(L_00657)";"ＳＣＧ";"ＳＣＧ";"ＳＣＧ"
"menu_label__(L_006bc)";"ＳＩＴ";"ＳＩＴ";"ＳＩＴ"
"menu_label__(L_00720)";"ＳＶＧ";"ＳＶＧ";"ＳＶＧ"
"menu_label__(L_00784)";"ＳＥＬＰ";"ＳＥＬＰ";"ＳＥＬＰ"
