"character";"jap text";"Eng";"Esp"
"__system__??";"{Bキャラ = 1:";"";""
"?? (talking)";"うーし、いい調子だな。";"Woohoo, you're in good shape.";"Woohoo, estás en buena forma."
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 2:";"";""
"?? (talking)";"この調子で、もっと頑張って強くなって… 色々と、なんとかしなくちゃ…";"At this rate, I'll have to work harder and stronger… and do something about a lot of things…";"A este paso, tendré que trabajar más y más fuerte… y hacer algo con muchas cosas…"
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 3:";"";""
"?? (talking)";"やったにゃり。 未来ちゃん、正義にゃりよ。";"Yay! Mirai, you are righteous.";"Yayari. Mirai, eres justo."
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 4:";"";""
"?? (talking)";"強くなるのって…不思議…";"It's… strange… to be strong…";"Es… extraño… ser fuerte…"
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 5:";"";""
"?? (talking)";"…フン……今更強くなってもね……";"…Hun…… even if it's stronger now……";"…Hun…… aunque ahora sea más fuerte……"
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 7:";"";""
"?? (talking)";"おっし！ これでちょっとは役に立つ部下に なったかな？";"Yes! Now I'm a little more useful to you, aren't I?";"¡Sí! Ahora eres un subordinado útil, ¿no?"
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 8:";"";""
"?? (talking)";"…………そう。 強くなれたのね、以前より。";"…………Yes. You're stronger now, than you were before.";"………… Sí. Eres más fuerte que antes."
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 9:";"";""
"?? (talking)";"フフ、悪くないね。 これで若旦那の役に立てるよ。";"Huh, not bad. This will help the young master.";"No está mal. Esto ayudará al joven maestro."
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 10:";"";""
"?? (talking)";"これからは強さではなく、 優しさの時代なのじゃが……";"From now on, it's not about strength, but about gentleness……";"El futuro no es una era de fuerza, sino de dulzura……"
"__system__??";"}";"";""
"__system__??";"{Bキャラ = 11:";"";""
"?? (talking)";"まだまだやるでござんすよ！";"I'm still working on it!";"Todavía vamos a hacerlo."
"__system__??";"}";"";""
