character,jap text,Eng,Esp
__system__??,{●ＥＸ = 0:,,
__system__??,},,
__system__??,{(0 < RND) * (RND < 100):,,
__system__??,},,
__system__??,{RND = 101:,,
__system__??,},,
__system__??,{RND = 102:,,
__system__??,},,
__system__??,{R支配 \ 1:,,
__system__??,},,
__system__??,{P1フラグ = 2:,,
__system__??,},,
__system__??,{P2フラグ = 2:,,
__system__??,},,
__system__??,{R治安レベル \ 0:,,
__system__??,},,
__system__??,{R治安レベル = 0:,,
__system__??,},,
__system__??,{P3フラグ \ 0:,,
__system__??,},,
__system__??,{P3フラグ = 0:,,
__system__??,},,
__system__??,{P3フラグ = 1:,,
__system__??,},,
__system__??,{P3フラグ = 8:,,
__system__??,},,
__system__??,{P3フラグ = 9:,,
__system__??,},,
__system__??,{(☆駄目／事件 = 1) * (☆駄目／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆生物／事件 = 1) * (☆生物／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆生物／事件 = 2) * (☆生物／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆生物／事件 = 3) * (☆生物／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆生物／事件 = 4) * (☆生物／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆外人／事件 = 1) * (☆外人／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆外人／事件 = 2) * (☆外人／地域 = 地域番号):,,
__system__??,},,
__system__??,{(☆外人／事件 = 3) * (☆外人／地域 = 地域番号):,,
__system__??,},,
__system__??,{☆山沢 = 地域番号:,,
__system__??,},,
__system__??,{(☆選挙 \ 0) * (☆選挙 \ 10):,,
__system__??,},,
__system__??,{(☆たね > 20) * (☆たね \ 99) * (☆たね \ 22):,,
__system__??,},,
__system__??,{(☆苺 = 5) * (P3フラグ[地域番号] = 1):,,
__system__??,},,
__system__??,{●ＥＸ \ 0:,,
__system__??,},,
__system__??,{地域番号 = 1:,,
__system__??,},,
__system__??,{地域番号 = 2:,,
__system__??,},,
__system__??,{地域番号 = 3:,,
__system__??,},,
__system__??,{地域番号 = 4:,,
__system__??,},,
__system__??,{地域番号 = 5:,,
__system__??,},,
__system__??,{地域番号 = 6:,,
__system__??,},,
__system__??,{地域番号 = 7:,,
__system__??,},,
__system__??,{地域番号 = 8:,,
__system__??,},,
__system__??,{地域番号 = 9:,,
__system__??,},,
__system__??,{地域番号 = 10:,,
__system__??,},,
__system__??,{地域番号 = 11:,,
__system__??,},,
__system__??,{地域番号 = 12:,,
__system__??,},,
__system__??,{地域番号 = 13:,,
__system__??,},,
__system__??,{地域番号 = 14:,,
__system__??,},,
__system__??,{地域番号 = 15:,,
__system__??,},,
__system__??,{地域番号 = 16:,,
__system__??,},,
__system__??,{地域番号 = 17:,,
__system__??,},,
__system__??,{地域番号 = 18:,,
__system__??,},,
__system__??,{地域番号 = 19:,,
__system__??,},,
__system__??,{地域番号 = 20:,,
__system__??,},,
__system__??,{地域番号 = 21:,,
__system__??,},,
__system__??,{地域番号 = 22:,,
__system__??,},,
__system__??,{地域番号 = 23:,,
__system__??,},,
__system__??,{地域番号 = 24:,,
__system__??,},,
__system__??,{地域番号 = 25:,,
__system__??,},,
__system__??,{地域番号 = 26:,,
__system__??,},,
__system__??,{地域番号 = 27:,,
__system__??,},,
__system__??,{地域番号 = 28:,,
__system__??,},,
__system__??,{地域番号 = 29:,,
__system__??,},,
__system__??,{地域番号 = 30:,,
__system__??,},,
__system__??,{地域番号 = 31:,,
__system__??,},,
__system__??,{地域番号 = 32:,,
__system__??,},,
__system__??,{地域番号 = 33:,,
__system__??,},,
__system__??,{地域番号 = 34:,,
__system__??,},,
__system__??,{地域番号 = 35:,,
__system__??,},,
__system__??,{SEL[3] = 2:,,
menu_label__(L_00fcf),協力金増加運動,Campaign to Increase Cooperation Funds,campaña para aumentar los pagos de cooperación
__system__??,},,
__system__??,{SEL[1] = 1:,,
??,　　（征圧）,(Conquest pressure),(Conquista)
__system__??,},,
__system__??,{SEL[2] = 1:,,
??,　　（征圧）,(Conquest pressure),(Conquista)
__system__??,},,
__system__??,{SEL[6] = 1:,,
menu_label__(L_01a61),　よっぱらい退治,exterminating a drunkard,exterminar a un borracho
__system__??,},,
__system__??,{SEL[6] = 11:,,
menu_label__(L_01b5b),　ネズミ退治,rat poison,veneno para ratas
__system__??,},,
__system__??,{SEL[6] = 12:,,
menu_label__(L_01cb7),　犬退治,exterminating a dog,exterminar a un perro
__system__??,},,
__system__??,{SEL[6] = 13:,,
menu_label__(L_01dfc),　猿退治,exterminating a monkey (or monkey bars),exterminar un mono (o barras de mono)
__system__??,},,
__system__??,{SEL[6] = 14:,,
menu_label__(L_01f13),　ダチョウ退治,ostrich extermination,matanza de avestruces
__system__??,},,
__system__??,{SEL[6] = 21:,,
menu_label__(L_0202a),ウィミィ事件　　（暴行）,Wime Incident (Assault),Incidente con el tiempo (agresión)
__system__??,},,
__system__??,{SEL[6] = 22:,,
menu_label__(L_0207e),ウィミィ事件（セクハラ）,Wime case (sexual harassment),Caso Wime (acoso sexual)
__system__??,},,
__system__??,{SEL[6] = 23:,,
menu_label__(L_020d2),ウィミィ事件　（レイプ）,Wime Incident (Rape),Incidente de la cal (Violación)
__system__??,},,
__system__??,{SEL[6] = 99:,,
menu_label__(L_009a8),宝探し,treasure hunting,búsqueda de tesoros
__system__??,},,
__system__??,{SEL[7] = 1:,,
menu_label__(L_018f7),山沢麻美を保護する,Protect Yamazawa Asami.,Protege a Yamazawa Asami.
__system__??,},,
__system__??,{SEL[8] = 1:,,
menu_label__(L_01959),選挙活動　　（街頭演説）,Election campaigning (speeches on the street),Campaña electoral (discursos en la calle)
__system__??,},,
__system__??,{SEL[8] = 1:,,
menu_label__(L_01987),選挙活動（裏金５００万）,Election campaign (5 million in back taxes),Campaña electoral (5 millones en impuestos atrasados)
__system__??,},,
__system__??,{SEL[9] = 1:,,
menu_label__(L_019e8),たねの死体探し,Tane's search for a corpse,La búsqueda de cadáveres de Tane.
__system__??,},,
__system__??,{SEL[9] = 2:,,
menu_label__(L_01a17),池田苺　拉致,Ikeda Ichigo Abduction,Ikeda Ichigo Secuestro
__system__??,},,
__system__??,{SEL[5] = 9:,,
