"character","jap text","Eng","Esp"
"narrator","　エラー 　このファイル名は、もう無いです。 　削除して下さい。","Error This filename is no longer available. 　Please delete it.","Error Este nombre de archivo ya no está disponible. 　Por favor, bórralo."
"narrator","──多数のウィミィ兵を乗せたトラックが、 その地の主要施設全てに突然乗り込んできた。","Trucks carrying large numbers of Wime soldiers suddenly rolled up to all the major facilities in the area.","─ ─ Los camiones que transportan un gran número de soldados Wime han entrado de repente en todas las instalaciones importantes de la zona."
"__system__??","{☆イハビ占領 = 0:","",""
"Judy Ca (talking)","……よし、各員作戦開始！ 奉仕青年団とニホン人を叩き出せ！！","…… Okay, each member open the operation Hajime! Get out the service youth group and the nihongans!","…… Bien, cada miembro abre la operación Hajime! ¡Saca a la Organización Juvenil de Servicio y a los Nihonganos!"
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 1:","",""
"joseishikan (talking)","……ジュディ隊長の指示通りに動けよ！ 全員散開、この地域を征圧する！！","……Judy Move as the captain directs! All troops spread out and conquer this area!!!!!!!!!!!!!!!!!!!!!!!!!!!!","……Judy ¡Muévanse como su capitán ha instruido! ¡Despliéguense todos, conquisten esta zona!"
"__system__??","}","",""
"__system__??","{☆イハビ占領 > 1:","",""
"__system__??","{RND = 1:","",""
"uimiionnaheishi (talking)","……さあ、カーニバルの始まりよ！ ＧＯＧＯＧＯＧＯＧＯ、ハリアップ！ ノロマは片っ端からケリ入れるからね！","…… Come on, it's Hajime Mariyoko at the Carnival! GOGOGOGOGO! Gogo gogogo! I'm gonna kick your ass!","…… ¡Vamos, es Hajime Mariyo en la feria! ¡GOGOGOGO! ¡Gogo gogogo! ¡Os daré una patada en el culo a cada uno de vosotros!"
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"uimiionnaheishi (talking)","……ここでイハビーラに恩を売れば 夏はアロハでバカンス確実よ！ 気合い入れてかかりなさい！！！","…… If you sell your debt to Ehavilla here, you'll be on vacation in Aloha this summer for sure! Get fired up!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","…… ¡Si vendes tu deuda a Ehavilla aquí, estarás de vacaciones en Aloha todo el verano! Hay que estar a la altura de las circunstancias."
"__system__??","}","",""
"__system__??","{RND = 3:","",""
"uimiionnaheishi (talking)","ククッ、戦時中を思い出すわ……！ さあ、イエローを血祭りに上げるわよ！","Kukk, reminds me of wartime: ……! Come on, let's go bleed some yellows!","¡Kukk, me recuerda a los tiempos de guerra……! ¡Vamos, que se ensucien los amarillos!"
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{RND = 1:","",""
"uimiiheishi (talking)","イィヤッハーーーーーッ！ 黄色い猿どもめ、俺のケツを舐めろ！！","Yeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee! You yellow monkeys, lick my ass!!!!!!!","¡Yeeeeahhhh! ¡Monos amarillos, lamedme el culo!"
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"uimiiheishi (talking)","オラオラ、ニホン人ども！！ 死にたくなきゃ道を空けなっ！","Hey, hey, hey, hey, you Japanese! Get out of the way if you want to die!","¡Ola ola, japonés! ¡Apártate si quieres morir!"
"__system__??","}","",""
"__system__??","{RND = 3:","",""
"uimiiheishi (talking)","Ａ小隊からＢ小隊は前へ！！ Ｃ小隊以下設営隊を援護するのが 第一目的だぞ！　急げっ！！","A Platoon to B Platoon, move forward! The primary objective is to cover the setup team under C Platoon!　Hurry up!","Pelotón A a Pelotón B, ¡adelante! El objetivo principal es cubrir el equipo de montaje bajo el pelotón C.　¡Deprisa!"
"__system__??","}","",""
"__system__??","{RND = 4:","",""
"uimiiheishi (talking)","ク……ククククッ……！ 戦場だ……堂々と人の殺せる戦場に 俺は戻って来たぜえっ……！！","Kuku…… kuku kuku kuku kuku ……! I'm back on the battlefield…… where I can Satsu people with impunity eh ……!","¡Kuku…… kuku kuku kuku ……! Es un campo de batalla…… donde puedes Satsu a la gente con impunidad. ¡He vuelto, eh ……!"
"__system__??","}","",""
"__system__??","{RND = 5:","",""
"uimiiheishi (talking)","各人、覚悟を決めろよ！ 刃向かうニホン人は血祭りに上げろ！！","Each of you, be prepared! Let the blood be on the hands of any Japanese who defy us!","Cada uno de ustedes, ¡prepárese! ¡Que la sangre esté en las manos de cualquier nipón que nos desafíe!"
"__system__??","}","",""
"__system__??","{RND = 1:","",""
"Seinendan Jyoshi (talking)","なっ……何なんです？！ ここは奉仕青年団の支配地域で……","What is ……? This is a service youth group controlled area ……","¿Qué es ……? Se trata de una zona controlada por la organización juvenil de servicios ……"
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"Elite Yakuza (talking)","こっ、これは一体……！ どうしてウィミィ兵が……！","What the heck is this ……! Why are Wime soldiers ……!","¿Qué demonios es esto? ¡……! ¿Por qué los soldados de Wime son ……?"
"__system__??","}","",""
"__system__??","{RND = 3:","",""
"Chinpira (talking)","こ、この野郎、 ここは奉仕青年団のシマだぞ！ てめえら一体何様のつもりで……","Hey, you son of a bitch, this is Service Youth League territory! Who the hell do you think you are? ……","¡Hijo de puta, esto es territorio de la Liga Juvenil de Servicios! ¿Quién demonios te crees que eres? ……"
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 0:","",""
"uimiionnaheishi (talking)","………この周辺に住むニホン人と 奉仕青年団の構成員に告ぐ！","……… Attention all Nihongans living in this neighborhood and members of the Service Youth Corps!","……… ¡Atención a todos los nihonguenses que viven en esta zona y a los miembros de la Liga Juvenil de Servicio!"
"uimiionnaheishi (talking)","は現時刻をもって ウィミィ進駐軍エデン守備隊領として 土地、財産、住民、全てを没収する！
以後、","is hereby declared a possession of the Eden Garrison of the Wime Occupation Force, and all lands, property, and inhabitants thereof are hereby confiscated!
Henceforth.","se declara por la presente un territorio de guarnición de Edén ocupado por el tiempo, y se confiscan todas las tierras, propiedades y habitantes del mismo.
A partir de ahora."
"uimiionnaheishi (talking)","とその周辺地域は 奉仕青年団を仮想敵とみなした 実戦訓練が行われる演習場となる！
一般人は絶対に家から外に出るな！ この警告を無視した場合、 我々は諸君らの安全を保証しない！
そして奉仕青年団！ 我々は数時間後、諸君らに対して 作戦行動を開始する！
死にたくなければ逃げるか、 我々の捕虜となるか、 さもなくば死力を尽くして戦え！
以上！！","and the surrounding area will become a training ground for live-fire drills against a hypothetical enemy, the SERVICE YOUTH!
Civilians are strictly forbidden to leave their homes! If you ignore this warning, we cannot guarantee your safety!
And the Youth Service Corps! In a few hours, we will launch an operation against you, Hajime!
Escape to your deaths, or be our prisoners, or fight to the death!
That is all!","y sus alrededores se convertirán en un campo de entrenamiento en el que se realizarán simulacros con fuego real contra el Cuerpo Juvenil de Servicio como hipotético enemigo.
 ¡Los civiles no deben salir nunca de sus casas! Si ignora esta advertencia, no podemos garantizar su seguridad.
Y el Cuerpo de Servicio Juvenil. ¡Lanzamos una operación contra ti en unas horas, Hajime!
Si no desean morir, huyan, conviértanse en nuestros prisioneros o luchen hasta la muerte.
 ¡Eso es todo!"
"__system__??","}","",""
"__system__??","{☆イハビ占領 > 0:","",""
"__system__??","{RND = 1:","",""
"uimiionnaheishi (talking)","黙れ、黄色い猿め！","Shut up, you yellow monkey!","¡Cállate, mono amarillo!"
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"uimiionnaheishi (talking)","貴様、楯突く気か！ なら殺すっ！！","You dare to challenge me! Then Satsu!","¡Te atreves a desafiarme! ¡Entonces Satsu!"
"__system__??","}","",""
"__system__??","{RND = 3:","",""
"uimiionnaheishi (talking)","死ね！　ゴミムシめ！！","Die!　You trash!","¡Muere!　¡Bicho de la basura!"
"__system__??","}","",""
"__system__??","{RND = 4:","",""
"uimiionnaheishi (talking)","シャラップ！！","Shallup!","¡¡¡Shallap!!!"
"__system__??","}","",""
"__system__??","{RND = 5:","",""
"uimiionnaheishi (talking)","ゴチャゴチャと煩いっ！！","Mess around and bother me!!!!","¡Molesten y molesten!"
"__system__??","}","",""
"narrator","　　［ばきゅーーーん］","[baaaaaaaaaaaaaaaaaaank!]","[ba-yuuh-uh]"
"Chinpira (talking)","あきゃ。","Akyoshi.","Akyabi."
"narrator","文句を言った奉仕青年団の下っ端構成員は 額を撃ち抜かれてお亡くなりになった。","A lowly member of the service youth group who complained was shot through the forehead and died.","Un miembro de un grupo juvenil de servicio que se quejó recibió un disparo en la frente y murió."
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 0:","",""
"Yamamoto Akuji (talking)","スズカと","with a tin can","con una lata de nieve"
"Yamamoto Akuji (talking)","が 姉ちゃん博士に占領されたって？！","Dr. Sis has taken over?","¿La Dra. Sis se ha hecho cargo?"
"__system__??","{RND \ 0:","",""
"Shimamoto Jun (talking)","まあ、スズカの方は エデンのすぐ隣にあった訳ですから、 占領されても仕方ないのですが…","Well, the Suzuka was right next to the Eden, so it's no wonder it was occupied…","Bueno, el Suzuka estaba justo al lado del Edén, así que no es de extrañar que estuviera ocupado…"
"Shimamoto Jun (talking)","は、 迅速かつ的確な彼らの動きに 対処できなかったようです。","The “Mere Old Man” was not able to cope with their quick and precise moves.","El SAS parece haber sido incapaz de hacer frente a sus movimientos rápidos y precisos."
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","文字通りの電撃作戦で、 あっという間の事だったそうだ。","It was literally a blitzkrieg operation that happened so fast.","Fue literalmente una guerra relámpago y sucedió muy rápido."
"__system__??","}","",""
"Yamamoto Akuji (talking)","チッ、好き勝手しやがって……
まあいい、取り返せばいいだけの話だ。 体勢整えて来週ソッコーでやり返すぜ。","Tsk, they can do whatever they want……
Oh well, we'll just have to take it back. I'm going to get myself in shape and get back at it next week.","Tsk, pueden hacer lo que quieran……
Oh, bueno, tendremos que devolverlo. Me pondré en forma y lo volveremos a hacer la semana que viene."
"__system__??","{RND \ 0:","",""
"Takega Satsu (talking)","はっ。","Ha.","Ha."
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","うむ。","Mm.","Mm."
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 1:","",""
"Yamamoto Akuji (talking)","まで 姉ちゃん博士に占領されたのか？！","I've been in the same room with Dr. Sis.","¿Todo el país ha sido tomado por el Dr. Sis?"
"__system__??","{RND \ 0:","",""
"Shimamoto Jun (talking)","……申し訳ありません、 各地で同時に行動を起こされたので、 連絡が間に合いませんでした。","…… Sorry, we were not able to contact you in time because of simultaneous actions in various locations.","…… Lo sentimos, no hemos podido responder a tiempo, ya que la acción se desarrolló en varios lugares al mismo tiempo."
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","悪司……","Akuji……","Akuji……"
"__system__??","}","",""
"Yamamoto Akuji (talking)","…………あ、あのアマ…… いつか絶対犯してやる……","………… Oh, that bitch…… I'll definitely fuck her someday ……","………… Oh, esa perra…… definitivamente me la follaré un día ……"
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 2:","",""
"Yamamoto Akuji (talking)","……","……","……"
"Yamamoto Akuji (talking)","も 占領されたのか？！","Is it occupied, too?","¿La ciudad también está ocupada?"
"__system__??","{RND \ 0:","",""
"Shimamoto Jun (talking)","若……","Young ……","Joven ……"
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","………………","………………","………………"
"__system__??","}","",""
"Yamamoto Akuji (talking)","…………な…… んなバカな……","………… don't…… be ridiculous ……","……………… idiota ……"
"__system__??","}","",""
"__system__??","{☆イハビ占領 = 3:","",""
"Yamamoto Akuji (talking)","もかよ……","Mokayo……","Mokayo……"
"__system__??","{RND \ 0:","",""
"Shimamoto Jun (talking)","……さすが軍隊ですね。 これは驚きました。","…… It is indeed an army. This was a surprise.","…… Es, en efecto, un ejército. Esto fue una sorpresa."
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","……何も言えんな、もう。","…… I can't say anything more.","…… No puedo decir nada, ya no."
"__system__??","}","",""
"Yamamoto Akuji (talking)","……わっはっはっは。 もう笑うしかねえな。","…… wahahaha. I can't help but laugh now.","…… wahahaha. Ahora no puedo evitar reírme."
"__system__??","}","",""
"__system__??","{☆イハビ占領 > 3:","",""
"Yamamoto Akuji (talking)","…………","…………","…………"
"__system__??","{RND \ 0:","",""
"Shimamoto Jun (talking)","……大損害ですね。","…… It's a huge loss.","…… Es una gran pérdida."
"__system__??","}","",""
"__system__??","{RND = 0:","",""
"Takega Satsu (talking)","……大損害だな。","…… It's a big loss.","…… Una gran pérdida."
"__system__??","}","",""
"Yamamoto Akuji (talking)","あー聞きたくねー。","Oh, I don't want to hear it.","No quiero oírlo."
"__system__??","}","",""
"Isuzu Imari (talking)","でね、今日のウィミィ語の授業で…","So, in Wime language class today…","Así que, en la clase de lengua Wime de hoy…"
"Nakayama Taeko (talking)","…………","…………","…………"
"Isuzu Imari (talking)","多恵子ちゃん？","Taeko-chan?","¿Taeko?"
"Nakayama Taeko (talking)","は、はい！","Ha, yes!","¡Ja, sí!"
"Isuzu Imari (talking)","どうしたの？ きょろきょろして…","What's wrong? You're looking around…","¿Qué pasa? Mira a tu alrededor…"
"Nakayama Taeko (talking)","あ、う、うん……","Oh, um, yeah……","Uh, sí……"
"Nakayama Taeko (thinking)","……今日は…会えないかな…","…… today….I don't know if I can see you…","…… Hoy… no te veremos…"
"chiankashokuin (talking)","――というような事があったのですが…","There was such a thing as --…","-Hay cosas como…"
"Mori Kaoru (talking)","では、この書類をがり版で刷って、 ただちに地域管理組合に配布して。","Then, please print out this document in a hardcopy and distribute it to the local management association immediately.","A continuación, imprima este documento en versión impresa y distribúyalo inmediatamente a las asociaciones regionales de gestión."
"chiankashokuin (talking)","あ、あの市長に聞かなくてよいのですか？","Oh, do you not have to ask that mayor?","Oh, ¿no tienes que preguntar a ese alcalde?"
"Mori Kaoru (talking)","後で私が報告しておくから。","I'll report back to you later.","Te informaré más tarde."
"chiankashokuin (talking)","は、はい、わかりました。","Ha, yes, I understand.","Ja, sí, lo entiendo."
"narrator","仕事を終えた鴉葉が、女の子の電話番号が ぎっしり記載されたメモ帳片手に歩いている。","After work, Karasuba is walking around with a notepad in her hand, which is filled with girls' phone numbers.","Después del trabajo, Karasuba se pasea con un bloc de notas en la mano, que está repleto de números de teléfono de chicas."
"karasuba  tsuki (thinking)","今日は、誰のとこで、 ご飯食べさせてもらおっかなーと…
ん~…この子に決めた。 今日のおかずは、な~にかな~♪","I was wondering whose place I should go to for dinner today…
Well…I decided on this girl. What's for dinner today?","Me preguntaba a qué lugar debería ir a cenar hoy…
Bueno, me he decidido por esta chica. ¿Qué hay para cenar hoy?"
"Yamazawa Asami (talking)","……すみません、この書類の束、 今日中に担当の方へ回しておいて下さい。","…… sorry, please turn this stack of papers over to the person in charge by the end of the day.","…… Disculpe, por favor entregue este paquete de documentos a la persona encargada al final del día."
"shigikaishokuin (talking)","はい、解りました。 やっておきます。
 ……山沢さん、このところずっと 残業してますね……","Yes, I understand. I will do it.
 ……Yamazawa, you have been working overtime these days……","Sí, lo entiendo. Yo lo haré.
 ……Yamazawa, has estado trabajando horas extras estos días……"
