character,jap text,Eng,Esp
__system__??,{S娼婦状態 = 11:,,
__system__??,},,
__system__??,{D11 = 0:,,
__system__??,},,
__system__??,{Sキャラ > 500:,,
__system__??,},,
__system__??,{S調教レベル = 3:,,
__system__??,},,
narrator,（,（,（
narrator,） 　　現在調教中です。,(currently in training).,) Actualmente en formación.
__system__??,{(S調教レベル = 2) * (S調教補正値 >= S小原相性):,,
__system__??,},,
__system__??,{(S調教レベル = 1) * (S調教補正値 >= S石原相性):,,
__system__??,},,
__system__??,{(S調教レベル = 0) * (S調教補正値 >= Sタマネギ相性):,,
__system__??,},,
__system__??,{S調教レベル = 0:,,
__system__??,},,
__system__??,{S調教レベル = 1:,,
__system__??,},,
__system__??,{S調教レベル = 2:,,
__system__??,},,
narrator,（,（,（
narrator,） 　　現在調教中です。 　　　進行状況　　,(1) Currently in training. 　　　Progress,) Actualmente en formación. 　　　Progreso.
narrator,％,％,％
__system__??,{(Sキャラ = 32) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 4) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 2) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 3) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 11) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 5) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 8) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 9) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 18) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 19) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 14) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 15) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 20) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 17) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 47) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 49) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 44) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 50) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 59) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 61) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 60) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 40) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 38) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 33) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 71) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 72) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 73) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 74) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 13) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 16) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 6) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 82) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 88) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 54) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 78) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 80) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 77) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 79) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 62) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 93) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 31) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 70) * (S調教レベル = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 53) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{(Sキャラ = 22) * (S調教レベル = 1):,,
__system__??,},,
__system__??,{S調教レベル = 0:,,
narrator,　素人,amateur,aficionado
__system__??,},,
__system__??,{S調教レベル = 1:,,
narrator,　娼婦,prostitute,prostituta
__system__??,},,
__system__??,{S調教レベル = 2:,,
narrator,上娼婦,prostitute,prostituta
__system__??,},,
__system__??,{S調教レベル = 3:,,
narrator,穴奴隷,slave to the hole,esclavo del agujero
__system__??,},,
__system__??,{(RND \ 0) * (☆元子調教 = 0):,,
__system__??,},,
__system__??,{(RND \ 0) * (☆多恵子 = 0) * (☆貴神 > 2):,,
__system__??,},,
__system__??,{(RND \ 0) * (☆調教／るうな = 0):,,
__system__??,},,
__system__??,{RND \ 0:,,
__system__??,{(RND = 1) * (☆アンリ／調教 = 1):,,
__system__??,},,
__system__??,{(RND = 1) * (☆アンリ／調教 = 0):,,
__system__??,},,
__system__??,},,
__system__??,{(S娼婦状態 = 1) * (☆売春宿現 >= ☆売春宿):,,
__system__??,},,
__system__??,{(S娼婦状態 = 1) * (☆売春宿現 < ☆売春宿):,,
__system__??,},,
__system__??,{S娼婦状態 = 1:,,
__system__??,},,
__system__??,{S売り回数 \ 0:,,
__system__??,{(Sキャラ = 8) * (☆元子調教 < 4):,,
__system__??,},,
__system__??,{(Sキャラ = 13) * (S調教レベル \ 3):,,
__system__??,},,
__system__??,},,
__system__??,{(S売り回数 > 49) * (S娼婦状態 = 1):,,
__system__??,{(Sキャラ = 61) * (☆調教／伊万里 = 2):,,
__system__??,},,
__system__??,{(Sキャラ = 59) * (☆調教／明里 = 2):,,
__system__??,{(RND \ 0) * (☆調教／多恵子 > 1):,,
__system__??,},,
__system__??,},,
__system__??,{(Sキャラ = 45) * (☆調教／キリカ \ 3):,,
__system__??,},,
__system__??,},,
__system__??,{(S売り回数 > 99) * (S娼婦状態 = 1):,,
__system__??,{(Sキャラ = 77) * (☆調教／朝顔 = 2):,,
__system__??,},,
