character,jap text,Eng,Esp
__system__??,{RND \ 0:,,
__system__??,{☆のぞみ = 8:,,
__system__??,},,
__system__??,{☆のぞみ = 7:,,
__system__??,},,
__system__??,{☆のぞみ = 6:,,
__system__??,},,
__system__??,{☆のぞみ = 5:,,
__system__??,},,
__system__??,{☆のぞみ = 4:,,
__system__??,},,
__system__??,},,
__system__??,{(☆たね > 19) * (☆たね \ 99) * (☆たね \ 50):,,
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{☆たね = 20:,,
__system__??,},,
__system__??,},,
__system__??,{(Bキャラ = 7) * (★結婚 = 1):,,
__system__??,},,
__system__??,{(Bキャラ = 8) * (★愛 = 2):,,
__system__??,},,
__system__??,{(Bキャラ = 13) * (★愛 = 3):,,
__system__??,},,
__system__??,{(Bキャラ = 87) * (★愛 = 4):,,
__system__??,},,
__system__??,{(Bキャラ = 37) * (★愛 = 5) * (★★殺 > 1):,,
__system__??,},,
__system__??,{(Bキャラ = 96) * (★愛 = 6):,,
__system__??,},,
__system__??,{Bキャラ = 92:,,
__system__??,},,
__system__??,{Bキャラ > 500:,,
__system__??,},,
__system__??,{RETURN = 9:,,
__system__??,},,
menu_label__(L_0042d),　　情報　,information,información
__system__??,{B性別 = 1:,,
menu_label__(L_0063b),　　こます,trout,trucha
__system__??,},,
menu_label__(L_006f8),臨時ボーナス,extra bonus,bono extra
__system__??,{(B性別 = 1) * (★調教 = 3):,,
menu_label__(L_009ca),調教の館へ送る,Send to the training hall,Enviar a la sala de formación
__system__??,},,
__system__??,{(B性別 = 1) * (☆ギャルバーガー > 1):,,
menu_label__(L_00a36),ＧＡＬバーへ送る,Send to GAL Bar,Enviar al bar GAL
__system__??,},,
menu_label__(L_00ac1),　軍事訓練,drill,taladro
menu_label__(L_00c88),　政治訓練,political training,formación política
__system__??,{(Bキャラ = 28) * (☆島本 > 2):,,
menu_label__(L_00ab5),　減給査定,salary cut assessment,evaluación del recorte salarial
__system__??,},,
narrator,　総合戦闘力　　　,combined (concerted) fighting strength,fuerza de combate combinada (concertada)
narrator,　経験値　　　　　,XP,XP
narrator,／,／,／
narrator,　スキル　　　　　,skill,habilidad
narrator,　命中力　　　　　,accuracy,precisión
narrator,％ 　回避力　　　　　,% Evasiveness,% Evasión.
narrator,％ 　攻撃力　　　　　,% Attack Power,% Poder de ataque
narrator,　体力　　　,"strength of an organization (e.g. profitability, productivity, economic clout, stability, growth potential)","fuerza de una organización (por ejemplo, rentabilidad, productividad, peso económico, estabilidad, potencial de crecimiento)"
narrator,／,／,／
narrator,　気力　　　,energy,energía
narrator,／,／,／
narrator,　給与　　　　　,salary,salario
narrator,０万円 　収益力　　　　,0 million yen Profitability,0 millones de euros Rentabilidad
narrator,０万円 　治安能力　　　　　　,0 million yen Security capacity,0 millones de euros Capacidad de seguridad
__system__??,{B治安 = 0:,,
narrator,無能,inefficiency,ineficacia
__system__??,},,
__system__??,{B治安 = 1:,,
narrator,普通,usually,normalmente
__system__??,},,
__system__??,{B治安 = 2:,,
narrator,優秀,excellence,excelencia
__system__??,},,
__system__??,{B治安 = 3:,,
narrator,完璧,perfect,perfecto
__system__??,},,
__system__??,{DB = 1:,,
narrator,　　　□　デバッグ　□ 　　Ｂ名前,□ Debugging □ B Name,□ Depuración □ B Nombre
narrator,　　Ｂカナ,B-cana,B-cana
__system__??,},,
__system__??,{(★結婚 = 1) * (Bキャラ \ 7) * (Bキャラ \ 87):,,
__system__??,},,
__system__??,{Bキャラ = 86:,,
narrator,突然、悪司はおなかが痛くなった。 野生の勘が危険を感じたのだろうか…,"Suddenly, Akuji got a stomach ache. I wonder if his wild instincts sensed danger…","De repente, a Akuji le dolió el estómago. ¿Sus instintos salvajes percibieron un peligro…"
__system__??,},,
__system__??,{B忠誠タイプ = 3:,,
__system__??,},,
__system__??,{Bキャラ = 17:,,
__system__??,},,
narrator,に臨時ボーナスを出します。 いかほど出しますか？ 　　　　　（,I will pay out an extra bonus to the How much do you want to pay? 　　　　　(How much do you want to pay out?,Las bonificaciones adicionales se pagan a. ¿Cuánto pagarías? 　　　　　(
narrator,０万）,(0 million),(0 millones)
__system__??,{B性別 = 2:,,
menu_label__(L_00991),　くいもん,bite,morder
__system__??,},,
__system__??,{Bキャラ = 57:,,
menu_label__(L_00991),　　酒　,sake,alcohol
__system__??,},,
__system__??,{GOLD \ 0:,,
menu_label__(L_00877),　　５０万円,"500,000 yen",500.000 yenes
__system__??,},,
__system__??,{GOLD > 19:,,
menu_label__(L_008cd),　２００万円,2 million yen,2 millones.
__system__??,},,
__system__??,{GOLD > 49:,,
menu_label__(L_00924),　５００万円,5 million yen,5 millones de yenes
__system__??,},,
__system__??,{(RND \ 0) * (Bキャラ = 62):,,
menu_label__(L_0097b),松本了,Matsumoto Ryou,Matsumoto Ryou
__system__??,},,
menu_label__(L_00872),出さない,show,poner en marcha
__system__??,{RETURN = 0:,,
__system__??,{B忠誠タイプ = 3:,,
__system__??,},,
__system__??,},,
__system__??,{RETURN = 0:,,
__system__??,{B忠誠タイプ = 3:,,
__system__??,},,
__system__??,},,
__system__??,{RETURN = 0:,,
__system__??,{B忠誠タイプ = 3:,,
__system__??,},,
__system__??,},,
__system__??,{RETURN = 0:,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,},,
__system__??,{Bキャラ > 500:,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,},,
__system__??,{Bキャラ < 500:,,
__system__??,},,
__system__??,{Bキャラ = 86:,,
__system__??,},,
__system__??,{●ＥＸ \ 0:,,
narrator,　,　,　
narrator,は、特訓した。,was specially trained.,fueron especialmente entrenados.
__system__??,{■ > 100:,,
__system__??,},,
__system__??,{Bスキル = 0:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,},,
__system__??,{Bキャラ = 29:,,
__system__??,},,
__system__??,{Bキャラ = 65:,,
__system__??,},,
narrator,　,　,　
narrator,は、悪司と特訓した。,trained with Akuji.,entrenado con Akuji.
__system__??,{■ > 100:,,
__system__??,},,
__system__??,{Bスキル = 0:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,{●ＥＸ \ 0:,,
narrator,　,　,　
narrator,は、協力金の 　取り立て方法を学んだ。,The “Mere Old Man” learned how to collect cooperation money.,aprendió a cobrar los pagos de la cooperación.
__system__??,{B性別 = 2:,,
__system__??,},,
__system__??,},,
narrator,　,　,　
narrator,は、協力金の 　取り立て方法を学んだ。,The “Mere Old Man” learned how to collect cooperation money.,aprendió a cobrar los pagos de la cooperación.
__system__??,{B性別 = 2:,,
__system__??,},,
narrator,（忠誠：,(Loyalty:),(Lealtad:)
narrator,）,）,）
__system__??,{●ＥＸ = 0:,,
__system__??,{(B忠誠タイプ = 3) * (Bキャラ \ 65):,,
narrator,　　　　　（悪司の女）,(Akuji woman),(Mujer Akuji)
__system__??,},,
__system__??,{(Bキャラ = 37) * (★愛 = 5):,,
narrator,　　　　　（お嫁さん）,(Wife),(Esposa).
__system__??,},,
__system__??,{(Bキャラ = 7) * (★愛 = 1):,,
narrator,　　　　　（お嫁さん）,(Wife),(Esposa).
__system__??,},,
__system__??,{(Bキャラ = 8) * (★愛 = 2):,,
narrator,　　　　　（お嫁さん）,(Wife),(Esposa).
__system__??,},,
__system__??,{(Bキャラ = 13) * (★愛 = 3):,,
narrator,　　　　　（お嫁さん）,(Wife),(Esposa).
__system__??,},,
__system__??,{(Bキャラ = 87) * (★愛 = 4):,,
narrator,　　　　　（恋人）,(Lover),(Amante).
__system__??,},,
