character,jap text,Eng,Esp
__system__??,{●ＥＸ \ 0:,,
__system__??,},,
__system__??,{★キャラ = 2:,,
__system__??,},,
__system__??,{★キャラ = 3:,,
__system__??,},,
__system__??,{★キャラ = 4:,,
__system__??,},,
__system__??,{★キャラ = 5:,,
__system__??,},,
__system__??,{★キャラ = 6:,,
__system__??,},,
__system__??,{★キャラ = 7:,,
__system__??,},,
__system__??,{★キャラ = 8:,,
__system__??,},,
__system__??,{★キャラ = 9:,,
__system__??,},,
__system__??,{★キャラ = 10:,,
__system__??,},,
__system__??,{★キャラ = 11:,,
__system__??,},,
__system__??,{★キャラ = 12:,,
__system__??,},,
__system__??,{★キャラ = 13:,,
__system__??,},,
__system__??,{★キャラ = 14:,,
__system__??,},,
__system__??,{★キャラ = 15:,,
__system__??,},,
__system__??,{★キャラ = 16:,,
__system__??,},,
__system__??,{★キャラ = 17:,,
__system__??,},,
__system__??,{★キャラ = 18:,,
__system__??,},,
__system__??,{★キャラ = 19:,,
__system__??,},,
__system__??,{★キャラ = 20:,,
__system__??,},,
__system__??,{★キャラ = 21:,,
__system__??,},,
__system__??,{★キャラ = 23:,,
__system__??,},,
__system__??,{★キャラ = 24:,,
__system__??,},,
__system__??,{★キャラ = 28:,,
__system__??,},,
__system__??,{★キャラ = 29:,,
__system__??,},,
__system__??,{★キャラ = 30:,,
__system__??,},,
__system__??,{★キャラ = 31:,,
__system__??,},,
__system__??,{★キャラ = 32:,,
__system__??,},,
__system__??,{★キャラ = 33:,,
__system__??,},,
__system__??,{★キャラ = 34:,,
__system__??,},,
__system__??,{★キャラ = 35:,,
__system__??,},,
__system__??,{★キャラ = 36:,,
__system__??,},,
__system__??,{★キャラ = 37:,,
__system__??,},,
__system__??,{★キャラ = 38:,,
__system__??,},,
__system__??,{★キャラ = 39:,,
__system__??,},,
__system__??,{★キャラ = 40:,,
__system__??,},,
__system__??,{★キャラ = 41:,,
__system__??,},,
__system__??,{★キャラ = 42:,,
__system__??,},,
__system__??,{★キャラ = 43:,,
__system__??,},,
__system__??,{★キャラ = 44:,,
__system__??,},,
__system__??,{★キャラ = 45:,,
__system__??,},,
__system__??,{★キャラ = 46:,,
__system__??,},,
__system__??,{★キャラ = 47:,,
__system__??,},,
__system__??,{★キャラ = 48:,,
__system__??,},,
__system__??,{★キャラ = 49:,,
__system__??,},,
__system__??,{★キャラ = 50:,,
__system__??,},,
__system__??,{★キャラ = 51:,,
__system__??,},,
__system__??,{★キャラ = 52:,,
__system__??,},,
__system__??,{★キャラ = 53:,,
__system__??,},,
__system__??,{★キャラ = 54:,,
__system__??,},,
__system__??,{(★キャラ = 55) * (☆ギガフロート = 0):,,
__system__??,},,
__system__??,{★キャラ = 56:,,
__system__??,},,
__system__??,{★キャラ = 57:,,
__system__??,},,
__system__??,{★キャラ = 58:,,
__system__??,},,
__system__??,{★キャラ = 59:,,
__system__??,},,
__system__??,{★キャラ = 60:,,
__system__??,},,
__system__??,{★キャラ = 61:,,
__system__??,},,
__system__??,{★キャラ = 62:,,
__system__??,},,
__system__??,{★キャラ = 63:,,
__system__??,},,
__system__??,{★キャラ = 64:,,
__system__??,},,
__system__??,{★キャラ = 65:,,
__system__??,},,
__system__??,{★キャラ = 66:,,
__system__??,},,
__system__??,{★キャラ = 67:,,
__system__??,},,
__system__??,{★キャラ = 68:,,
__system__??,},,
__system__??,{★キャラ = 69:,,
__system__??,},,
__system__??,{★キャラ = 70:,,
__system__??,},,
__system__??,{★キャラ = 71:,,
__system__??,},,
__system__??,{★キャラ = 72:,,
__system__??,},,
__system__??,{★キャラ = 73:,,
__system__??,},,
__system__??,{★キャラ = 74:,,
__system__??,},,
__system__??,{★キャラ = 75:,,
__system__??,},,
__system__??,{★キャラ = 76:,,
__system__??,},,
__system__??,{★キャラ = 77:,,
__system__??,},,
__system__??,{★キャラ = 78:,,
__system__??,},,
__system__??,{★キャラ = 79:,,
__system__??,},,
__system__??,{★キャラ = 80:,,
__system__??,},,
__system__??,{★キャラ = 81:,,
__system__??,},,
__system__??,{★キャラ = 82:,,
__system__??,},,
__system__??,{★キャラ = 83:,,
__system__??,},,
__system__??,{★キャラ = 84:,,
__system__??,},,
__system__??,{★キャラ = 85:,,
__system__??,},,
__system__??,{★キャラ = 86:,,
__system__??,},,
__system__??,{★キャラ = 87:,,
__system__??,},,
__system__??,{★キャラ = 88:,,
__system__??,},,
__system__??,{★キャラ = 89:,,
__system__??,},,
__system__??,{★キャラ = 90:,,
__system__??,},,
__system__??,{★キャラ = 91:,,
__system__??,},,
__system__??,{★キャラ = 92:,,
__system__??,},,
__system__??,{★キャラ = 93:,,
__system__??,},,
__system__??,{★キャラ = 94:,,
__system__??,},,
__system__??,{★キャラ = 95:,,
__system__??,},,
__system__??,{★キャラ = 96:,,
__system__??,},,
__system__??,{★キャラ = 98:,,
__system__??,},,
__system__??,{★キャラ = 560:,,
__system__??,},,
__system__??,{★キャラ > 500:,,
__system__??,},,
narrator,　　（（,　　（（,　　（（
narrator,） 　エラー　該当　麦　無し,(%) Error N/A Wheat,(%) Error No aplicable Trigo No disponible
