"character","jap text","Eng","Esp"
"__system__??","{●ＥＸ \ 0:","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 1):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 2):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 3):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 4):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 6):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 7):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 8):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 9):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 10):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ = 11):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 0) * (☆ＤＡＴＥ > 12):","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 1:","",""
"__system__??","}","",""
"__system__??","{☆優先 \ 0:","",""
"__system__??","}","",""
"__system__??","{★わかめ組 \ 2:","",""
"__system__??","}","",""
"__system__??","{(☆わかめ < 15) * (☆素敵医師 = 99):","",""
"__system__??","}","",""
"__system__??","{((☆わかめ = 2) + (☆わかめ = 3)) * (D11 = 0):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 2) * (★★わかめ = 1):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ = 3) * (★★わかめ = 1):","",""
"__system__??","}","",""
"__system__??","{(★★わかめ = 4) * (☆加賀太郎 = 1) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 4:","",""
"__system__??","}","",""
"__system__??","{(☆わかめ < 10) * ((R青規模[4] > 2) + (R青規模[2] > 2)):","",""
"__system__??","}","",""
"__system__??","{(☆わかめ < 10) * (☆ＤＡＴＥ > 22):","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 10:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 11:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 12:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 13:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 14:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 15:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 16:","",""
"__system__??","}","",""
"__system__??","{☆わかめ = 17:","",""
"__system__??","}","",""
"__system__??","{RND = 1:","",""
"__system__??","{(☆わかめ = 5) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","{((☆わかめ = 5) + (☆わかめ = 6)) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"__system__??","{(☆デカオ = 0) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","{(☆加賀太郎 = 0) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 2:","",""
"__system__??","{(RND \ 0) * (☆乱数 = 1):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆乱数 = 2):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 3:","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 4:","",""
"__system__??","{RND = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 5:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D11 \ 0:","",""
"__system__??","}","",""
"__system__??","{((★★わかめ = 3) + (★★わかめ = 4)) * (☆加賀太郎／配置 = 0):","",""
"__system__??","}","",""
"__system__??","{★わかめ組 \ 2:","",""
"__system__??","}","",""
"__system__??","{G部下数 = 60:","",""
"__system__??","}","",""
"__system__??","{RND < 6:","",""
"__system__??","{DB = 1:","",""
"narrator","　デバッグ 　　本部に増強","Debugging. We're ramping up at HQ.","Refuerzo de la depuración en la sede."
"__system__??","}","",""
"__system__??","{(★★わかめ = 2) + (★★わかめ = 3):","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 4:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(★★わかめ = 2) + (★★わかめ = 3):","",""
"__system__??","{RND = 1:","",""
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"__system__??","}","",""
"__system__??","{RND = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 4:","",""
"__system__??","{RND = 1:","",""
"__system__??","}","",""
"__system__??","{RND = 2:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{★★わかめ = 5:","",""
"__system__??","{RND = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
