"character";"jap text";"Eng";"Esp"
"__system__??";"{☆遅刻ペンギン \ 0:";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ＤＡＴＥ = 5) + (☆ＤＡＴＥ = 40):"
"__system__??";"{RETURN = 0:"
"narrator";"'　大悪司　ＤＩＳＫ２を入れて'";" Insert Daiakuji disk 2 please";" Pon el disco 2 de Daiakuji Por favor"
"__system__??";"}"
"__system__??";"}"
"__system__??";"{☆ＤＡＴＥ = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 25:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 45:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 65:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆那古 \ 0) * (☆総合力Ａ = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ピーチ > 29) * (☆総合力Ｂ = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆傀儡議会 \ 0) * (☆総合力Ｃ = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{☆総合力 < ■:";"";""
"__system__??";"}";"";""
"__system__??";"{☆最大金額 < GOLD:";"";""
"__system__??";"}";"";""
"__system__??";"{☆元子時間 \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{☆喜久子時間 \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{☆殺時間 \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ % 4 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆たね \ 0) * (☆たね < 19):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆たね時間 \ 0) * (☆たね \ 99):";"";""
"__system__??";"{☆たね時間 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 6:";"";""
"__system__??";"}";"";""
"__system__??";"{(★わかめ組 = 3) * (★那古教 = 1):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ピーチ = 0) * (☆桃時計 \ 0):";"";""
"__system__??";"{☆桃時計 > 9:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(★桃山組 = 2) * (★わかめ組 = 2):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ＤＡＴＥ > 87) * (☆市議会 < 3):";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 1:";"";""
"__system__??";"{RND \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"{●海賊隊 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 3:";"";""
"__system__??";"{RETURN = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RETURN = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆ＤＡＴＥ = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{(★★殺 \ 0) * (☆殺 = 1):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ＤＡＴＥ > 5) * (☆殺 = 0):";"";""
"__system__??";"{●ヒロイン = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{●ヒロイン \ 0:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ＤＡＴＥ > 8) * (D11 \ 0) * (☆夕子 = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{(★那古教 = 2) * (☆那古Ａ > 1) * (☆那古 > 8) * (☆イハビーラ命令 = 0):";"";""
"__system__??";"{RETURN = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RETURN = 2:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{(☆わかめ = 2) * (D11 \ 0):";"";""
"__system__??";"}";"";""
"__system__??";"{☆わかめ = 20:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆ピーチ = 0) * (☆ＤＡＴＥ > 39) * (☆桃時計 = 0):";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 21:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 24:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 25:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 28:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 29:";"";""
"__system__??";"{RETURN = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RETURN = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 34:";"";""
"__system__??";"}";"";""
"__system__??";"{☆ピーチ = 33:";"";""
"__system__??";"}";"";""
"__system__??";"{☆市議会 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆選挙 = 5:";"";""
"__system__??";"{(☆明里 \ 0) * (☆立候補 = 1):";"";""
"__system__??";"} else if {☆スキャンダル = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆選挙 = 4:";"";""
"__system__??";"{(★愛 = 3) * (☆乃木 \ 11):";"";""
"__system__??";"} else if {☆貴神 > 5:";"";""
"__system__??";"} else if {(☆タマネギ = 1) * (★調教 = 3):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆選挙 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{☆選挙 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆選挙 = 1:";"";""
"__system__??";"{R支配 = 1:";"";""
"__system__??";"{R治安レベル = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{R治安レベル = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{☆遙 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆エデン本部 = 9:";"";""
"__system__??";"}";"";""
"__system__??";"{☆プリシラ = 11:";"";""
"__system__??";"}";"";""
