"character","jap text","Eng","Esp"
"__system__??","{☆簡単 = 1:","",""
"__system__??","}","",""
"__system__??","{★愛 \ 0:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0):","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0):","",""
"__system__??","}","",""
"__system__??","{B性別 = 1:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D01 < 5):","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (S売り回数[RND] > 499):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆ＷＷ > 12):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆長崎 = 7):","",""
"__system__??","}","",""
"__system__??","{★★猿田 = 4:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0) * (☆野比 = 2) * (☆大谷 = 2):","",""
"__system__??","}","",""
"__system__??","{D11 \ 0:","",""
"__system__??","}","",""
"__system__??","{☆クロモン = 10:","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆コンディ > 4):","",""
"__system__??","}","",""
"__system__??","{☆キリカ = 50:","",""
"__system__??","}","",""
"__system__??","{☆明里 = 5:","",""
"__system__??","}","",""
"__system__??","{☆加古 = 50:","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆金田 > 20):","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆ギガフロート = 0) * (●ウィミィ = 0):","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆衣笠 = 20):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆浪梅清 > 1):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆かなみ > 3):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆どん子 > 12):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆明 > 12):","",""
"__system__??","}","",""
"__system__??","{☆古宮 = 10:","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆遙 > 4):","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0) * (☆アエン３Ｐ = 1):","",""
"__system__??","}","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0) * (☆鹿の子 = 10):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆森／戦闘 > 19):","",""
"__system__??","}","",""
"__system__??","{(☆イルラカムイ = 18) + (☆イルラカムイ = 28):","",""
"__system__??","}","",""
"__system__??","{(☆高山 = 99) * (☆リクペチ = 99):","",""
"__system__??","}","",""
"__system__??","{☆ハイネ = 50:","",""
"__system__??","}","",""
"__system__??","{(D11 \ 0) * (D12 \ 0) * (☆山沢 > 60):","",""
"__system__??","}","",""
"__system__??","{(RND \ 0) * (☆調教／友引 = 4):","",""
"__system__??","}","",""
"__system__??","{☆羽黒 = 31:","",""
"__system__??","}","",""
"__system__??","{☆苺 = 9:","",""
