character,jap text,Eng,Esp
__system__??,{☆ＴＩＭＥ < 11:,,
__system__??,},,
__system__??,{(☆ＴＩＭＥ > 10) * (☆ＴＩＭＥ < 22):,,
__system__??,},,
__system__??,{☆ＴＩＭＥ > 21:,,
__system__??,},,
__system__??,{(☆ＴＩＭＥ = 12) * (☆エデン[7] \ 9):,,
__system__??,},,
__system__??,{☆ＴＩＭＥ = 24:,,
__system__??,},,
__system__??,{☆ＴＩＭＥ = 0:,,
__system__??,},,
__system__??,{☆ＴＩＭＥ = 1:,,
__system__??,},,
__system__??,{☆ＴＩＭＥ = 2:,,
__system__??,},,
__system__??,{(☆エデンＡ = 0) * ((☆エデン[5] = 9) + (☆エデン[11] = 9)):,,
__system__??,},,
__system__??,{(☆エデンＡ = 1) * (☆エデン[12] = 9):,,
__system__??,},,
__system__??,{(☆エデンＡ = 2) * (☆エデン[14] = 9):,,
__system__??,},,
__system__??,{(☆エデンＡ = 3) * (☆エデン[15] = 9):,,
__system__??,},,
__system__??,{(☆エデンＡ = 4) * (☆エデン[17] = 9):,,
__system__??,},,
__system__??,{(☆エデンＢ = 0) * (☆エデン[7] = 9):,,
__system__??,},,
__system__??,{☆エデン[1] = 9:,,
__system__??,},,
__system__??,{☆エデン[3] = 9:,,
__system__??,},,
__system__??,{☆エデン[1] = 9:,,
__system__??,},,
__system__??,{☆エデン[5] = 9:,,
__system__??,},,
__system__??,{☆エデン[6] = 9:,,
__system__??,},,
__system__??,{☆エデン[6] = 9:,,
__system__??,},,
__system__??,{☆エデン[6] = 9:,,
__system__??,},,
__system__??,{☆エデン[2] = 9:,,
__system__??,},,
__system__??,{☆エデン[2] = 9:,,
__system__??,},,
__system__??,{☆エデン[11] = 9:,,
__system__??,},,
__system__??,{☆エデン[12] = 9:,,
__system__??,},,
__system__??,{☆エデン[12] = 9:,,
__system__??,},,
__system__??,{☆エデン[12] = 9:,,
__system__??,},,
__system__??,{☆エデン[15] = 9:,,
__system__??,},,
__system__??,{☆エデン[15] = 9:,,
__system__??,},,
__system__??,{☆エデン[17] = 9:,,
__system__??,},,
__system__??,{☆ＴＩＭＥ \ 0:,,
__system__??,},,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,{RND = 2:,,
__system__??,},,
__system__??,{RND = 3:,,
__system__??,},,
__system__??,{RND = 4:,,
__system__??,},,
__system__??,{RND = 5:,,
__system__??,},,
__system__??,{RND = 6:,,
__system__??,},,
__system__??,{RND = 7:,,
__system__??,},,
__system__??,{RND = 8:,,
__system__??,},,
__system__??,{RND = 9:,,
__system__??,},,
__system__??,{RND = 10:,,
__system__??,},,
__system__??,{RND = 11:,,
__system__??,},,
__system__??,{RND = 12:,,
__system__??,},,
__system__??,{RND = 13:,,
__system__??,},,
__system__??,{RND = 14:,,
__system__??,},,
__system__??,{RND = 15:,,
__system__??,},,
__system__??,{RND = 16:,,
__system__??,},,
__system__??,{RND = 17:,,
__system__??,},,
__system__??,{RND = 18:,,
__system__??,},,
__system__??,{☆エデン[1] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[2] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 2:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[3] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 3:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[4] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 4:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,{★調教 > 1:,,
__system__??,},,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[5] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 5:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[6] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 6:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[7] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 7:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[8] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 8:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[9] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 9:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[10] = 9:,,
__system__??,},,
__system__??,{☆エデン[10] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 10:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[11] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 11:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[12] = 9:,,
__system__??,},,
__system__??,{☆エデン[12] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 12:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[13] = 9:,,
__system__??,},,
__system__??,{☆エデン[13] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 13:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[14] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 14:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[15] = 9:,,
__system__??,},,
__system__??,{☆エデン[14] \ 9:,,
__system__??,},,
__system__??,{☆エデン[15] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 15:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[16] = 9:,,
__system__??,},,
__system__??,{☆エデン[16] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 16:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[17] = 9:,,
__system__??,},,
__system__??,{☆エデン[17] = 0:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 17:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆エデン[18] = 9:,,
__system__??,},,
__system__??,{☆エデン戦場 \ 18:,,
__system__??,} else {,,
__system__??,},,
__system__??,{RETURN = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆ＴＩＭＥ % 2 = 0:,,
__system__??,} else {,,
__system__??,},,
__system__??,{L1 > 23:,,
__system__??,},,
??,時,time of -,tiempo de -
__system__??,{L2 = 0:,,
??,００,００,００
__system__??,},,
__system__??,{L2 = 1:,,
??,３０,３０,３０
__system__??,},,
??,分　Ｔ：,Minute T: T,Minuto T:.
__system__??,{RND \ 0:,,
__system__??,},,
__system__??,{RND = 0:,,
narrator,攻撃部隊が選ばれていません。,No attack force has been selected.,No se ha seleccionado ninguna fuerza de ataque.
__system__??,},,
__system__??,{(☆エデン戦場 = 5) * (☆エデン[10] \ 9):,,
__system__??,},,
__system__??,{(☆エデン戦場 = 11) * (☆エデン[9] \ 9):,,
__system__??,},,
__system__??,{D20 = 0:,,
__system__??,},,
__system__??,{(☆エデン戦場 = 1) + (☆エデン戦場 = 5) + (☆エデン戦場 = 3) + (☆エデン戦場 = 2) + (☆エデン戦場 = 10) + (☆エデン戦場 = 11):,,
__system__??,} else {,,
__system__??,},,
__system__??,{RND = 0:,,
__system__??,},,
__system__??,{B地域 = 36:,,
narrator,デバッグＡ 　　ウィミィ兵　いるよ。 　　,Debug A Wime soldier.,Depurar un soldado Wime Estoy aquí.
__system__??,},,
__system__??,{(☆エデン戦場 = 1) + (☆エデン戦場 = 2):,,
__system__??,},,
__system__??,{☆エデン戦場 = 3:,,
__system__??,},,
__system__??,{☆エデン戦場 = 4:,,
__system__??,},,
__system__??,{☆エデン戦場 = 5:,,
__system__??,},,
__system__??,{☆エデン戦場 = 6:,,
__system__??,},,
__system__??,{☆エデン戦場 = 7:,,
__system__??,},,
__system__??,{☆エデン戦場 = 8:,,
__system__??,},,
__system__??,{(☆エデン戦場 = 9) + (☆エデン戦場 = 10):,,
__system__??,},,
__system__??,{☆エデン戦場 = 11:,,
__system__??,},,
__system__??,{☆エデン戦場 = 12:,,
__system__??,},,
__system__??,{☆エデン戦場 = 13:,,
__system__??,},,
__system__??,{☆エデン戦場 = 14:,,
__system__??,},,
__system__??,{☆エデン戦場 = 15:,,
__system__??,},,
__system__??,{☆エデン戦場 = 16:,,
__system__??,},,
__system__??,{☆エデン戦場 = 17:,,
__system__??,},,
__system__??,{☆エデン戦場 = 18:,,
__system__??,},,
