character,jap text,Eng,Esp
__system__??,{●ＥＸ \ 0:,,
__system__??,},,
__system__??,{(R支配 = 1) * (G部下数 < 70):,,
__system__??,{(RND \ 0) * (RND \ 6):,,
__system__??,{D16 = 1:,,
__system__??,},,
__system__??,{D16 = 2:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{(R支配 = 9) * (G部下数 < 70) * (地域番号 \ 21):,,
__system__??,{RND \ 6:,,
__system__??,{D16 = 1:,,
__system__??,},,
__system__??,{D16 = 2:,,
__system__??,},,
__system__??,{D16 = 3:,,
__system__??,},,
__system__??,{D16 = 4:,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{R支配 = 1:,,
__system__??,},,
__system__??,{DB = 1:,,
narrator,　遅刻ペンギン計算　 　　☆遅刻ペンギン,Late Penguin Calculator ☆ Late Penguin,Cálculo del pingüino tardío ☆ Pingüino tardío
narrator,　時間　,time,Horario.
narrator,　　土地　,land,Tierra
narrator,　　　ＤＡＴＥ　,　　　ＤＡＴＥ　,　　　ＤＡＴＥ　
__system__??,},,
__system__??,{(D01 + 2 < ☆ＤＡＴＥ / 5) * (☆遅刻ペンギン = 0) * (☆遅刻遅刻ペンギン = 0):,,
__system__??,{RND = 1:,,
__system__??,},,
__system__??,{RND = 2:,,
__system__??,},,
__system__??,},,
__system__??,{(☆遅刻ペンギン \ 0) * (☆遅刻ペンギン < D01):,,
__system__??,{DB = 1:,,
narrator,　　デバッグ 　　　遅刻ペンギン　いなくなりました。,Debugging Late Penguin: Gone.,Depuración del Pingüino Tardío.
__system__??,},,
__system__??,{Bキャラ = 540:,,
__system__??,},,
__system__??,},,
__system__??,{☆遅刻ペンギン \ 0:,,
__system__??,{DB = 1:,,
narrator,　デバッグ 　　　遅刻ペンギン発生中 　　　（,Debugging. Late penguins are on the loose.,Depuración Los pingüinos tardíos están fuera.
narrator,）＜（,）＜（,）＜（
narrator,）,）,）
__system__??,},,
__system__??,{(R支配 = 1) * (■ = 0) * (RND = 0):,,
__system__??,},,
__system__??,{(R支配 = 1) * (■ = 9) * (RND \ 6):,,
__system__??,},,
__system__??,{(LOOP > 2) + (☆優先 > 40):,,
__system__??,},,
__system__??,},,
__system__??,{☆ギガフロート \ 0:,,
__system__??,},,
__system__??,{☆選挙 = 6:,,
__system__??,},,
__system__??,{(★市議会 = 3) * (☆選挙 = 0):,,
__system__??,},,
__system__??,{☆選挙 = 2:,,
__system__??,},,
__system__??,{☆選挙 = 3:,,
__system__??,},,
__system__??,{☆選挙 \ 10:,,
__system__??,{☆スキャンダル = 2:,,
__system__??,},,
__system__??,{☆スキャンダル = 1:,,
__system__??,},,
__system__??,},,
__system__??,{(☆電波 = 0) * ((R支配[5] = 1) + (R支配[6] = 1)) * (★★市議会 < 5):,,
__system__??,},,
__system__??,{(☆乃木 = 50) * (R支配[21] = 1):,,
__system__??,},,
__system__??,{☆乃木 = 56:,,
__system__??,},,
__system__??,{☆乃木 = 55:,,
__system__??,},,
__system__??,{☆乃木 = 54:,,
__system__??,},,
__system__??,{☆乃木 = 53:,,
__system__??,},,
__system__??,{(☆乃木 = 52) * (●ウィミィ = 0):,,
__system__??,},,
__system__??,{(●神社 = 0) * (☆羽黒 = 0) * (R支配[18] = 1):,,
__system__??,},,
__system__??,{☆島本 = 0:,,
__system__??,{☆ＤＡＴＥ = 2:,,
__system__??,},,
__system__??,{☆ＤＡＴＥ = 6:,,
__system__??,},,
__system__??,},,
__system__??,{☆民華 = 10:,,
__system__??,},,
__system__??,{(RND = 1) * (☆友引 = 14):,,
__system__??,},,
__system__??,{(☆クロモン = 5) * (R青規模 > 0) * (R支配 = 9):,,
__system__??,{RETURN = 1:,,
__system__??,},,
__system__??,{RETURN = 2:,,
__system__??,},,
__system__??,},,
__system__??,{(☆社長 = 12) * (★桃山組 = 3):,,
__system__??,},,
__system__??,{(☆社長 = 11) * (★桃山組 \ 3):,,
__system__??,},,
__system__??,{(☆社長 > 9) * (☆社長 < 20) * (★桃山組 = 3):,,
__system__??,},,
__system__??,{☆優先 \ 0:,,
__system__??,},,
__system__??,{(☆ＤＡＴＥ = 20) * (●２部 = 1):,,
__system__??,{(R支配 = 1) * (■ = 0) * (RND = 0):,,
__system__??,},,
__system__??,{LOOP > 50:,,
__system__??,},,
__system__??,},,
__system__??,{(☆ＤＡＴＥ = 40) * (●２部 = 1):,,
__system__??,{(R支配 = 1) * (■ = 0) * (RND = 0):,,
__system__??,},,
__system__??,{LOOP > 50:,,
__system__??,},,
__system__??,},,
__system__??,{(☆ＤＡＴＥ = 60) * (●２部 = 1):,,
__system__??,{(R支配 = 1) * (■ = 0) * (RND = 0):,,
__system__??,},,
__system__??,{LOOP > 50:,,
__system__??,},,
__system__??,},,
__system__??,{(☆ＤＡＴＥ = 9) * (★わかめ組 = 1) * (R支配[5] = 1) * (●２部 = 1):,,
__system__??,{R支配 = 1:,,
__system__??,},,
__system__??,{(D01 > 3) * (■ = 0):,,
__system__??,},,
__system__??,},,
__system__??,{(☆ＤＡＴＥ = 31) * (★わかめ組 = 3) * (R支配[3] = 1) * (●２部 = 1):,,
__system__??,{R支配 = 1:,,
__system__??,},,
__system__??,{(D01 > 7) * (■ = 0):,,
__system__??,{☆残党／森田 = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆残党／辻家 = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆残党／太郎 = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,{☆残党／デカオ = 1:,,
__system__??,} else {,,
__system__??,},,
__system__??,},,
__system__??,},,
__system__??,{R支配 = 1:,,
__system__??,},,
__system__??,{(☆強すぎ補正 = 0) * (D01 > 14) * (★★ＰＭ < 2) * (●２部 = 1):,,
__system__??,{(R支配 = 1) * (■ = 0):,,
__system__??,},,
__system__??,{LOOP > 40:,,
__system__??,},,
__system__??,{(R支配 = 1) * (■ = 0):,,
__system__??,},,
__system__??,{LOOP > 40:,,
__system__??,},,
__system__??,{(R支配 = 1) * (■ = 0):,,
__system__??,},,
__system__??,{LOOP > 40:,,
__system__??,},,
__system__??,{(R支配 = 1) * (■ = 0):,,
__system__??,},,
__system__??,{LOOP > 40:,,
__system__??,},,
__system__??,{☆強すぎ補正 = 1:,,
__system__??,},,
__system__??,},,
