"character","jap text","Eng","Esp"
"__system__??","{☆月払い > ☆借金:","",""
"__system__??","}","",""
"__system__??","{☆借金 \ 0:","",""
"__system__??","{☆借金 = 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 1:","",""
"__system__??","}","",""
"__system__??","{KEY \ 0:","",""
"__system__??","}","",""
"__system__??","{☆借金 = 0:","",""
"__system__??","}","",""
"__system__??","{D14 \ 0:","",""
"__system__??","}","",""
"__system__??","{D14 \ 0:","",""
"__system__??","}","",""
"__system__??","{D02 \ 0:","",""
"__system__??","{GOLD + D05 + (☆借金最大 - ☆借金) < D03:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(BUILD = 1) * (D01 = 0):","",""
"__system__??","}","",""
"__system__??","{KEY & 64:","",""
"__system__??","}","",""
"__system__??","{(228 < xPos) * (81 < yPos) * (xPos < 409) * (yPos < 82 + 48 * 7):","",""
"__system__??","}","",""
"__system__??","{(442 < xPos) * (81 < yPos) * (xPos < 623) * (yPos < 82 + 48 * 6):","",""
"__system__??","}","",""
"__system__??","{(4 < xPos) * (387 < yPos) * (xPos < 135) * (yPos < 446):","",""
"__system__??","}","",""
"__system__??","{(504 < xPos) * (387 < yPos) * (xPos < 635) * (yPos < 446):","",""
"__system__??","}","",""
"__system__??","{450 < yPos:","",""
"__system__??","{xPos < 162:","",""
"__system__??","}","",""
"__system__??","{(163 < xPos) * (xPos < 302):","",""
"__system__??","}","",""
"__system__??","{(301 < xPos) * (xPos < 440):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(204 < xPos) * (307 < yPos) * (xPos < 279) * (yPos < 327):","",""
"__system__??","}","",""
"__system__??","{(344 < xPos) * (307 < yPos) * (xPos < 434) * (yPos < 327):","",""
"__system__??","}","",""
"__system__??","{D01 \ D02:","",""
"__system__??","{D02 \ 1000:","",""
"__system__??","}","",""
"__system__??","{D01 \ 1000:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 0:","",""
"__system__??","{D04 \ 0:","",""
"__system__??","{U01 < 10:","",""
"__system__??","} else if {(9 < U01) * (U01 < 20):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U01 = 1001:","",""
"__system__??","}","",""
"__system__??","{U01 = 1002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4000:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 1:","",""
"__system__??","{D03 \ 0:","",""
"__system__??","{U01 < 10:","",""
"__system__??","} else if {(9 < U01) * (U01 < 20):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{(U01 > 1000) * (U01 \ 4000):","",""
"__system__??","}","",""
"__system__??","{U01 = 1001:","",""
"__system__??","}","",""
"__system__??","{U01 = 1002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4000:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 2:","",""
"__system__??","{U01 = 1001:","",""
"__system__??","}","",""
"__system__??","{U01 = 1002:","",""
"__system__??","}","",""
"__system__??","{U01 = 4001:","",""
"__system__??","}","",""
"__system__??","{U01 = 4002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 \ D02:","",""
"__system__??","{D02 \ 1000:","",""
"__system__??","}","",""
"__system__??","{D01 \ 1000:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{U02 = 0:","",""
"__system__??","{D01 \ 1000:","",""
"__system__??","}","",""
"__system__??","{U01 = 1001:","",""
"__system__??","}","",""
"__system__??","{U01 = 1002:","",""
"__system__??","}","",""
"__system__??","} else {","",""
"__system__??","{U01 = 1001:","",""
"__system__??","}","",""
"__system__??","{U01 = 1002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{KEY = 16:","",""
"__system__??","{(D01 = 1000) + (D01 = 4000):","",""
"__system__??","}","",""
"__system__??","{D01 < 1000:","",""
"__system__??","{D03 = 0:","",""
"__system__??","}","",""
"__system__??","{D03 = 1:","",""
"__system__??","}","",""
"__system__??","{D03 = 2:","",""
"__system__??","}","",""
"__system__??","{D03 = 3:","",""
"__system__??","}","",""
"__system__??","{D03 = 4:","",""
"__system__??","}","",""
"__system__??","{D03 = 5:","",""
"__system__??","}","",""
"__system__??","{D03 = 6:","",""
"__system__??","}","",""
"__system__??","{D03 = 7:","",""
"__system__??","}","",""
"__system__??","{(D03 = 8) + (D03 = 16):","",""
"__system__??","}","",""
"__system__??","{D03 = 11:","",""
"__system__??","}","",""
"__system__??","{D03 = 12:","",""
"__system__??","}","",""
"__system__??","{D03 = 13:","",""
"__system__??","}","",""
"__system__??","{D03 = 14:","",""
"__system__??","}","",""
"__system__??","{D03 = 15:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 1001:","",""
"__system__??","}","",""
"__system__??","{D01 = 1002:","",""
"__system__??","}","",""
"__system__??","{D01 = 4001:","",""
"__system__??","{D12 = 0:","",""
"__system__??","} else {","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{D01 = 4002:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{KEY = 32:","",""
