"character";"jap text";"Eng";"Esp"
"__system__??";"{●ＥＸ = 2:";"";""
"Yamamoto Akuji (talking)";"うーし、サクサク行くぜ。";"Woohoo, let's get cracking.";"Woohoo, vamos a ponernos en marcha."
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 3:";"";""
"Takayama Hami (talking)";"あはははは。 ばきゅーん　ばきゅーん。";"Ha-ha-ha. Bakyuu, bakyuu, bakyuu.";"Ja, ja, ja. Baki-yun Baki-yun."
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 4:";"";""
"Momoyama Linda (talking)";"ちゅるせ！！";"Churuse!";"¡Churuse!"
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 5:";"";""
"Yume (talking)";"えーっと…… 今週も頑張りましょうねっ。";"Let's see……… Let's keep up the good work this week!";"Veamos…… ¡Sigamos con el buen trabajo esta semana!"
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 6:";"";""
"daiousama (talking)";"んん~~すべ~るスキップ。";"Mmmm~slippery skip.";"Mmm - salto resbaladizo."
"__system__??";"}";"";""
"__system__??";"{G部下数 = 60:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 1:";"";""
"__system__??";"{●ＥＸ = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 6:";"";""
"__system__??";"}";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"__system__??";"{●ＥＸ = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{●ＥＸ = 6:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{Bキャラ > 500:";"";""
"__system__??";"}";"";""
"narrator";"が新しく 組織に加わった。";"is the newest addition to the organization.";"es una nueva incorporación a la organización."
"__system__??";"{R支配 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 0:";"";""
"narrator";"　山本組は、壊滅した。";"The Yamamoto group was destroyed.";"El grupo Yamamoto fue destruido."
"__system__??";"}";"";""
"Yamamoto Akuji (talking)";"覚悟しやがれ。 皆殺しだ！";"Prepare yourselves. Everybody Satsu!";"Prepárense. ¡Todos Satsu!"
"__system__??";"{G部下数 = 60:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 1:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{Bキャラ > 500:";"";""
"__system__??";"}";"";""
"narrator";"が新しく 山本組に加わった。";"is the newest addition to the Yamamoto group.";"es la última incorporación al grupo Yamamoto."
"__system__??";"{R支配 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 0:";"";""
"narrator";"　高山＆わかめ組は、壊滅した。";"Takayama & Wakame group were destroyed.";"El grupo Takayama & Wakame fue destruido."
"__system__??";"}";"";""
"Takayama Hami (talking)";"はみ、おなかすいたなー。";"Hami, I'm so hungry.";"Hami, tengo hambre."
"__system__??";"{G部下数 = 60:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 1:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{Bキャラ > 500:";"";""
"__system__??";"}";"";""
"narrator";"が新しく 高山＆わかめ組に加わった。";"has newly joined Takayama & Wakame group.";"es la última incorporación al grupo Takayama & Wakame."
"__system__??";"{R支配 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{D01 = 0:";"";""
"narrator";"　桃山組は、壊滅した。";"The Momoyama group was destroyed.";"El grupo Momoyama fue destruido."
"__system__??";"}";"";""
"Momoyama Linda (talking)";"ＰＭに刃向かう者はすべて殺ちて ちまいまちゅ！！";"All those who defy PM are Satsu and Chimayimachu!";"¡Todos los que desafían al PM Satsu y Chimayimachu!"
"__system__??";"{G部下数 = 60:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 1:";"";""
"__system__??";"{D20 = 99:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"{D20 = 99:";"";""
