"character","jap text","Eng","Esp"
"__system__??","{●ＥＸ \ 0:","",""
"__system__??","}","",""
"narrator","その日、一人の帰還兵が港に降り立った。","That day, a returning soldier landed at the port.","Un soldado que regresó desembarcó en el puerto ese día."
"Yamamoto Akuji (talking)","よし……帰ってきたぜ…","Okay,…… I'm back…","Bien,…… estoy de vuelta…"
"narrator","その男の名は、山本悪司。 このオオサカ市を管理している、 地域管理組合わかめ組の幹部だ。","The man's name is Yamamoto Akuji. He is an executive of the local management association, Wakame-gumi, which manages the city of Osaka.","El hombre se llama Yamamoto Akuji. Es un ejecutivo de la asociación de gestión local, el clan Wakame, que gestiona esta ciudad de Osaka."
"__system__??","{★愛 = 1:","",""
"Yamamoto Akuji (thinking)","民華さんにいいトコ見せるつもりで 行った戦地が、あんな修羅場だとは、 思いもしなかったぜ…
 ……………
んー…まあ… オオサカも大変だったみたいだけどな…","I had no idea that the war zone I went to with the intention of showing Minka a good time was such an ordeal…
 ……………
Well… well… it looks like Osaka had a rough time too…","No tenía ni idea de que la zona de guerra a la que fui con la intención de hacer pasar un buen rato a Minka fuera una mierda tan grande…
 ……………
Bueno… bueno… parece que Osaca también lo ha pasado mal…"
"__system__??","}","",""
"__system__??","{★愛 = 5:","",""
"Yamamoto Akuji (thinking)","しっかし、まー… オオサカも大変だったみたいだけどな…","But, well… it sounds like Oosaka had a rough time of it too…","Pero, bueno… parece que los Osaka también lo ha pasado mal…"
"__system__??","}","",""
"__system__??","{★愛 = 6:","",""
"Yamamoto Akuji (thinking)","しっかし、まー… オオサカも大変だったみたいだけどな…","But, well… it sounds like Oosaka had a rough time of it too…","Pero, bueno… parece que los Osaka también lo ha pasado mal…"
"__system__??","}","",""
"narrator","悪司の今いる港は、出兵した時とは 違う風景になっていた。
戦争が終わったとはいえ、 連日の爆撃を物語る瓦礫。
どんよりとした色の海の水の下には、 船の破片。
そこいらに、戦争の爪痕が見え隠れしている。 終戦からもう１年以上経つというのに。","The port where Akuji is now is a different landscape from when he left for war.
Although the war is over, the debris tells of the daily bombings.
Underneath the dull color of the sea water, there are pieces of ships.
There are traces of the war everywhere. It has been more than a year since the end of the war.","El puerto donde está ahora Akuji es un paisaje diferente al de cuando partió a la guerra.
Aunque la guerra ha terminado, los restos hablan de los bombardeos diarios.
Bajo el agua de color apagado del mar, hay trozos de barcos.
Hay huellas de la guerra por todas partes. Ya ha pasado más de un año desde el final de la guerra."
"Yamamoto Akuji (thinking)","戦敗国の兵士なんつーモンになって、 捕虜になんかなってなかったら、 もっと早く帰ってこれたんだが…
ダセーよなぁ… まったく…","If I hadn't been a prisoner of war in a defeated country, I would have come back sooner…
What a douche.","Si no me hubiera convertido en soldado de un país derrotado y hubiera sido hecho prisionero, habría vuelto antes…
No está bien… en absoluto…"
"narrator","悪司は自分の捕虜時代を少し思い出し、 チリリと歯を鳴らした。","Akuji remembered a bit of his POW days and clenched his teeth.","Akuji castañeando los dientes, recordando un poco sus días de prisionero de guerra."
"Yopparai (talking)","へ……へへへ……","To…… to…… to ……","A…… a ……"
"Yamamoto Akuji (talking)","……？","……？","……？"
"narrator","係留塔に足をかけ佇んでいた悪司に、 酔っぱらいがフラフラと近づいてきた。","While Akuji was standing with his feet on the mooring tower, Yopparai approached him unsteadily.","Un Yopparai se acercó a Akuji, que estaba de pie con los pies en la torre de amarre, aturdido."
"Yopparai (talking)","に…にーちゃん、帰還兵かい？ こんなご時勢に、海からくるなんてよ。","Ni…ni…ni, are you a returning soldier? I can't believe you came from the sea in these times.","Ni… ni… ¿eres un soldado que ha vuelto? No puedo creer que vengas del mar en un momento como este."
"Yamamoto Akuji (talking)","………………","………………","………………"
"Yopparai (talking)","な…なあ…酒奢ってくれよ… 俺に優しくしてくれよぅ…
戦争のせいで家は燃えるわ、 かかぁは若い男と逃げちまうわ…
哀れな男に恵んでくれよ… か、金でもいいぜ…へへ……","Hey… buy me a drink… be nice to me…
Our house is burning down because of the war… and he's running away with a young man…
Give me some money… or even money… hehe ……","Oye, por favor, invítame a una copa y sé amable conmigo.
La guerra ha quemado nuestra casa, y se ha escapado con un joven.
Dame algo para el pobre… o dinero… jeje ……"
"narrator","男は悪司の肩に手をかけようとした。","The man tried to put his hand on Akuji's shoulder.","El hombre intentó poner su mano en el hombro de Akuji."
"Yamamoto Akuji (talking)","俺の後ろに立つんじゃねぇ！！","Don't stand behind me!","¡No te pongas detrás de mí!"
"narrator","　　［がすっっ］","[The picture is soooooooo clear!]","[el sonido de un disparo]"
"Yopparai (talking)","おぁぁぁ！？","Oh!","¡Oh!"
"narrator","悪司の拳が、まっすぐ男の頭に落ちた。","Akuji's fist fell straight on the man's head.","El puño de Akuji cayó directamente sobre la cabeza del hombre."
"Yopparai (talking)","だだだだ！ いてーよー、おがーちゃーん！","Dada-dada-dada! Ouch! Ouch! Ouch!","¡Dada, dada, dada! ¡Oitey-ooo, oga-ooo!"
"narrator","男は頭を抱え、走り去った。","The man took his head and ran off.","El hombre tomó su cabeza y salió corriendo."
"Yamamoto Akuji (talking)","ったく…ニホンがあんな男を 抱えてんじゃあ、あのウィミィに勝つ なんざ、やっぱ無理だったんだよ…","Damn… with a guy like that, it was impossible for Japan to beat that Wime…","Maldita sea… con un tipo así en el equipo japonés, nunca iba a ser posible vencer a ese Wime…"
"Yamamoto Akuji (thinking)","さーて、帰るとすっか… 身綺麗にして…そんで…","Well, let's go home… clean ourselves up… and…","Bueno, vamos a casa… a limpiarnos… y…"
"__system__??","{★愛 = 1:","",""
"Yamamoto Akuji (thinking)","民華さんに会いに行こう… へへっ…３年振りだな…
いい女になったろうな、民華さん… なんせこの俺が惚れた女だからよ…","Let's go see Minka… hehe… it's been 3 years…
She must be a good woman, Minka… After all, I'm the one who fell in love with her…","Vamos a ver a Minka… jeje… han pasado 3 años…
Estoy seguro de que te has convertido en una buena mujer, Minka… después de todo, eres la mujer de la que me enamoré…"
"__system__??","}","",""
"__system__??","{★愛 = 6:","",""
"Yamamoto Akuji (thinking)","アンリに会いにいこう… へへっ…３年振りだな…
早く会いたいぜ。","Let's go see Henri… hehe… it's been 3 years…
Can't wait to meet him.","Vamos a ver a Henri… jeje… han pasado tres años…
No puedo esperar a verte, tío."
"__system__??","}","",""
"__system__??","{★愛 = 5:","",""
