"character","jap text","Eng","Esp"
"Yamamoto Akuji (talking)","こいつか。","This guy.","Este tipo."
"narrator","悪司は大きな木の前にいた。","Akuji was in front of a big tree.","Akuji estaba frente a un gran árbol."
"Yamamoto Akuji (talking)","こいつが、伝説の木ってやつか。 ガキの頃からそう聞いてたけど、 一体どーいう由来で、んな名前が――","So this is the legendary tree. I've heard that since I was a kid, but how in the world did it get its name?","¿Este es el árbol legendario? Lo he oído desde que era un niño, pero ¿cómo demonios se llamó así?"
"narrator","　　　［ぷとん］","[Ptom.]","[Pt.]"
"Yamamoto Akuji (talking)","…………………
 ……げっ……
げーーーー！！！！","…………………
Geez …………
Geeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee ！！！！","…………………
Geeeeeeeeeeeeeeeeeeeeeeeeeee ……
Geeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee ！！！！"
"narrator","なんと、悪司は木の下で鳥にフンを 落とされてしまった！","Oh dear, Akuji got pooped on by a bird under a tree!","¡Oh, querido, Akuji se ha hecho caca encima de un pájaro bajo un árbol!"
"Yamamoto Akuji (talking)","なんてこったい、最悪だ！ ったくよぉ。
 ……くっそー… ウンがついたって 諦めるっきゃねぇのかよ…ったく……","Oh my God, this sucks! Oh, man….…… Damn it… I'm just going to give up now that I've got the “Un” on me… damn it… ……","¡Oh, Dios mío, eso apesta! Oh, hombre……… Maldita sea… te vas a dar por vencido ahora que tienes el 'un en ti… maldita sea… ……"
"narrator","悪司は森の入り口にやってきた。","Akuji came to the entrance of Mori.","Akuji llegó a la entrada de Mori."
"Yamamoto Akuji (talking)","おー、いるいる。","Oh, there they are.","Oh, ahí están."
"narrator","入り口には、野良コーギーがいっぱいいた。","The entrance was full of stray corgis.","La entrada estaba llena de corgis extraviados."
"Yamamoto Akuji (talking)","わざわざ森の奥まで行かなくても ここにいる奴を手なずけるか。
ピーピピピピー。","Don't bother going all the way to the back of Mori to tame the guy here.
Beep beep beep.","No hace falta ir hasta el fondo de Mori para domar el tipo aquí.
Beep beep beep."
"norakoogii (talking)","う~~~~………","U~~~~………","U~~~~………"
"Yamamoto Akuji (talking)","ぴーぴぴぴぴー。","Pip-pip-pip.","Pipi-pipi-pipi."
"norakoogii (talking)","……………","……………","……………"
"Yamamoto Akuji (talking)","こいこい。 尻尾のつけ根、掻いてやるぜ。","Come on, come on. I'll scratch the base of your tail.","Vamos, vamos. Rascaré la base de tu cola."
"norakoogii (talking)","わん！","Woof!","¡Guau!"
"Yamamoto Akuji (talking)","よーし、よしよし。","All right, all right, all right.","Muy bien, muy bien, muy bien."
"norakoogii (talking)","わんわんわんわん！","Doggie, doggie, doggie!","¡Perrito, perrito, perrito!"
"narrator","コーギーは、嬉しそうに悪司に掻かれている。","Corgi is happily being scratched by Akuji.","Corgi está siendo felizmente arañado por Akuji."
"Yamamoto Akuji (talking)","よーし、わかったわかった。 俺んとこくるか？","All right, all right, all right. You wanna come over to my place?","Muy bien, muy bien, muy bien. ¿Quieres venir conmigo?"
"norakoogii (talking)","わん！","Woof!","¡Guau!"
"Yamamoto Akuji (talking)","よし、いい子だ。","Okay, good boy.","Bien, buen chico."
"narrator","悪司は森の入り口にやってきた。","Akuji came to the entrance of Mori.","Akuji llegó a la entrada de Mori."
"Yamamoto Akuji (talking)","おー、いるいる。","Oh, there they are.","Oh, ahí están."
"narrator","入り口には、猫がいっぱいいた。","The entrance was full of cats.","La entrada estaba llena de gatos."
"Yamamoto Akuji (talking)","わざわざ森の奥まで行かなくても ここにいる奴を手なずけるか。
ピーピピピピー。","Don't bother going all the way to the back of Mori to tame the guy here.
Beep beep beep.","No hace falta ir hasta el fondo de Mori para domar el tipo aquí.
Beep beep beep."
"neko (talking)","にゃー","meow","miau"
"Yamamoto Akuji (talking)","よーし、よしよし。","All right, all right, all right.","Muy bien, muy bien, muy bien."
"neko (talking)","にゃんにゃん！","Nyan nyan!","¡Nyan nyan!"
"narrator","猫は、嬉しそうに悪司に寄り添った。","The cat snuggled up to Akuji happily.","El gato se acurrucó con Akuji felizmente."
"Yamamoto Akuji (talking)","よーし、わかったわかった。 俺んとこくるか？","All right, all right, all right. You wanna come over to my place?","Muy bien, muy bien, muy bien. ¿Quieres venir conmigo?"
"neko (talking)","にゃー！","Meow!","¡Miau!"
"Yamamoto Akuji (talking)","よし、いい子だ。","Okay, good boy.","Bien, buen chico."
"Yamamoto Akuji (talking)","んあ~~………っ……ん~……","N~~~………~…… n~~……",""
"narrator","悪司は、一人でヒノデ国立公園にきた。 綺麗に整備された美しい公園だ。","Akuji came to Hinode National Park alone. It is a beautiful and well maintained park.","Akuji vino al Parque Nacional Hinode solo. Es un parque hermoso y bien mantenido."
