"character";"jap text";"Eng";"Esp"
"__system__??";"{■ = 0:";"";""
"__system__??";"}";"";""
"narrator";"　　これより、";"From this point forward.";"A partir de este momento."
"narrator";"の 　　探索に入りますか？";"Do you want to go into the search for";"¿Quieres entrar en la búsqueda de la"
"__system__??";"{RETURN = 2:";"";""
"narrator";"　　";"　　";"　　"
"narrator";"の探索を中止します。";"Stop the search for the";"Detener la búsqueda del"
"__system__??";"}";"";""
"narrator";"　　";"　　";"　　"
"narrator";"の探索に入ります。";"The search will begin for the";"La búsqueda de la"
"__system__??";"{RETURN = 1:";"";""
"narrator";"　　　　敗北　　　　　 　　撤退します。";"Defeat Withdrawal.";"Retirada de la derrota."
"__system__??";"}";"";""
"__system__??";"{RETURN = 2:";"";""
"narrator";"　探索を中止します。 　地上に戻ります。";"Abort search. 　Return to the ground.";"Abortar la búsqueda. 　Vuelve al nivel del suelo."
"__system__??";"}";"";""
"narrator";"　探索を続けます。";"Continue your search.";"Explore más."
"__system__??";"{RETURN = 2:";"";""
"__system__??";"}";"";""
"narrator";"　　地下街　（";"Underground Mall";"Centro comercial subterráneo"
"narrator";"階） 　　探索を続けますか？";"(1st floor) Would you like to continue your search?";"(Piso) ¿Desea continuar su búsqueda?"
"__system__??";"{RETURN = 2:";"";""
"__system__??";"}";"";""
"narrator";"　　 地下街　（";"Underground Mall";"Centro comercial subterráneo"
"narrator";"階） 　　敵と接触した。";"(1st floor) Contact with the enemy.";"(Piso) Contacto con el enemigo."
"__system__??";"{RND = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{RETURN = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 8:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 12:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 20:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 26:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 28:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 30:";"";""
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 8:";"";""
"wakaishufu (talking)";"あの…恵美須町には、どうやって";"Um…how do you get to Ebisu Town?";"¿Cómo se llega a la ciudad de Emisu?"
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 12:";"";""
"wakaishufu (talking)";"あの…海遊館には、どうやって";"Um… how did you get to Kaiyukan?";"¿Cómo se llega al Kaiyukan?"
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 16:";"";""
"wakaishufu (talking)";"あの…梅ソフには、どうやって";"Um… how do you get to the plum sof…";"Um… ¿cómo se llega a Plum Sof?"
"__system__??";"}";"";""
"wakaishufu (talking)";"行けばいいのでしょうか？";"Should I go?";"¿Debo ir allí?"
"narrator";"迷子の主婦を発見した。 このまま拉致しよう。";"We found a lost housewife. Let's abduct her as she is.";"Encontramos un ama de casa perdida. Sigamos adelante y secuestrémosla."
"__system__??";"{☆地下街／階数 = 20:";"";""
"joshigakusei (talking)";"アリスソフトて馬鹿だねー。";"Alice Soft is so stupid!";"¡Alice Soft es tan estúpida!"
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 26:";"";""
"joshigakusei (talking)";"男なんて、だまし放題よ。ふふ。";"Men can be fooled all they want. Hmm.";"Los hombres pueden ser tan engañosos. Hmm."
"__system__??";"}";"";""
"__system__??";"{☆地下街／階数 = 28:";"";""
"joshigakusei (talking)";"あの……神を信じますか？";"Do you believe in that…… God?";"¿Crees en ese Dios de ……?"
"__system__??";"}";"";""
"narrator";"地下街で遊びすぎて、おかしくなった 女子学生がいる、保護しよう。";"There is a female student who went crazy because she played too much in the underground shopping mall.";"Hay una colegiala que ha estado jugando demasiado en la ciudad subterránea y se ha vuelto loca, tenemos que protegerla."
"narrator";"　地下街　 　　最下層に到着した。";"We arrived at the lowest level of the underground mall.";"Centro comercial subterráneo Llegó al nivel más bajo."
"__system__??";"{I装備[21] = 99:";"";""
"__system__??";"}";"";""
"narrator";"　地下街 　探索を終了します。";"Underground mall End Ryou to explore.";"Centros comerciales subterráneos Terminar con la exploración de Ryou."
"__system__??";"{RETURN = 2:";"";""
"__system__??";"}";"";""
"narrator";"　　メイド墓地　（";"Maid Cemetery";"El cementerio de las criadas ("
"narrator";"階） 　　探索を続けますか？";"(1st floor) Would you like to continue your search?";"(Piso) ¿Desea continuar su búsqueda?"
"__system__??";"{RETURN = 2:";"";""
"__system__??";"}";"";""
"narrator";"　　 メイド墓地　（";"Maid Cemetery";"El cementerio de las criadas ("
"narrator";"階） 　　敵と接触した。";"(1st floor) Contact with the enemy.";"(Piso) Contacto con el enemigo."
"__system__??";"{RND = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{RETURN = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{☆メイド墓地／階数 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{☆メイド墓地／階数 = 12:";"";""
"__system__??";"}";"";""
"narrator";"どこから、ともなく…… 声が聞こえてくる……";"From nowhere and nowhere…… I hear voices ……";"De ningún sitio y de ningún otro:…… Se oye una voz: ……"
"__system__??";"{RND = 1:";"";""
"narrator";"　メイドさん、すきじゃー。";"Maid, sukija!";"Criada, sukiya."
"__system__??";"}";"";""
"__system__??";"{RND = 2:";"";""
"narrator";"　メイド、犯してぇ、やりてぇ。";"Maid, fuck me, fuck me.";"Criada, fóllame, fóllame."
"__system__??";"}";"";""
"__system__??";"{RND = 3:";"";""
"narrator";"　３５歳以上はメイドではありません。";"No maids over 35 years old.";"Los mayores de 35 años no son criados."
"__system__??";"}";"";""
"__system__??";"{RND = 4:";"";""
"narrator";"　眼鏡メイドー、眼鏡メイドー。";"Glasses maid-, glasses maid-.";"Criada de gafas - criada de gafas."
"__system__??";"}";"";""
"__system__??";"{RND = 5:";"";""
"narrator";"　朝、ふぇらで起こして！！！メイド！";"Wake me up in the morning with a fuera!!!!!!!!!!!!!!!!!!!!!!!!!! Maid!";"¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡Despiértame por la mañana con un fuera!!!!!!!!!!!!!!!!!!!!!!!!!! ¡Maid!"
"__system__??";"}";"";""
"__system__??";"{RND = 6:";"";""
"narrator";"　メイドを得ずして何が男の人生か！";"What is a man's life without his maid!";"¿Qué es la vida de un hombre sin su criada?"
"__system__??";"}";"";""
"__system__??";"{RND = 7:";"";""
"narrator";"　ぺちゃぱいメイドも好きです。";"I also like petty-pie maids.";"También me gustan las sirvientas de la tarta."
"__system__??";"}";"";""
"__system__??";"{RND = 8:";"";""
