"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{(B忠誠タイプ = 3) * (B忠誠心 > 70):";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"{H愛欲 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"{H愛欲 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"Carikoriluri (talking)";"……あ・く・じ・さんっ。 どこですかー？";"…… A-Ku-Ji-San. Where are you?";"…… a-ku-ji-san. ¿Dónde estás?"
"Yamamoto Akuji (talking)";"おお、来るの早かったな。 もうちょい時間かかるかと思ってたが。";"Wow, you got here fast. I thought it would take a little longer.";"Oh, has venido rápido. Pensé que tardaría un poco más."
"Carikoriluri (talking)";"真っ直ぐ来ましたからね。 空飛んで。";"It came straight to us. Flying.";"He venido directamente aquí, ya sabes. Volando."
"Yamamoto Akuji (talking)";"………………………… まあ、別にいーけどな……";"………………………… Well, I don't really care……";"………………………… Bueno, no me importa……"
"Yamamoto Akuji (talking)";"んじゃ、カリコリルリ。 俺の部屋行くぞ~。";"Okay, Carikoriluri. Let's go to my room!";"Bueno, Carikoriluri. Vamos a mi habitación~."
"Carikoriluri (talking)";"ふふふっ……は~いっ。 今日は何回するんですか？";"Hmmm……… haha. How many times are you going to do that today?";"Hmmm……… jaja. ¿Cuántas veces vas a hacerlo hoy?"
"Yamamoto Akuji (talking)";"おめーが保つまで。";"Until you keep it.";"Hasta que te lo quedes."
"Carikoriluri (talking)";"……わあ、殺されちゃいそうっ……";"……Wow, I'm going to be Satsu! ……";"……Wow, voy a conseguir Satsued……"
