"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆コンディ = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{☆コンディ = 4:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"narrator";"悪司が一人、事務所で新聞を読んでいる。";"Akuji is alone in his office reading the newspaper.";"Akuji está solo en su despacho leyendo un periódico."
"Yamamoto Akuji (talking)";"ウィミィ潜水艦が船をねぇ… 絶対、謝罪ナシだろうな… 敗戦国がナマぬかすなとかって…";"";"Wime el submarino es un barco… Estoy seguro de que no se disculparán… la nación derrotada no debería ser tan ingenua…"
"Condi Go (talking)";"ブエノスディアス、セニョール。";"Buenos Dias, Senor.";"Buenos días, señor."
"Yamamoto Akuji (talking)";"おう、なんだ、コンディ。 今のは宇宙語か？";"Oh, what the Condi. Was that space language?";"Oh, qué demonios, Condi. ¿Era ese el lenguaje del espacio?"
"Condi Go (talking)";"違ウ、スペイン語……";"Wrong u, Spanish ……";"Equivocarse en la u, español: ……"
"Yamamoto Akuji (talking)";"そーか、あんた、スペイン人だったな。 ああ、今はＷスペインか。";"Oh, you're Spanish, aren't you? Oh, now you're W. Spanish.";"Bueno, eres español, ¿no? Oh, ahora eres W español."
"Condi Go (talking)";"……………";"……………";"……………"
"Yamamoto Akuji (talking)";"そのせいであんた、 こんな東の国まで出稼ぎにきたのか？";"Is that why you came all the way east to work?";"¿Por eso has venido hasta el este para trabajar?"
"Condi Go (talking)";"ウィミィ、キタセイ、スペイン 男ノ働ク場所、ナクナタ…
マダ、ニホン、ダイジョブダッタ… 今ハ、ダイジョブ、違ウ……
カルロス、一人。 母、イナイ。 早ク、国、帰リタイ。";"Wime, Kitasei, Spain Where men work, nakunata…
Mada, Nihon, Daijobu datta… Now, Daijobu, no… ……
Carlos, alone. My mother is not here. I want to go back to my country as soon as possible.";"Wime, Kitasei, España Donde los hombres trabajan, nakunata…
Mada, Nihon, Daijobu datta… ahora ha, Daijobu, no……
Carlos, solo. Mi madre no está aquí. Quiero volver a mi país lo antes posible."
"Yamamoto Akuji (talking)";"そりゃ災難だったな。 うちでのファイトマネー稼いで、 早く国に戻りたいな。";"That would be a disaster. I can't wait to get back home to make some fight money.";"Bueno, eso fue un desastre. No puedo esperar a ganar dinero de la lucha en casa y volver a casa."
"narrator";"コンディは黙って頷いた。";"Condi nodded silently.";"Condi asintió en silencio."
"narrator";"　　［ははは……］";"[ha ha ha ……]";"[ja ja ja ……]"
"Yamamoto Akuji (talking)";"ん？";"Hmm?";"¿Eh?"
"narrator";"コンディに肩車をさせてはしゃいでいる千手。 コンディも嬉しそうに笑っていた。";"Senju is excited to let Condi ride on his shoulders. Condi was also smiling happily.";"Senju está entusiasmado por dejar que Condi se suba a los hombros. Condi también sonreía felizmente."
"Ishihara Senju (talking)";"ほら、頑張れ、コンディ。 早く走ってよ。";"Here, go for it, Condi. Run fast.";"Toma, ve por ella, Condi. Corre rápido."
"Condi Go (talking)";"部屋ノ中、危険。 ダメ。";"In the room, dangerous. No.";"En la habitación no, peligroso. No."
"Ishihara Senju (talking)";"じゃあ、外に……";"Okay, let's go outside to ……";"A continuación, salga a ……"
"Yamamoto Akuji (talking)";"な~に、普通のガキみたく遊んでやがる。";"What the hell, they're playing like normal kids.";"Qué demonios, están jugando como niños normales."
"Ishihara Senju (talking)";"ああ、悪司。 タマにはこんなボクの姿もいいでしょ？";"Oh, Akuji. I'm like this for your balls, aren't I?";"Oh, Akuji. Es bueno verme así por las pelotas, ¿no?"
"Yamamoto Akuji (talking)";"違和感バリバリ。";"Uncomfortable Bali.";"Barreras de incomodidad."
"Ishihara Senju (talking)";"酷いなぁ、ふふふ。
コンディ、また後で遊ぼう。 悪司、お前に用事があるみたい。";"That's terrible. Hmmm.
Condi, we'll play again later. Akuji, I think I have something for you.";"Eso es terrible, hmmm.
Condi, volveremos a jugar más tarde. Akuji, creo que tengo algo para ti."
"Condi Go (talking)";"ワカッタ。";"Wakatta.";"Wakatta."
"narrator";"コンディは肩から千手を下ろす。 千手は二人に手を振り、部屋から去った。";"Condi lowers Senju from his shoulder. Senju waves to them and leaves the room.";"Condi baja a Senju de su hombro. Senju les saludó con la mano y salió de la habitación."
"Yamamoto Akuji (talking)";"自分の息子に似てるのかい？";"Does he look like your son?";"¿Se parece a su propio hijo?"
