"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆セヤダタラ = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{☆セヤダタラ = 4:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"{☆セヤダタラ = 3:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"Seyadatara (talking)";"きましたよ、こんにちわ。";"I'm here, hello.";"Estoy aquí, hola."
"Yamamoto Akuji (talking)";"おう。";"Oh.";"Oh."
"Seyadatara (talking)";"せーえき入れてくれるのですか？
でないと、気力が回復しないので、 どんどん動けなくなりますよ。
躰は戦うと壊れます。 でも、躰直してくれるラツノミコ様いない ので、壊れたらそのままでぴんちです。
どうしましょう。";"Will you put in a se-eki?
If not, you will not recover your energy, and you will become more and more immobile.
The body breaks down when you fight. But there is no Ratunomiko to fix my body, so if my body is broken, I will be left in the same state.
What should I do?";"¿Pondrás un se-ice?
Si no, no recuperarás tu energía, por lo que estarás cada vez más atascado.
Tu cuerpo se rompe cuando luchas. Pero no hay Ratunomiko que arregle tu cuerpo, así que si se rompe, te quedarás en el mismo estado.
 ¿Qué debo hacer?"
"Yamamoto Akuji (talking)";"どーしましょって言われてもなー… とりあえず、精液だけは保証するぞ。";"I don't know what to do… At any rate, I can assure you that semen is the only thing I can do.";"No sé qué hacer… En todo caso, te garantizo que sólo hay semen."
"Seyadatara (talking)";"はい、ありがとうございます。 濃いのをたくさん下さいね。 白く濁っている方がいいです。";"Yes, thank you. Please give me a lot of dark ones. The Haku dark and muddy is better.";"Sí, gracias. Por favor, dame muchos oscuros. Cuanto más oscuro y turbio sea el Haku, mejor."
"Seyadatara (talking)";"昨日、男の人間さんが遊んでくれました。";"Yesterday, a male human played with me.";"Un macho humano jugó conmigo ayer."
"Yamamoto Akuji (talking)";"何して遊んだんだい？";"What did you do for fun?";"¿Qué has hecho para divertirte?"
"Seyadatara (talking)";"お医者さんごっこです。 注射と言われて、せーえき注入口から せーえきを入れられました。";"We are playing doctor. I was told that I needed an injection, and they put it in through the injection port.";"Estamos jugando a los médicos. Me dijeron que necesitaba una inyección y me la pusieron a través del puerto de inyección del SEE."
"Yamamoto Akuji (talking)";"……で… どーだったんだい？";"At……… how did it go?";"En……… ¿Cómo te fue?"
"Seyadatara (talking)";"全然だめです、発射したばかりでも 活きのないのは、エネルギーに なりません。
だめのだめだめだったので、 そう言うと、その人、泣きながら どこかに行ってしまいました。";"No, not at all. Even if you just fired it, it has no energy if it has no life in it.
I said, “No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.";"En absoluto, aunque acabes de disparar, no te da energía si no tiene vida.
No era bueno, no era bueno, así que se lo dije, y se fue llorando."
"Yamamoto Akuji (talking)";"俺に罰を受ける前に、自ら罰を受けたか… ザマーミロだな、そいつ。";"He punished himself before he was punished by me… Zammermillo, that guy.";"Te castigaste a ti mismo antes de ser castigado por mí… Zamámiró, ese tipo."
"Seyadatara (talking)";"ところで、悪司。 注射って、美味しいですか？ かじっていいですか？";"By the way, Akuji. Is injection delicious? Can I nibble on it?";"Por cierto, Akuji. ¿Saben bien las inyecciones? ¿Puedo mordisquearlo?"
"Yamamoto Akuji (talking)";"えーとだな、その男はお前に嘘をついた。 注射は、せーえき注入とはまったく 別のもんだ。そして齧ってはだめ。";"Let's see, the guy lied to you. Injections are a whole different animal than a septic injection. And no biting.";"Veamos, el hombre te mintió. Las inyecciones son algo muy distinto a una inyección séptica. Y no le des un mordisco."
"Seyadatara (talking)";"はい、わかりました。 ワタシ、注射はかじりません。";"Yes, I understand. I don't bite on injections.";"Sí, lo entiendo. Watashi, no muerdo las inyecciones."
"Seyadatara (talking)";"美味しそうな色をした机ですね。 かじっていいですか？";"It's a delicious colored desk. May I nibble on it?";"Es un escritorio deliciosamente coloreado. ¿Puedo mordisquearlo?"
"Yamamoto Akuji (talking)";"だめ。";"No.";"No, no."
"Yamamoto Akuji (talking)";"おーし。";"Osh.";"Oooh."
"Seyadatara (talking)";"おーしは、美味しいですか？ かじっていいですか？";"Oshi, is it good? Can I nibble on it?";"¿El oshi es sabroso? ¿Puedo mordisquearlo?"
"Yamamoto Akuji (talking)";"齧れねぇ。";"I can't take a bite.";"No puedo roerlo."
"Seyadatara (talking)";"そうですか。";"I see.";"Sí."
"Yamamoto Akuji (talking)";"お前さんのお待ちかねのモンを プレゼントしよう。";"I'll give you what you've been waiting for.";"Les presento lo que han estado esperando."
"Seyadatara (talking)";"せーえきですか？ 早く下さい。 濃いのをたくさん。";"Is it a seize? Please hurry. Lots of thick.";"¿Es un sei-katsu-sha? Por favor, sea rápido. Mucho espesor."
"Yamamoto Akuji (talking)";"フツー、えろくせーセリフだけど、 お前さんが言うと、まったくもって あっけらかんだなー。";"It's a line that sounds like a joke, but when you say it, it's so easy-going.";"Es una frase que parece una broma, pero cuando la dices, es tan abierta y honesta."
"Seyadatara (talking)";"それ……";"It ……";"Es: ……"
"Yamamoto Akuji (talking)";"美味くもねーし、齧れねぇ。";"It ain't tasty, and I ain't gnawing on it.";"No es sabroso, no es roíble."
"Seyadatara (talking)";"そうですか。";"I see.";"Sí."
"Yamamoto Akuji (talking)";"よし、こっちきな。";"All right, come here.";"Muy bien, ven aquí."
"Seyadatara (talking)";"はい。";"Yes.";"Sí."
"cg narrator";"「たっぷり下さいね。 　零れたらイヤなので、零れない体位で 　せーえき下さい」
 「わかった、わかった。 　そーら」";"Please give me plenty. 　I don't want it to spill, so please fuck me in a position where it won't spill.”
Okay, okay. 　There you go.";"Por favor, dame mucho. 　No quiero que se derrame, así que por favor fóllame en una posición que no se derrame”.
Vale, vale. 　Ahí lo tienes."
