"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆パンイチ = 10:","",""
"__system__??","}","",""
"__system__??","{(☆パンイチ = 11) * (RND \ 0):","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"Panichi (talking)","オレを呼び出すという事は、 あんただけの為に 踊って欲しいという事かい？","By calling me up, you mean you want me to dance just for you?","Al llamarme, ¿quieres decir que quieres que baile sólo para ti?"
"Yamamoto Akuji (talking)","いらねって。 俺は時々、こーして部下の誰とでも 喋りたいだけだからよ。","I don't need it. I just like to have a chat with any of my guys from time to time.","No lo quiero. Me gusta tener una charla con cualquiera de mis hombres de vez en cuando."
"Panichi (talking)","そうか、残念だな。","Well, that's too bad.","Pues es una pena."
"Yamamoto Akuji (talking)","で、ここでもおひねり貰ってんのか。","So, you're getting a bribe here, too?","Entonces, ¿también estás recibiendo un soborno aquí?"
"Panichi (talking)","オレは朝顔のものでも、オレの舞いは、 客のものだからな。","I may belong to Asagao, but my Maii belongs to you.","Puedo pertenecer a Asagao, pero mi Maii pertenece al cliente."
"Panichi (talking)","朝顔、オレの可愛いハニー。 そろそろオレは、悪司の元に 行かなくてはいけない。
そんな悲しい顔をしないでくれ。 暫しの別れだ。","Asagao, my sweet Hanny. I have to go to Akuji soon.
Don't look so sad. It's just for a while.","Asagao, mi dulce Hanny. Es hora de que vaya a Akuji.
No estés tan triste. Es sólo un adiós temporal."
"Tsutsui Asagao (talking)","………いや… 離れたくないの…","……… No… I don't want to leave…","……… No… no quiero irme…"
"Panichi (talking)","可愛い女だ…オレの朝顔は。","She's a lovely woman…my Asagao.","Es una mujer encantadora… mi Asagao."
"Tsutsui Asagao (talking)","パンイチ……","Panichi……","Panichi……"
"Yamamoto Akuji (talking)","やめんか、バカップル。 朝顔、おめーさっさと部屋戻れ。","Stop it, you couple of idiots. Asagao, go back to your room.","Basta, par de idiotas. Asagao, vuelve a tu habitación."
"Panichi (talking)","ヤキモチは、可愛くないぜ。","Jealousy ain't cute, man.","Los celos no son bonitos, tío."
"Yamamoto Akuji (talking)","男に可愛いなんざ言われたくねっての。","I don't want a man to tell me I'm cute.","No quiero que un hombre me diga que soy bonita."
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Panichi (talking)","ご指名かい？","You wanted to see me?","¿Querías verme?"
"Yamamoto Akuji (talking)","相変わらず、パンツの中は 札まみれか。","Still covered in bills in your pants, huh?","Como siempre, tus calzoncillos están cubiertos de notas."
"Panichi (talking)","一枚わけてやろうか？","I'll give you a piece of it.","¿Quieres que comparta uno contigo?"
"Yamamoto Akuji (talking)","いらね。","I don't want it.","No es necesario."
"Yamamoto Akuji (talking)","これは、俺からのおひねりだ。 好きなように使ってくんな。","This is my endowment. Use it as you like.","Aquí hay algo de mi parte. Utilízalo como quieras."
"narrator","悪司はまとまった金を パンイチに渡した。","Akuji gave a sum of money to Panichi.","Akuji dio una suma de dinero a Panichi."
"Panichi (talking)","すまねぇな。 使わせて貰うとすよ。","Sorry about that. I'll take it.","Lo siento. Te dejaré usarlo."
"Yamamoto Akuji (talking)","きたな。 パンイチ。","KITANA. Panichi.","Kitsuna. Panichi."
"Panichi (talking)","やれやれだぜ。","Good grief, man.","Por Dios, hombre."
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"Panichi (talking)","で、オレをどうするつもりだい？","So what are you going to do with me?","¿Y qué vas a hacer conmigo?"
"Yamamoto Akuji (talking)","……その魅惑の黒パンツの中にある金は どーした？","…… what happened to the money in those seductive black pants?","…… ¿Qué pasó con el dinero de esos seductores pantalones negros?"
"Panichi (talking)","フフン。 客がいれば、その場はステージに 早変わりさ。","Hmph. If there are guests, the place turns into a stage.","Hmph. Si hay invitados, el lugar se transforma en un escenario."
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","{☆パンイチと朝顔 = 1:","",""
"Tsutsui Asagao (talking)","……………","……………","……………"
"Yamamoto Akuji (talking)","なんだ、朝顔。 こんなとこまできて。","What the heck, Asagao. You came all the way here.","Qué demonios, Asagao. Has venido hasta aquí."
"Panichi (talking)","オレがわざと捕まったのは、 あの女の為だ。","I got caught on purpose because of that woman.","Me atraparon a propósito por culpa de esa mujer."
"Yamamoto Akuji (talking)","へっ！？","Heh!","¡Ja!"
"Panichi (talking)","あの女とオレは、 同じもので繋がっている。","She and I are connected by the same thing.","Ella y yo estamos conectados por lo mismo."
"Yamamoto Akuji (talking)","………見せたがりって事か…？","You mean you want to show …………?","¿Quiere decir que quiere mostrar …………?"
"Panichi (talking)","オレは、あの女と共に時間を過ごす為に、 オフクロの墓であり、オレの聖域である 毛ガニ劇場を捨てた。
悪司。 オレをお前の部下にして、あの女と共に 生きる事を許してくれ。","I abandoned my sanctuary, the hairy crab theater, the grave of Okuro, to spend time with that woman.
Akuji. Make me your subordinate, and allow me to live with her.","Abandoné el teatro del cangrejo peludo, mi santuario y tumba de Okuro, para pasar tiempo con esa mujer.
Akuji. Hazme tu hombre y déjame vivir con ella."
"__system__??","}","",""
"__system__??","{☆パンイチと朝顔 = 0:","",""
"Tsutsui Asagao (talking)","……………","……………","……………"
"Yamamoto Akuji (talking)","なんだ、朝顔。 こんなとこまできて。","What the heck, Asagao. You came all the way here.","Qué demonios, Asagao. Has venido hasta aquí."
"Panichi (talking)","っ…！！","Ah…!","¡Oh!"
"Tsutsui Asagao (talking)","………やっぱり…私と…","………I knew… me and…","……… Lo sabía… yo y…"
"Panichi (talking)","オレと…同じ匂いがする！！","You smell just like me!","Tú y yo… ¡olemos igual!"
"Yamamoto Akuji (talking)","なんなんだ、お前ら。","What the hell, guys?","¿Qué demonios, chicos?"
"Panichi (talking)","あの女とオレは、 同じもので繋がっている。","She and I are connected by the same thing.","Ella y yo estamos conectados por lo mismo."
"Yamamoto Akuji (talking)","………見せたがりって事か…？","You mean you want to show …………?","¿Quiere decir que quiere mostrar …………?"
"Panichi (talking)","オレは、オフクロの墓であり、 オレの聖域である毛ガニ劇場を捨てる。
悪司。 オレをお前の部下にして、あの女と共に 生きる事を許してくれ。","I will abandon the hairy crab theater that is my sanctuary and my wife's grave.
Akuji. Make me your man and let me live with her.","Abandonaré el teatro del cangrejo peludo que es mi santuario y la tumba de mi descendencia.
Akuji… Hazme tu hombre y permíteme vivir con ella."
"__system__??","}","",""
"__system__??","{RETURN = 1:","",""
"Yamamoto Akuji (talking)","そーかそーか。 だったら、脱衣コンビで仲良く 俺の為に働いてくれ。","I see. Well, then, you and your undressing duo should get along and work for me.","Ya veo. Entonces ponte a ello y trabaja para mí como un dúo de desvestidos."
"Panichi (talking)","ありがとう、悪司。 いい男だぜ。","Thanks, Akuji. You're a good man.","Gracias, Akuji. Eres un buen hombre."
"Yamamoto Akuji (talking)","へっ、そーかい。","Heh, okay.","Vale."
"__system__??","}","",""
"Yamamoto Akuji (talking)","ダメだ。 今はそーいう気分じゃねぇ。","No. I'm not in the mood. I'm not in the mood for this.","No, no. No estoy de humor para esto."
"Panichi (talking)","……そうか、残念だな。","…… Well, that's too bad.","…… Bueno, es una pena."
