"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","{RND \ 0:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","よう、来たか勇者様。","Hey, you're here, my brave friend.","Oye, estás aquí, valiente."
"Big Arthur (talking)","何の用だよ。","What do you want?","¿Qué quieres?"
"Big Arthur (talking)","………そんなものは要らない。","……… don't need that.","……… No necesitamos eso."
"Yamamoto Akuji (talking)","要らないって、金だぞ金。 まさかおめーの世界には通貨ねーのか？","I don't need it, it's gold. Don't tell me you don't have currency in your world?","No lo quiero, es oro, oro. ¿No me digas que no tienes moneda en tu mundo?"
"Big Arthur (talking)","馬鹿にするな、王国発行の貨幣は 国の隅々まで行き渡っている。","Don't be fooled, the coinage issued by the Kingdom goes to every corner of the country.","No te engañes, el dinero emitido por el reino llega a todos los rincones del país."
"Yamamoto Akuji (talking)","ならとっとけよ。 こっちで生活すんのに何かと不便だろ？ 必要なモンをこれで買い揃えろや。","Then keep it. It's not convenient to live here, is it? Use it to buy all the things you need.","Pues quédate con él. No te conviene vivir aquí, ¿verdad? Utilízalo para comprar todo lo que necesites."
"Big Arthur (talking)","……この世界に長居するつもりはない！
姫をたぶらかした貴様を斃して、 俺はいつか必ず元の世界に帰るんだ！ それを忘れるなっ！！","…… I will not stay in this world for long!
I will die the death of you who beguiled the princess, and I will return to my world someday! Don't forget that!","…… ¡No me quedaré en este mundo por mucho tiempo!
 ¡Moriré como tú, que sedujiste a la princesa, y volveré a mi mundo algún día! No lo olvides."
"Yamamoto Akuji (talking)","へいへい。","Hey, hey, hey.","Heihei."
"Yamamoto Akuji (talking)","おー、来た来た。 どうよ勇者様、地下の居心地は。","Oh, here they come. How do you like it downstairs, my brave friend?","Oh, aquí vienen. ¿Qué te parece abajo, valiente?"
