"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆明 < 11:","",""
"__system__??","}","",""
"__system__??","{☆明 = 11:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠心 > 70:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲抵抗 <= H愛欲:","",""
"__system__??","}","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","……お、来た来た。 メイ、元気でやってっか？","…… Oh, here they come. May, how are you doing?","…… Oh, aquí vienen. May, ¿cómo estás?"
"Fudou Mei (talking)","お陰様でな。
で、オレに用だって聞いたんだけどよ。 何なんだ？","Thanks to you.
So, I heard you wanted to see me. What's this about?","Gracias a ti.
He oído que querías verme. ¿De qué se trata?"
"Yamamoto Akuji (talking)","用ってほどでもねぇけどな。 どうよ、真面目に仕事やってっか？","Not so much for business, though. How are you doing? Are you taking your job seriously?","Sin embargo, no tanto para los negocios. ¿Qué opinas, te tomas tu trabajo en serio?"
"Fudou Mei (talking)","心配しなくったって、 喧嘩だったら慣れてるよ。","Don't worry, I'm used to getting into fights.","No te preocupes, estoy acostumbrado a las peleas."
"Yamamoto Akuji (talking)","うちの仕事は喧嘩だけじゃねえぞ？ 説明しただろ。","Our job ain't just fighting, you know? I've explained it to you.","Nuestro negocio no es sólo pelear, ¿sabes? Ya te lo he explicado."
"Fudou Mei (talking)","ああ……計算が苦手だから 集金はちょっと勘弁なんだけどさ。
ただ、治安維持とかいうのは 大体解ってきたよ。","Yeah, I'm not good at…… math, so collecting money is a bit of a bummer.
But I'm starting to get the gist of what it's like to maintain public order.","Sí…… No se me dan bien las matemáticas, así que cobrar el dinero es un poco complicado.
Pero estoy empezando a entender de qué se trata, ya sabes, de mantener el orden público."
"Yamamoto Akuji (talking)","ほー。","Ho.","Ho."
"Fudou Mei (talking)","要するに、ガキやオッサンが喧嘩してたら 両方叩きのめして、よっぱらいはシバいて 家に連れてきゃいいんだろ？
喧嘩と大差ないしさ、簡単なもんさ。","In short, if a kid and an old man are fighting, beat them both up, shag the yobs, and bring them home, right?
It's not much different from a fight, it's that simple.","En resumen, si un niño y un anciano se pelean, les das una paliza a los dos, te tiras a los gamberros y los llevas a casa, ¿no?
No es muy diferente de una pelea, es tan simple como eso."
"Yamamoto Akuji (talking)","……………………","……………………","……………………"
"Fudou Mei (talking)","……何だよ、その顔。 オレ何か間違ってたか？","……What's with that face? Did I do something wrong?","…… ¿Qué pasa con esa cara? ¿He hecho algo mal?"
"Yamamoto Akuji (talking)","………………いや、 おおむね間違ってないからいいけどな。","……………… No, it's mostly okay, though, because it's not wrong.","……………… No, pero no pasa nada, porque tienes casi toda la razón."
"Yamamoto Akuji (talking)","よう。相変わらず元気そうだな、メイ。","Yo. You're looking good as always, Mei.","Yo. Te ves tan bien como siempre, Mae."
"Fudou Mei (talking)","まあな。 で……またオレに用があるんだって？","Well, yeah. So,…… you wanted to see me again?","Bueno. Así que…… ¿querías volver a verme?"
"Yamamoto Akuji (talking)","おう、その事なんだけどよ。 まあそこの椅子にでも座れや。","Oh, about that. Well, you can sit in that chair right there.","Oh, sobre eso. Bueno, puedes sentarte en la silla de ahí."
"Fudou Mei (talking)","ん……","N……","N……"
"Yamamoto Akuji (talking)","で、用件なんだがよ……
 ……おっと、話の前だってのに 机の上に灰皿がねぇな。 ちょっと取ってくるわ。","So, what can I do for you? ………… Oops, I don't see an ashtray on the desk before we talk. I'll go get it.","Entonces, ¿qué puedo hacer por usted? ………… Uy, no veo ningún cenicero en la mesa antes de hablar. Iré a buscarlo."
"Fudou Mei (talking)","別にオレ、灰皿なんか要らないぜ。","I don't need an ashtray.","No necesito un cenicero."
"Yamamoto Akuji (talking)","遠慮すんなよ、俺も付き合いで吸うし。","Don't be shy, I smoke in company too.","No seas tímido, yo también fumo en compañía."
"Fudou Mei (talking)","ああ、あんたが使うなら勝手にしなよ。","Yeah, if you want to use it, go ahead.","Sí, si quieres usarlo, haz lo que quieras."
"Yamamoto Akuji (talking)","勝手にっておめー、マジで吸わねぇ気か？","You're really not going to smoke?","¿No vas a fumar por tu cuenta?"
"Fudou Mei (talking)","ああ……言ってなかったんだっけ。 オレ、煙草に火つける事は 滅多にないからさ。","Oh, I didn't tell you about ……. I rarely light up a cigarette.","¿No te he hablado de ……? Raramente enciendo mis cigarrillos."
"Yamamoto Akuji (talking)","………………はぁ？ んじゃ何でいっつも口にくわえてんだ？","What about ………………? Then why do you always have it in your mouth?","¿Qué hay de ………………? Entonces, ¿por qué lo tienes siempre en la boca?"
"Fudou Mei (talking)","何となく。 口元に何かあった方が落ち着くんだよ。
一応ライターも持ってるからさ、 吸おうと思えばいつでも吸えるけど……
まあ、三日に一本とか、 一週間に一本くらいかな。","Somehow. I feel more comfortable with something in my mouth.
I have a lighter, so I can smoke whenever I want……
Well, maybe once every three days or once a week.","De alguna manera. Me siento más cómodo si tengo algo en la boca.
Tengo un encendedor, así que puedo fumar cuando quiera……
Bueno, tal vez un cigarrillo cada tres días o una semana."
"Yamamoto Akuji (talking)","なんじゃそりゃ。 中途半端な煙草吸いだなー……","What's that? You're a half-assed smoker……","¿Qué es eso? Eres un fumador de medio pelo……"
"Fudou Mei (talking)","っせえなぁ…… あんたに迷惑かけてないだろ、 ほっといてくれ。","Fuck you…… I'm not bothering you, just leave me alone.","Vete a la mierda…… No te estoy molestando, déjame en paz."
"Yamamoto Akuji (talking)","よう、来たかメイ。 まあそこに座れ。","Hey, there you are, Mae. Well, sit down right there.","Oye, estás aquí, May. Bueno, siéntate ahí."
"Fudou Mei (talking)","……………… あのさ、一つ訊いていいかな。
オレ、あんたの役に立ってんだよな。","……………… Let me ask you something.
I'm useful to you, aren't I?","……………… Oye, déjame preguntarte algo.
Te soy útil, ¿no?"
"Yamamoto Akuji (talking)","んー？　そりゃ立ってるぜ。 役立たず飼っとくほど 俺は暇人じゃないからなー。","Hmm?　That's right, I'm standing. I don't have time to keep useless things.","¿Hmm?　Bueno, estoy de pie. No tengo tiempo para cosas inútiles."
"Fudou Mei (talking)","………………そうか。 なら、いいよ。","……………… Okay. Well, okay then.","………………. De acuerdo. Entonces bien."
"Yamamoto Akuji (talking)","……？","……？","……？"
