"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆喜久子 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆喜久子 < 7) * (I装備[44] = 99):";"";""
"__system__??";"}";"";""
"__system__??";"{(☆喜久子 < 7) * (I装備[40] = 99):";"";""
"__system__??";"}";"";""
"__system__??";"{☆喜久子 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 2:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 4:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 5:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Nogi Kikuko (talking)";"……旦那様、只今戻りました。";"…… Sir, I just returned.";"…… Señor, acabo de regresar."
"Yamamoto Akuji (talking)";"おう、おかえり。 で、乃木さんの様子はどうだった？";"Oh, welcome back. So, how was Nogi?";"Oh, bienvenido de nuevo. Entonces, ¿cómo fue Nogi?"
"Nogi Kikuko (talking)";"はい、お元気でした。 お持ちした差し入れも 綺麗にお食べになって。";"Yes, she was fine. You ate the food I brought for you beautifully.";"Sí, estaba bien. Te comiste la comida que te traje."
"Yamamoto Akuji (talking)";"そかそか。";"Oh, yeah.";"Ah, sí."
"Nogi Kikuko (talking)";"それで……旦那様、 私、実家の荷物を少し 片付けていたのですが……
蔵から、こんなものが出てきまして。";"So,…… sir, I was cleaning out some stuff from my parents' house……
I found this in the storehouse.";"Así que,…… señor, estaba limpiando algunas cosas de la casa de mis padres……
Encontré esto en el almacén."
"Yamamoto Akuji (talking)";"……………………なんぢゃこりゃ。";"…………………… What the heck is this?";"…………………… ¿Qué demonios es esto?"
"Nogi Kikuko (talking)";"旦那様のお仕事上、 何かと重宝なさるのではと思って お爺様から譲って頂いたのですが…";"I got it from my grandfather, who thought it might be useful in some way in his work…";"Me lo regaló mi abuelo con la esperanza de que le fuera útil para su trabajo…"
"Yamamoto Akuji (talking)";"…………まさかコレ、 乃木さんが手に入れたのか？ またえらいマニアックなモンを……
まあいいや、モノは確かみてえだしな。 使わせてもらうぜ。 ……ありがとよ、きっこ。";"………… You don't think Nogi got this, do you? Another maniacal one……
Well, it's okay, I'm sure it's a good one. I'll use it…… Thanks, Kikko.";"………… No crees que Nogi lo haya entendido, ¿verdad? Otra cosa maniática……
Bueno, está bien, seguro que es bueno. Lo usaré…… Gracias, Kikko."
"Nogi Kikuko (talking)";"はい、どうぞお役立て下さい。";"Yes, please help us.";"Sí, por favor, ayúdanos."
"Nogi Kikuko (talking)";"……旦那様、お爺様の所から 只今戻りました。";"…… Sir, I just returned from Grandfather's place.";"…… Señor, acabo de regresar de la casa del abuelo."
"Yamamoto Akuji (talking)";"おう、おかえり。
 ……その顔見る限り、 乃木さんは元気だったみてーだな。";"Oh, welcome back.…… From the look on your face, Nogi seems to be doing well.";"Oh, bienvenido de nuevo.…… Por la expresión de su cara, parece que a Nogi le ha ido bien."
"Nogi Kikuko (talking)";"はい。
それで……旦那様、 また、実家の蔵から面白いものが……
お爺様にお願いして、 また譲って頂いたのですが、 お役に立ちますか？";"Yes, I have.
So,…… sir, I also found some more masked Haku things from my parents' storehouse……
I asked my grandfather to give it to me again.";"Sí, señor.
Así que,…… señor, también tengo algunas cosas Haku enmascaradas del almacén de mis padres ……
Le pedí a mi abuelo que me lo diera de nuevo."
"Yamamoto Akuji (talking)";"？　見せてみな。";"?　Let me see.";"?　Muéstrame."
"Nogi Kikuko (talking)";"はい、どうぞ。";"Yes, please.";"Sí, por favor."
"Yamamoto Akuji (talking)";"……………………
なあ、きっこ…… おめーんちの蔵って、 こんなモンばっか入ってんのか？";"……………………
Hey, Kikko ……, is your warehouse full of this stuff?";"……………………
Oye, Kikko:…… ¿Esto es todo lo que hay en tu almacén?"
"Nogi Kikuko (talking)";"はい、乃木家は何百年と 続いてきた家系ですので、 それはもう不思議な物がいろいろと。";"Yes, the Nogi family has been in existence for hundreds of years, so there are many strange things.";"Sí, la familia Nogi existe desde hace cientos de años, así que hay todo tipo de cosas extrañas."
"Yamamoto Akuji (talking)";"モノホンの名家旧家ってのは 謎だらけだなー、全く……
まあいいや、 これも有り難く使わせてもらうぜ。 サンキュな、きっこ。";"The real old families are full of mysteries… ……
Well, I'll use this one too, thank you very much. Thank you, Kikko.";"Las verdaderas familias antiguas están llenas de misterios… ……
Bueno, yo también usaré este, muchas gracias. Gracias, Kikko."
"Nogi Kikuko (talking)";"はい、どうかお役立て下さい。";"Yes, please help us.";"Sí, por favor, ayúdanos."
"Nogi Kikuko (talking)";"……旦那様、 私をお呼びになられましたか？";"…… sir, did you call for me?";"…… Señor, ¿me ha llamado?"
"Yamamoto Akuji (talking)";"おう、呼んだぞー。";"Oh, I called you!";"¡Oh, te he llamado!"
"Nogi Kikuko (talking)";"申し訳ありませんが、今、 少し仕事が詰んでおりまして、 できればご用件は手短に……";"I'm sorry, but I'm a bit tied up at work right now, so please keep your message brief if you can……";"Lo siento, estoy un poco liado con el trabajo en este momento, así que por favor sea breve si puede: ……"
"Yamamoto Akuji (talking)";"………………
あのさー、きっこ。 組織の仕事を頑張ってくれんのは 嬉しいんだけどよー……";"………………
Hey, Kikko. I'm glad you're doing a good job with the organization……";"………………
Ya sabes, Kikko. Me alegro de que te esfuerces en el trabajo de tu organización……"
"Nogi Kikuko (talking)";"無理はするな、でしょう？ くすっ、もう何度お聞きしたか 解りませんよ。";"Take it easy, right? I don't know how many times I've heard that already.";"Tómatelo con calma, ¿verdad? No sé cuántas veces lo he oído ya."
"Yamamoto Akuji (talking)";"解ってんならいいんだけどな。 怪我だけはすんなよー。";"I hope you understand. Just don't get hurt!";"Espero que sepas lo que estás haciendo. ¡No te hagas daño!"
"Nogi Kikuko (talking)";"大丈夫です、こう見えても私は 怪我の類は慣れていますから。";"Don't worry, I'm used to injuries of this kind.";"No te preocupes, a pesar de las apariencias, estoy acostumbrado a este tipo de lesiones."
"Yamamoto Akuji (talking)";"はー？ 見るからに箱入りのおめーがか？";"Huh? You're the one who's boxed in to look at?";"¿Eh? ¿Eres tú el que está encajonado para mirar?"
"Nogi Kikuko (talking)";"私、子供の頃は薙刀の先生から 稽古をつけて頂いていたのです。
お爺様のお知り合いで、 それはもう有名な先生で……
朝から晩まで血反吐を吐きながら 百合も千合も交わすような それはもう凄まじい稽古を……";"When I was a child, I was trained by a naginata sensei.
He was an acquaintance of my grandfather's, and he was a famous teacher……
From morning till night, I practiced with him, vomiting blood, exchanging a hundred or a thousand blows, it was a tremendous practice……";"Cuando era niño, fui entrenado por un sensei de naginata.
Era un conocido de mi abuelo y un sensei muy famoso……
Desde la mañana hasta la noche, practicaba conmigo, vomitando sangre, intercambiando cien o mil golpes, era una práctica tremenda……"
"Yamamoto Akuji (talking)";"………………マジか。";"……………… Really?";"……………… Realmente."
"Nogi Kikuko (talking)";"……くすっ、 私、昔に地域の薙刀術大会で 準優勝したのが、密かな自慢なんですよ。";"I'm secretly proud of the fact that I won second place in a regional naginata tournament a long time ago……";"Estoy secretamente orgulloso de haber ganado el segundo puesto en una competición regional de naginata hace mucho tiempo……"
"Yamamoto Akuji (talking)";"うーん、 乃木さんはおめーに一体全体 どういう教育してたんだ……";"Hmmm, what the hell kind of education did Nogi give you ……";"Hmmm, ¿qué tipo de educación te dio Nogi ……"
