character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆宗麟 = 3:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
Kujou Sourin (talking),お呼びですか？ 悪司さん。,You wanted to see me? Akuji.,¿Querías verme? Akuji.
Yamamoto Akuji (talking),おう、こっちこいや。,"Yes, come here, come here.","Oh, ven aquí, ven aquí."
Kujou Sourin (talking),はい、失礼します。,"Excuse me.","Sí, discúlpeme."
Yamamoto Akuji (talking),"お前さんさー、どうしてそんなに 金が欲しい訳？
なんかこー、高貴な匂いがするのに、 金、金ってガメツイ事言うからよ。 アンバランスだなーと。","Why do you want money so badly?
You seem so noble, but you talk so much about money. It's unbalanced.","¿Por qué quieres tanto el dinero?
Hueles tan noble, pero hablas tanto de dinero. Está desequilibrado."
Kujou Sourin (talking),僕の為に使うお金ではありません。 僕がお世話になっています、 お寺の為です。,"It is not for me. It is for the temple, to which I am indebted.","El dinero no es para mí. Es por el templo, por el que estoy en deuda."
Yamamoto Akuji (talking),寺？,Temple?,¿Templo?
Kujou Sourin (talking),はい。 僕は九条橋の袂に捨てられていた 子供なんです。,"Yes, I am. I was a child who was abandoned by the side of the bridge.","Sí, soy Kujou, un niño abandonado al lado de un puente. Soy Kujou, un niño abandonado al lado del puente."
Yamamoto Akuji (talking),だから、九条……,"So, Kujou ……","Así que, Kujou ……"
Kujou Sourin (talking),"はい。 宗麟は、そこにいるお爺殿達…… お坊様方につけて頂いた名前です。
そのお寺は、戦前から重要文化財指定を 国から受けていたので、しっかり 維持しなくてはいけません。
その為には、お金が必要らしいのです。
戦前までは、その辺りは経理に詳しい方が 専属でやって下さっていたのですが、 戦災によって、お亡くなりになりました。
また、寺の若い人達は、次々と徴兵され、 未だ戻ってきません。 戸籍のない僕は、徴兵されませんでした。","Yes, I am. Sourin is the name given by the monks there …….
The temple has been designated as an important cultural property by the government before the war, so it has to be maintained well.
They need money to do so.
Before the war, there was a person who was an expert in accounting, but he passed away due to the war damage.
Also, the young people of the temple were drafted one after another and have not returned yet. I, who do not have a family register, was not drafted.","Sí. Sourin es el nombre que le dan los monjes allí …….
El templo ha sido designado por el gobierno como un importante bien cultural desde antes de la guerra, por lo que tiene que estar bien mantenido.
Necesitan dinero para ello.
Hasta antes de la guerra, había una persona experta en contabilidad, pero falleció debido a la guerra.
Además, los jóvenes del templo fueron reclutados por el ejército uno tras otro y aún no han regresado. Yo, que no tengo registro familiar, no fui reclutado."
Yamamoto Akuji (talking),で、寺の維持費の為に、金がいると。,"So, they need money to pay for the upkeep of the temple.",Y necesitan dinero para pagar el mantenimiento del templo.
Kujou Sourin (talking),"はい。
経理をなさっていた方が残して下さって いた手紙に、月々３００万円は必要と 書かれていました。","Yes.
In a letter left by an accountant, he wrote that he needed 3 million yen per month.","Sí.
En una carta dejada por uno de los contables, escribió que necesitaba 3 millones de yenes al mes."
Yamamoto Akuji (talking),それで、３００万円……,"So, 3 million yen……","Así que, 3 millones de ……"
Kujou Sourin (talking),"はい。 意地でも、僕が稼がなくてはいけない 最低金額です。
そうしなければ、お爺殿達は 自分達が死んでも寺を守ろうとするので。
しかし、僕は寺からあまり外に出た事が なかったので……
お金の価値がいまひとつ、 わかりません。","Yes. It is the minimum amount of money I have to earn, no matter what.
If I don't, my grandfathers will try to protect the temple even if they die.
But I have never been out of the temple much, so I don't understand the value of money.","Sí. Es la cantidad mínima de dinero que tengo que ganar, pase lo que pase.
De lo contrario, los abuelos tratarán de proteger el templo incluso si mueren.
Pero nunca he salido mucho del templo, así que no entiendo el valor del dinero……
No entiendo muy bien el valor del dinero."
Yamamoto Akuji (talking),そーだなーー。 娼館が何するとこだって、 わかんなかったみたいだし。,That's true. She didn't understand what a whorehouse was supposed to do.,Es cierto. No entendía lo que debía hacer un prostíbulo.
Kujou Sourin (talking),そんな中で、悪司さんにお会いする事が 出来て、非常にありがたく思っています。,I am very grateful to have met Akuji-san.,Estoy muy agradecido por haber conocido a Akuji en este contexto.
narrator,宗麟はそう言うと、悪司に手を合わせた。,Sourin said so and put his hand together with Akuji.,Sourin dijo esto y puso su mano en la de Akuji.
Yamamoto Akuji (talking),おいおい、何やってんだよ。,"Oh, come on, what are you doing?","Oh, vamos, ¿qué estás haciendo?"
Kujou Sourin (talking),お呼びになりましたか？,Did you call for me?,¿Me has llamado?
Yamamoto Akuji (talking),おう。,Yeah.,Oh.
Yamamoto Akuji (talking),これ、ちょっとだけど、寺の維持費の 足しにしてやってくんな。,Please give a little of this to the temple for its upkeep.,Coge un poco de esto y dáselo al templo para ayudar al mantenimiento.
narrator,悪司はまとまった金の入った封筒を、 宗麟に手渡した。,Akuji handed an envelope containing a large sum of money to Sourin.,Akuji entregó un sobre con una gran suma de dinero a Sourin.
Kujou Sourin (talking),ありがとうございます。 お爺殿達も喜ぶ事でしょう。 では、お礼に読教を……,"Thank you very much. The grandfathers will be pleased. Now, thank you for your help: ……","Muchas gracias. Tus abuelos estarán encantados. Ahora, gracias por leer la enseñanza: ……"
Yamamoto Akuji (talking),あー、そんな抹香臭いのはいらねぇ。 そん代わり、俺の為に働いてくれ。,"Oh, I don't want that kind of matchstick smell. Instead, work for me.","No quiero ese tipo de olor a fósforo. En cambio, trabaja para mí."
Kujou Sourin (talking),はい、わかりました。,"Yes, I understand.","Sí, lo entiendo."
narrator,宗麟が悪司の前に連れてこられた。,Sourin was brought before Akuji.,Sourin fue llevado ante Akuji.
Kujou Sourin (talking),お願いです、ここから出して下さい。 僕にはじっとしている時間はないのです。 お願いします。,"Please, let me out of here. I don't have time to sit still.","Por favor, sácame de aquí. No tengo tiempo para quedarme quieto. Por favor."
Yamamoto Akuji (talking),ん~……,Hmmm… ……,Hmmm… ……
Kujou Sourin (talking),悪司さん……お願いです。,"Akuji,…… please.","Akuji,…… por favor."
Kujou Sourin (talking),こうしている間に、お爺殿達は自分の命を 削って寺を守っています。 お願いですから、僕を解放して下さい。,"While I am doing this, my grandfathers are protecting the temple by sacrificing their own lives. I beg you, please let me go.","Mientras yo hago esto, mis abuelos protegen el templo con sus propias vidas. Te lo ruego, por favor, déjame ir."
Yamamoto Akuji (talking),こんだけ積めば、俺の部下になるか？,"If I pile this much on, you'll be my man?","Si me amontono tanto, ¿serás mi hombre?"
narrator,悪司はまとまった金を宗麟に見せた。,Akuji showed Sourin a sum of money.,Akuji mostró a Sourin una suma de dinero.
Kujou Sourin (talking),外に出して頂けて、仕事もさせてくれると いう事ですよね？,"You mean they would let us out and let us work, right?","Así que nos dejaron salir y nos dejaron trabajar, ¿es así?"
Yamamoto Akuji (talking),ああ、そうだ。,"Oh, yes.","Sí, lo son."
Kujou Sourin (talking),ではなります。 お願いします。 今すぐ使って下さい。,Then it will be. Please. Please use it now.,Entonces lo será. Por favor. Úsalo ahora.
Yamamoto Akuji (talking),よし、決まりだ。,"Okay, it's settled.","Bien, está decidido."
Kujou Sourin (talking),………………,………………,………………
narrator,真摯な顔をして、うつむいている宗麟がいた。,There was a Sourin with a sincere look on his face and a depressed look on his face.,Había un Sourin deprimido con una cara sincera.
Kujou Sourin (thinking),"今日も、お金を頂く事が 出来なかった……
このままでは、自分達が食べるものを 削って、お爺殿達は寺を守ろうとする。
そんな事はさせられない。
 ……………
申し訳ありません、悪司さん……","Today, too, we could not get the money……
If we don't do this, the grandpas will try to protect the temple by cutting back on what they eat.
We can't let that happen.
 ……………
Sorry, Akuji……","Hoy tampoco hemos podido conseguir dinero……
Si no lo hacemos, los abuelos tratarán de proteger el templo reduciendo lo que comen.
No podemos dejar que lo hagan.
 ……………
Lo siento, Akuji……"
narrator,その日から、宗麟は姿を消した。,"From that day on, Sourin disappeared.","A partir de ese día, Sourin desapareció."
narrator,そこに一人の男が訪れた。,Then a man came to visit.,Un hombre lo visitó allí.
Kujou Sourin (talking),あの……どなたかいらっしゃいませんか？ ……あのー…,"Um,…… Anyone?…… Um…","Um,…… ¿Alguien quiere?…… Um…"
narrator,男は一人、神社の中を人影求めて 声をかけ続けた。,"The man, alone, kept calling out through the shrine in search of figures.","El hombre, solo, seguía llamando a través del santuario en busca de figuras."
Kujou Sourin (talking),駄目だ……ここも、戦争のせいで 無人になってしまっている……,"No…… here, too, is uninhabited because of the war……",No…… Este lugar también está deshabitado por la guerra……
Kujou Sourin (talking),頼りはここだけと、お爺殿達に 言われてきたというのに… どうすればいいのかな……,I've been told by my grandfathers that this is the only place I can rely on… What can I do? ……,Nuestros abuelos nos han dicho que este es el único lugar en el que podemos confiar… ¿Qué podemos hacer? ……
narrator,男は、愁眉を作り、軽くため息をついた。,The man made a pensive eyebrow and sighed lightly.,El hombre enarcó una ceja pensativa y suspiró ligeramente.
Kujou Sourin (talking),あの、すみません。,"Um, sorry.","Um, lo siento."
ten'in (talking),はいよ、どしたい。 綺麗なおにーちゃん。 大根が安くなってるよ。,"Yes, yo, dottai. Beautiful girl. Daikon radishes are cheap.","Sí, yo, dottai. Hermosa chica. Los rábanos son más baratos."
Kujou Sourin (talking),"あ、いえ、お買い物にきたのでは ありません。
こちらに貼ってある求人チラシが 目に入ったものですから、 その事をお聞きしたいと。","Oh, no, I'm not here to shop.
I just noticed the job flyer posted here and wanted to ask you about it.","Oh, no, no estoy aquí para comprar.
Acabo de ver el folleto de empleo publicado aquí y quería preguntarte sobre él."
ten'in (talking),ああ、にーちゃんが働いてくれるのかい？ あんただったら、その顔でいくらでも客が 寄ってくるから大歓迎だよ。,"Oh, you're going to work for me? If it's you, you'll be a welcome guest.","¿Vas a trabajar para mí? Si eres tú, tendrás muchos clientes con tu cara, así que eres más que bienvenido."
Kujou Sourin (talking),あの…時給４５０円となっているのですが これ、もう少しあげて頂けますか？,Um…the wage is 450 yen per hour. Can you give me a little more?,Um… el salario es de 450 yenes por hora. ¿Puedes subirlo un poco más?
ten'in (talking),どのくらいだい？,How long?,¿Cuánto tiempo?
Kujou Sourin (talking),はい、一万円ぐらいに。 それでしたら、僕、寺に――,"Yes, about 10,000 yen. If that's the case, I'll go to the temple…","Sí, unos 10.000 yenes. Si ese es el caso, iré al templo y…"
ten'in (talking),馬鹿言ってんじゃないよ！！,Don't be stupid!,¡No seas estúpido!
Kujou Sourin (talking),えっ……,Eh ……,Eh ……
ten'in (talking),そんなに時給くれるんだったら、 あたしだってパートに出るよ！ なんて子だい！,"If they pay me that much an hour, I'll take a part time job too! What a child!","Si me pagan tanto por hora, ¡también iré a trabajar a tiempo parcial! ¡Qué chico!"
Kujou Sourin (talking),あ、あの僕、怒鳴られるような事 言いましたか？,"Oh, did I say something that would get me yelled at?","Oh, ¿he dicho algo que haría que me gritaran?"
ten'in (talking),なんだい、イカれてんのかい！？ ショーバイの邪魔だよ！ あっち行った行った！！,"What, are you crazy? You're interrupting my show-by! He's gone away!","¿Qué, estás loco? ¡Interrumpes mi espectáculo! ¡Se ha ido!"
Kujou Sourin (talking),では、どのような仕事だと お金がたくさん稼げますか？,"So, what kind of job makes you a lot of money?",¿Qué tipo de trabajo te haría ganar mucho dinero?
ten'in (talking),躰売るか、用心棒にでもなるんだね！！,Sell your body or become a bouncer!,¡Tendrás que vender tu cuerpo o convertirte en un gorila!
Kujou Sourin (talking),躰を……売る……？？ 用心棒…は、少しはわかるのですが……,Selling…… the body ……? Bouncers…I know a little bit about ……,¿Vendiendo cuerpos a…… ……? Los gorilas… Sé un poco sobre ……
ten'in (talking),なんだい、あんた…… 外国で暮らしていたのかい？,"What is it, you…… lived in a foreign country?","¿Qué pasa, que…… ha vivido en un país extranjero?"
Kujou Sourin (talking),いえ、ニホンですが……,"No, it's nihon, but ……","No, es nihon, pero ……"
ten'in (talking),もう、どっちでもいいよ。 さっさとどっか行ってくんな。,I don't care which one you are. Just get the hell out of here.,Ya no me importa cuál seas. Sólo lárgate de aquí.
Kujou Sourin (talking),わかりました。 色々と教えて貰えて嬉しかったです。 ありがとうございました。,I understand. I was happy to learn a lot from you. Thank you very much.,Lo entiendo. Me ha encantado aprender mucho de ti. Muchas gracias.
