"character","jap text","Eng","Esp"
"Yamamoto Akuji (talking)","え~と、今日の先発は……","Let's see, today's starter is ……","Veamos, el titular de hoy es ……"
"narrator","と、悪司がスポーツ新聞を広げた瞬間。
 　　［ぞわっっ……］","And the moment Akuji unfolded the sports newspaper.
 　　[Sigh… ……]","Y en el momento en que Akuji desplegó el periódico deportivo.
 　　[Suspiros ……]"
"Yamamoto Akuji (talking)","んっ……？？","Hmmm ……?","Hmm ……?"
"narrator","急の寒気に悪司は身震いした。","A sudden chill made Akuji shiver.","Un repentino escalofrío hizo que Akuji se estremeciera."
"Yamamoto Akuji (talking)","なんで……","Why ……","Por qué ……"
"Yamamoto Akuji (talking)","………へ……
 ………きのこ……？？","Go to……… …………… mushrooms……?","Ir a……… ……
 ¿A……… mushrooms……?"
"narrator","悪司が見たと思った少女は、 あっという間に消えてしまった。","The girl Akuji thought he saw disappeared in a flash.","La chica que Akuji creyó ver desapareció en un instante."
"Yamamoto Akuji (talking)","………なんだ……今の……","What is……… …… now ……","……… qué es…… ahora ……"
"Yamamoto Akuji (talking)","どれ、タマには修練でもするべ。 さっちゃん、お相手頼むぜ。","I'll do some training once in a while. Sacchan, I'm counting on you to keep me company.","Lo cual, debería hacer algo de entrenamiento de vez en cuando. Sacchan, por favor, juega conmigo."
"Takega Satsu (talking)","うむ。 かかってくるといい。","Mm. You can call me.","Mm. Puedes llamarme."
"narrator","　　［ぞわっっ……］","[……]","[Ssshhhh……]"
"Yamamoto Akuji (talking)","ん、んん？？ 前にも感じた寒気が……","Hmmm, hmm? A chill I've felt before: ……","¿Hmm, hmm? Un escalofrío que sentí antes……"
"Yamamoto Akuji (talking)","……………
また、きのこ……","……………
Also, mushrooms ……","……………
Además, las setas: ……"
"Takega Satsu (talking)","初めて見た。 これが、お前の水子か。","I saw it for the first time. Is this your water boy?","Lo vi por primera vez. ¿Es este tu chico del agua?"
"Yamamoto Akuji (talking)","なんでそーなんだよ。
大体、俺の年でこんな大きな水子が――","Why is that so?
I mean, at my age, a water baby this big--","¿Por qué?
Quiero decir, a mi edad, un bebé de agua tan grande…"
"Yamamoto Akuji (talking)","あ、あれ？ あれれ？？","Oh, that? Huh?","Oh, ¿eso? ¿Eh?"
"Takega Satsu (talking)","消えたか。","Gone.","Desaparecido."
"Yamamoto Akuji (talking)","夢……","Dream ……","Sueño ……"
