"character","jap text","Eng","Esp"
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","よう、看護婦さん。","Hey, nurse.","Oye, enfermera."
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","あんたが友引操で間違いないよな？ 失踪してた看護婦のリーダーで。","I'm pretty sure you're Tomobiki Misao, right? The leader of the missing nurses.","Estoy seguro de que eres Tomobiki Misao? Líder de las enfermeras desaparecidas."
"Tomobiki Misao (talking)","……そうです。","…… Yes.","…… Sí."
"Yamamoto Akuji (talking)","お、あっさり認めたな。","Oh, you readily admit it.","Oh, lo admites fácilmente."
"Tomobiki Misao (talking)","私以外のみんなは、 ただ手伝ってもらっていただけで 全然関係ないんです……
お願いです、みんなを解放して下さい。 シャアの事を知っているのは私だけで……","Everyone else was just helping me and had nothing to do with it at all……
Please, let us all go. I'm the only one who knows about Shaa ……","Todos los demás sólo me ayudaban, no tenían nada que ver……
Por favor, déjenos ir a todos. Soy el único que sabe de Shaa……"
"Yamamoto Akuji (talking)","シャア？　シャアって何だ？","What is Shaa?　What's Shaa?","¿Gracias a Dios?　¿Qué es Shaa?"
"Tomobiki Misao (talking)","えっ…… ご存じないんですか……？","What…… don't you know ……?","¿Qué?…… ¿No conoces ……?"
"Yamamoto Akuji (talking)","さっぱり。","Not at all.","No es un momento demasiado pronto."
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","よう、あんたが森に隠れてたのと、 そのシャアとか言うヤツ、 何か関係あんのか？","Hey, what does your hiding behind Mori have to do with this Shaa guy?","Oye, ¿qué tiene que ver tu escondite en Mori con este tipo de Shaa?"
"Tomobiki Misao (talking)","…………いえ、別に……","………… No, separately ……","………… No, por separado ……"
"Yamamoto Akuji (talking)","いまさらそりゃねぇだろ。 喋ってくれや、操ちゃん。
あの森には凶暴なパンダも出てたんだぞ。 女ばっかであんなとこに居るには 相当の覚悟が要ったはずだぜ。
 ……やっぱ、噂通りに 埋蔵金でも見つけたのか？","It's a little late for that, isn't it? Speak up, Misao.
There was a ferocious panda in that Mori. It must have taken a lot of determination to be in a place like that with all those women.…… I knew it, did you find buried treasure as they say?","Es un poco tarde para eso, ¿no? Háblame, Misao.
Había un panda feroz en ese Mori. Debe de haber sido necesario tener mucha determinación para estar en un lugar como ese con todas esas mujeres.…… Lo sabía, ¿has encontrado un tesoro enterrado como se rumorea?"
"Tomobiki Misao (talking)","私は、お金なんかのために あんな所へ隠れたりはしません。","I wouldn't hide in a place like that for money.","No me escondería en un lugar así por dinero."
"Yamamoto Akuji (talking)","じゃあ、そのシャアってのが原因だな。","Then it's that Shaa thing.","Entonces es por esa Shaa."
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","あんた嘘吐くのヘタだなー。 バッチリ顔に出てるぞ。","You are a terrible liar. It's all over your face.","Eres un terrible mentiroso. Está en toda tu cara."
"Tomobiki Misao (talking)","何と言われようと…… 話せないものは、話せません。","No matter what they say,…… you can't talk about what you can't talk about.","Digan lo que digan,…… no se puede hablar de lo que no se puede hablar."
"Yamamoto Akuji (talking)","なるほど。 知りませんじゃなくて話せませんか。 ある意味自白と一緒だなー。","I see. I don't know, but I can't talk about it. In a way, I'm like JiHaku.","Ya veo. No es que no lo sepa, pero no puedo hablar de ello. En cierto modo, soy como JiHaku."
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","さて、どうしたもんかね……","Well, what can we do about it? ……","Bueno, ¿qué hacemos ahora? ……"
"Yamamoto Akuji (talking)","操ちゃん、そろそろ話してくんねぇか。 おめー何をそんなに隠してんだ？","Misao, it's time for you to talk. What are you hiding so much?","Misao, es hora de que hables. ¿Qué escondes tanto?"
"Tomobiki Misao (talking)","………………
お願いです、もう帰して下さい……
水を、水をやらないと…… このままじゃ大変なことに……","………………
Please, please let me go home now……
Water, we need to water them…… If we don't, we're in trouble……","………………
Por favor, déjame ir a casa ahora……
Agua, tenemos que regarlos…… Si no lo hacemos, estamos en problemas……"
"Yamamoto Akuji (talking)","水ぅ？　花壇でもあんのか？","Water?　Do you have a flower bed?","¿Agua?　¿Tiene parterres?"
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (thinking)","隠してるのって……花なのか？ うーむ………………","Is it the…… flower that you're hiding? Hmmm ………………","¿Es la flor de…… la que escondes? Hmmm………………"
"Yamamoto Akuji (talking)","しかしおめー、いつ見ても 思い詰めたような顔してるよな。
心と躰をちょいと楽にしてやろうか。","But you always look like you're in deep thought.
Let's ease your mind and body a little.","Pero siempre parece que estás en un pensamiento profundo.
Vamos a aliviar un poco tu mente y tu cuerpo."
"Tomobiki Misao (talking)","えっ……？","What, ……?","¿Qué, ……?"
"Yamamoto Akuji (talking)","いいから、ついて来な。","Just follow me.","Sólo sígueme."
"Yamamoto Akuji (talking)","ほれ、入れ。","Here, come on in.","Aquí, entra."
"Tomobiki Misao (talking)","入りますけど…… ここで一体、何を…………","I'll get into it, but…… what the hell are we doing here …………","Voy a entrar, pero…… ¿Qué diablos estamos haciendo aquí …………"
"Yamamoto Akuji (talking)","……さあな。","…… Come on.","…… Vamos."
"narrator","──悪司は訝しむ操をいきなり抱き寄せて、 上着の前身頃に手をかけた。","─ ─ Akuji suddenly hugged the wondering Misao and put his hand on the front of his jacket.","─ ─ Akuji abrazó de repente al maravillado Misao y le puso la mano en la parte delantera de la chaqueta."
"Tomobiki Misao (talking)","あ……っ！　何をするんですかっ……！！","Oh ……!　What are you doing ……!","¡Oh ……!　¿Qué estás haciendo ……?"
"Yamamoto Akuji (talking)","何って、もう解んだろ？ 俺の趣味じゃねぇんだが、 いっそ服でも引き裂こうか？","What? You already know what I'm talking about. This isn't really my thing, but why don't I just tear your clothes off?","¿Qué, no sabes de qué estoy hablando? No es lo mío, pero ¿por qué no te arrancamos la ropa?"
"Tomobiki Misao (talking)","う…………！　っ…………
 ………………","U…………!　ts…………
 ………………","¡U…………!　ts…………
 ………………"
"Yamamoto Akuji (talking)","……ん…………？ もう抵抗すんのやめちまうのか？","…… or …………? Are you going to stop resisting now?","…… o …………? ¿Vas a dejar de resistirte ahora?"
"Tomobiki Misao (talking)","………………","………………","………………"
"Yamamoto Akuji (talking)","好きにしちまうぞ。 ……いいのか？","I'll do what I want. Are you sure about ……?","Haré lo que quiera…… ¿Está bien?"
"Tomobiki Misao (talking)","お願いが……あります…………
私の躰なんて、 好きにして下さって結構ですから……
だから、逃がして下さい……","I have a favor to ask…… …………
You can do whatever you want with my body ……
So please let me go……","Tengo que pedir un favor a…… …………
Puedes hacer lo que quieras con mi cuerpo……
Así que, por favor, déjame ir……"
"Yamamoto Akuji (talking)","ふーん。 そこまで言うかい。
まあ、考えてやるよ。 考えてやるだけな。","Hmmm. You want to go that far?
Well, I'll think about it. I'll just think about it.","Hmmm. ¿Quieres decir tanto?
Bueno, lo pensaré. Lo pensaré."
"Tomobiki Misao (talking)","あっ………………！！","Oh, ………………!","¡Ah ………………!"
"Tomobiki Misao (talking)","友引操は、初めてだった。","Tomobiki Misao was new to me.","Tomobiki Misao fue el primero."
" (talking)","操ちゃん、俺の部屋に行こうぜ。","Misao, let's go to my room.","Misao-chan, vamos a mi habitación."
" (talking)","……………… また、私の躰を弄ぶんですか……","……………… Are you messing with my body again ……","……………… ¿Estás jugando con mi cuerpo otra vez? ……"
