character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆多田山 = 20:,,
__system__??,},,
__system__??,{☆多田山 = 21:,,
__system__??,},,
__system__??,{☆多田山 = 1:,,
__system__??,},,
__system__??,{(☆多田山 = 2) * (☆失恋 > 0):,,
__system__??,},,
__system__??,{(☆多田山 = 3) * (☆失恋 > 4):,,
__system__??,},,
__system__??,{(☆多田山 = 4) * (☆失恋 > 9):,,
__system__??,},,
__system__??,{(☆多田山 = 5) * (☆失恋 > 14):,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,{☆多田山 > 19:,,
__system__??,},,
__system__??,},,
Tadayama Ichizu (talking),ちーぃす。 呼びましたかー？,Hi. Did you call me?,Hey. ¿Me has llamado?
Yamamoto Akuji (talking),おう。 聞いたぞ。,Oh. I heard that.,Oh. Lo he oído.
Tadayama Ichizu (talking),は？ なんすか？,Huh? What is it?,¿Eh? ¿Qué es?
Yamamoto Akuji (talking),女が出来たそーじゃねぇか。,I heard you got a girl.,He oído que tienes una chica.
Tadayama Ichizu (talking),ういっす！！ そーっすよ、いやいやいや~~！,"Yes! That's right, no, no, no~!","¡Sí! ¡Eso es, no, no, no~!"
Yamamoto Akuji (talking),声デカイっての…,"I mean, he's got a big voice…",Estoy hablando de una voz fuerte…
Tadayama Ichizu (talking),"和子さんっていうんっすよ。 おにぎりを作るのが、スンゲー じょうずなんっすよー！
ただ、少し病弱なんで、 気をつけてあげないと いけないんっすけどね。
そこがまたこう…く~~~！！","Her name is Kazuko-san. She is very fast at making onigiri!
She is a little sickly, though, so you have to be careful with her.
That's what makes her so…k~~~!","Su nombre es Kazuko-san. ¡Es muy rápida haciendo onigiri!
Pero es un poco enfermiza, así que hay que tener cuidado con ella.
Eso la hace tan… ¡ku~~~!"
Yamamoto Akuji (talking),ま、大事にすんだな。,"Well, take good care of her.","Bueno, cuídala bien."
Tadayama Ichizu (talking),ウイッス！,Ouiesssss!,¡Ouiessss!
Tadayama Ichizu (talking),ちーぃす。,Chiiiis.,Chiiiis.
Yamamoto Akuji (talking),きたな、色ボケ。,"Here we go, color blur.","Aquí vamos, el desenfoque del color."
Tadayama Ichizu (talking),なーーーーんすか、それ！,"Whaaaaat's, that?!",¡¿Quéeeee es eso?!
Yamamoto Akuji (talking),ほら、これで愛しの彼女に なんか買ってやんな。,"Here, buy something for your sweetheart with this.","Toma, cómprale algo a tu novia con esto."
Tadayama Ichizu (talking),ういっす！ ありがとうございます！,Sweet! Thank you!,¡Sii! Gracias.
Tadayama Ichizu (talking),ちーぃす。,Chiiiis.,Chiiiis.
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Tadayama Ichizu (talking),ちーす。,Chisu.,Chisu.
Yamamoto Akuji (talking),おう、一途。 どうだ？ ここの生活はもう慣れたか？,"Oh, Ichizu. How's it going? Have you gotten used to life here?","Oh, Ichizu. ¿Cómo va todo? ¿Te has acostumbrado a la vida aquí?"
