"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 12:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 17:";"";""
"__system__??";"{H拷問抵抗 < H拷問:";"";""
"__system__??";"}";"";""
"__system__??";"{H拷問 = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 18:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 19:";"";""
"__system__??";"}";"";""
"Yamamoto Akuji (talking)";"よお、ウィミィかぶれの馬鹿娘。 気分はどうだ？";"Hey there, Wime-obsessed idiot girl. How are you feeling?";"Oye, chica idiota obsesionada con la cal. ¿Cómo te sientes?"
"Ootsuki Himeko (talking)";"でっ…出たわね人さらい！";"So… here we go… kidnappers!";"Así que… aquí estamos… ¡secuestradores!"
"Yamamoto Akuji (talking)";"おう、出たぞ。";"Oh, here we go.";"Oh, aquí vamos."
"Ootsuki Himeko (talking)";"……やけにあっさりしてるのね。";"…… is awfully easy.";"…… Estás siendo muy fácil."
"Yamamoto Akuji (talking)";"おめーの言う通りだからな。";"Because you're right.";"Porque tienes razón."
"Ootsuki Himeko (talking)";"あっ、あなたには 罪悪感ってものがないの！？";"Oh, you have no such thing as guilt!";"¡Oh, no existe la culpa!"
"Yamamoto Akuji (talking)";"たぶんな。";"Probably.";"Probablemente."
"Ootsuki Himeko (talking)";"………………";"………………";"………………"
"Ootsuki Himeko (talking)";"に…逃がすのよ、その時、女の子かも！";"Let the… let the girl go, then it might be a girl!";"Ni… dejarlos ir, ¡entonces podría ser una niña!"
"Yamamoto Akuji (talking)";"何言ってんだお前。";"What are you talking about?";"¿De qué estás hablando?"
"Ootsuki Himeko (talking)";"たとえ捕まっても、私は志を 決して捨てたりしないんだから！
これから抵抗する時は全部、 ウィミィ語で叫んでやるっ！";"Even if I'm caught, I'll never give up my ambition!
From now on, I will shout in Wime whenever I make a stand!";"Aunque me atrapen, ¡nunca abandonaré mi ambición!
 ¡A partir de ahora, cuando me resista, lo gritaré todo en Wime!"
"Ootsuki Himeko (talking)";"逃がすのよ、その時、女の子かも！";"Let them go, then it could be a girl!";"¡Déjalos ir, entonces podría ser una niña!"
"Yamamoto Akuji (talking)";"………………ああ、 逃げるから私を放しなさい、 って言いたいのか？";"……………… Oh, you mean to tell me to let go of me so you can run away?";"……………… Oh, ¿quieres decir que te suelte y te deje huir?"
"Ootsuki Himeko (talking)";"……う、うるさいわね！ ちょっと私より ウィミィ語ができるからって！";"…… Ugh, shut up! Just because you speak Wime a little better than me!";"…… ¡Uf, cállate! ¡Sólo porque hablas Wime un poco mejor que yo!"
"Yamamoto Akuji (talking)";"……はっきり言っとくが、 お前、まるきりセンスねーぞ。 志を持つだけ無駄だ。";"…… Let's be clear, you have no sense at all. You're wasting your time with your aspirations.";"…… Seamos claros, no tienes ningún sentido común. No tienes aspiraciones."
"Ootsuki Himeko (talking)";"うるさーーーーーーーーい！！";"Shut up!!!!!!!";"¡¡Cállate!!"
"Yamamoto Akuji (talking)";"よお、勘違い娘。 まだ無駄な勉強してんのか？";"Yo, misunderstood girl. Still studying in vain?";"Yo, chica incomprendida. ¿Sigues estudiando para nada?"
"Ootsuki Himeko (talking)";"はっ…また来たのね人さらい！";"Ha… here you go again, kidnapper!";"Ja… ¡aquí vas de nuevo, secuestrador!"
"Ootsuki Himeko (talking)";"逃がせくさい、タワシ、籠から！";"Let him go! Eagle, out of the basket!";"¡Suéltalo, Tawny, de la cesta!"
"Yamamoto Akuji (talking)";"お、ちょっとだけ発音マシになったな。";"Oh, it's a little better pronounced.";"Es un poco más pronunciado."
"Ootsuki Himeko (talking)";"えっ……ほ、本当！？";"What?…… Really?";"¿Qué?…… ¡Ho, de verdad!"
"Yamamoto Akuji (talking)";"うそ。";"No kidding.";"Mentiras."
"Ootsuki Himeko (talking)";"………………
もういやーっ！　早く帰してー！ ニホンに居るのすら嫌なのにー！！ ウィミィに行きたーーーーい！！！";"………………
No more!　I can't wait to go home! I don't even want to be in NIHON!!!! I want to go to Wime!!!!";"………………
 ¡¡No más!!　No puedo esperar a volver a casa. ¡Ni siquiera quiero estar en Japón! ¡¡¡¡Quiero ir a Wime!!!!"
"Yamamoto Akuji (talking)";"やれやれ。";"Oh dear.";"Oh, Dios."
"Yamamoto Akuji (talking)";"ま、ちょっと来いや。";"Well, come here for a minute.";"Bueno, ven aquí un minuto."
"Ootsuki Himeko (talking)";"えっ？　あ、ちょ… どこに行こうってのよ！？";"What?　Where do you think you're going?";"¿Qué?　Oh, espera… ¿a dónde vamos?"
"Ootsuki Himeko (talking)";"……な、何よここ。";"…… Hey, what's this place?";"…… Oye, ¿qué es este lugar?"
"Yamamoto Akuji (talking)";"俺の部屋。";"My room.";"Mi habitación."
"Ootsuki Himeko (talking)";"な、なによ…… 何しようって言うのよっ……";"What the hell…… what are you doing ……";"¿Qué ……? ¿Qué estás haciendo? ……"
"Yamamoto Akuji (talking)";"なに、おめーにウィミィ語を 教えてやろうと思ってな。";"I thought I'd teach you the Wime language.";"Qué, pensé que te enseñaría el lenguaje Wime."
"Ootsuki Himeko (talking)";"……はい？";"…… yes?";"…… ¿Sí?"
"Yamamoto Akuji (talking)";"おめー、捕虜の部屋でも ずっと勉強してんだろ。
ま、それ見てちょっと、 仏心が出たんだよ。";"You've been studying in the POW room, haven't you?
Well, when I saw that, I felt a little bit of Buddha spirit.";"Has estado estudiando en las dependencias de los prisioneros, ¿no es así?
Bueno, cuando vi eso, sentí un poco de Buda en mí."
"Ootsuki Himeko (talking)";"いらないわよそんなのっ！ 私のウィミィ語は完璧なのよ！";"I don't want it! My Wime is perfect!";"¡No lo quiero! ¡Mi lenguaje Wime es perfecto!"
"Yamamoto Akuji (talking)";"ごちゃごちゃぬかしてねーで、 さっさと来い、そこに座れ、ほれ。
それとも、本当にいらねーのか？ 俺の指導でも少しは役に立つと 思うけどよ。";"Stop messing around, get your ass over here and sit down.
Or do you really not want it? I'm sure you could use a little guidance from me.";"Deja de molestar, trae tu trasero aquí, siéntate ahí, aquí.
 ¿O realmente no lo quieres? Creo que te vendría bien un poco de orientación por mi parte."
"Ootsuki Himeko (talking)";"…………
どうしてもって言うなら… 教えて貰ってやってもいいけど……";"…………
If you insist… I'd be happy to have you teach me how to do it……";"…………
Si insiste… estaré encantado de que me enseñen a hacerlo……"
"Yamamoto Akuji (talking)";"お、やっぱ勉強熱心だな。";"Oh, I knew you were studious.";"Oh, sabía que eras estudioso."
"Ootsuki Himeko (talking)";"ふんっ、今頃気付いても遅いのよっ。";"Hmph, it's too late to realize that now.";"Hmph, es demasiado tarde para darse cuenta ahora."
"cg narrator";"初めの数分は、普通の勉強だった。
姫子が参考書を読み、悪司が発音や文法の正誤を 判断するだけだった。
だが、どうにも憶えの悪い姫子に、 悪司がある提案をした時から様子が変わっていく。
 “人間、罰があると思うと真剣になる。 　これからおめーが間違える度、罰を与えていくぞ”
 ──そうして、しばし時が過ぎた。";"The first few minutes were normal study.
Himeko read the reference books, and Akuji just judged whether the pronunciation and grammar were correct or incorrect.
However, things started to change when Akuji made a suggestion to Himeko, who was having trouble remembering things.
 “People get serious when they think there is a punishment. 　From now on, every time you make a mistake, I will punish you.”
And so time passed.";"Los primeros minutos fueron de estudio normal.
Himeko leía los libros de referencia y Akuji se limitaba a juzgar la corrección de la pronunciación y la gramática.
Sin embargo, las cosas empezaron a cambiar cuando Akuji le hizo una sugerencia a Himeko, que tenía problemas para recordar las cosas.
 “La gente se pone seria cuando piensa que hay un castigo. 　A partir de ahora, cada vez que cometas un error, te castigaré”.
 ─ ─ Y así, el tiempo pasó durante un tiempo."
