"character";"jap text";"Eng";"Esp"
"__system__??";"{麦 = 1:";"";""
"__system__??";"{☆大谷 = 0:";"";""
"__system__??";"}";"";""
"__system__??";"{(☆大谷 = 1) * (★愛 = 3):";"";""
"__system__??";"}";"";""
"__system__??";"{☆大谷 > 49:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 3:";"";""
"__system__??";"{B忠誠タイプ = 1:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 10:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 11:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 13:";"";""
"__system__??";"{H物欲抵抗 <= H物欲:";"";""
"__system__??";"}";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 15:";"";""
"__system__??";"}";"";""
"__system__??";"{麦 = 16:";"";""
"__system__??";"}";"";""
"Ootani Yoshitsugu (talking)";"…………？
 ……呼ばれてきたと言うのに、 あの男は居ないのか。";"…………?…… you say you've been called, but that guy isn't here.";"…………?…… Digo que me han llamado, pero el hombre no está aquí?"
"Nogi Kikuko (talking)";"…………あっ。 大谷様じゃないですか？ ご無沙汰しております。";"………… Oh. Is it not Mr. Ootani? It's been a while.";"………… Oh. ¿No es ese el señor Ootani? Ha pasado un tiempo."
"Ootani Yoshitsugu (talking)";"おお……喜久子お嬢様。
こちらこそ、同じ組織に居るというのに、 すれ違いばかりで恐縮です。";"Oh ……Madam Kikuko.
I'm sorry for all the misunderstandings we've had, even though we're in the same organization.";"Oh ……Madam Kikuko.
Lamento que sigamos cruzando caminos, aunque estemos en la misma organización."
"Nogi Kikuko (talking)";"いえ、大谷さんがお忙しい身だという事、 私は悪司の妻として 重々承知しておりますから。";"No, as Akuji's wife, I am well aware of your busy schedule.";"No, como esposa de Akuji, soy consciente de que Ootani está muy ocupado."
