character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆大魔王 = 0:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
Yamamoto Akuji (talking),………………,………………,………………
Daimao (talking),まおー。,Maou~.,Maou~.
Yamamoto Akuji (talking),っていうか、あんた誰？,"I mean, what are you?",Quiero decir ¿que eres tú?
Daimao (talking),まおー。,Maou~.,Maou~.
Yamamoto Akuji (talking),いつの間に、俺の手下になったんだ？,When did you become my lackey?,¿Cuándo te convertiste en mi lacayo?
Daimao (talking),まおー　まおー。,Mao~ Mao~.,Mao Mao.
Yamamoto Akuji (talking),………………,………………,………………
Daimao (talking),まおー。,Maou~.,Maou~.
Yamamoto Akuji (talking),……ま、いっか…,"…… Well, okay…","…… Bueno, vale…"
Daimao (talking),まおー。,Maou~.,Maou~.
Yamamoto Akuji (talking),くいもんをやるよ。,I'll give you some food.,Te daré algo de comida.
Daimao (talking),まおー　まおー。,Mao~ Mao~.,Mao Mao.
narrator,大まおーは、男前に手を左右に振った。,Daimao manfully waved his hands from side to side.,Daimao agitó varonilmente sus manos de un lado a otro.
Yamamoto Akuji (talking),なんだ、いらねぇのか。,"What, you don't want it?","¿Qué, no lo quieres?"
Daimao (talking),まおー。,Maou~.,Maou~.
narrator,大まおーは、男前に断った。,Daimao manfully refused.,Daimao se negó con firmeza.
