character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,{☆海音 < 11:,,
__system__??,},,
__system__??,{☆海音 = 20:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 2:,,
__system__??,{☆海音 > 19:,,
__system__??,},,
__system__??,{(B忠誠タイプ = 3) * (B忠誠心 > 70):,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,{☆イベント = 10:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 4:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,{H愛欲 = 1:,,
__system__??,},,
__system__??,{H愛欲抵抗 <= H愛欲:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,{H物欲 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 5:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Tenkai Umine (talking),ヤッホー。,Yoo-hoo.,Yoo-hoo.
Yamamoto Akuji (talking),おう。,Oh?,Oh.
Tenkai Umine (talking),さっそく抱いてくれんの？ サービスいいねー☆,You're going to fuck me right away? I love your service!☆,¿Vas a retenerme de inmediato? Me gusta el servicio☆
Yamamoto Akuji (talking),んーどーすっかなー。,I don't know what to do.,Hmmm… ¿qué debo hacer?
Tenkai Umine (talking),まあ、すぐとは言わないけどさ。 んでも約束は約束だよ。 守んなかったら。,"Well, I'm not saying soon. But a promise is a promise. If you don't keep it.","Bueno, no digo que sea pronto. Pero una promesa es una promesa. Si no te lo quedas."
Yamamoto Akuji (talking),ズキューン。,Zukun.,Zukun.
Tenkai Umine (talking),＜たんたまご＞ ズキューン！,＜Zukyuun!,<¡Zukyuun!
narrator,はい、次、了君の番だよ。,"Yes, next, Ryou your turn.","Sí, a continuación, Tú tu turno."
Matsumoto Ryou (talking),うわ…難しいな、これ……,Wow…that's a tough one……,Vaya… eso es difícil……
