character,jap text,Eng,Esp
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 18:,,
__system__??,},,
__system__??,{麦 = 19:,,
__system__??,},,
Yamamoto Akuji (talking),よう。,Yo.,Yo.
Komatsu Mai (talking),あああ！！ あの時の非国民！！,Aaah! The unpatriotic at that time!,¡Aaah! ¡La gente antipatriótica de esa época!
Yamamoto Akuji (talking),今は俺がボスで、あんたは捕虜だがな。,"I'm the boss now, and you're my prisoner.","Ahora soy el jefe, y tú eres mi prisionero."
Komatsu Mai (talking),は？？,Huh?,¿Eh?
Yamamoto Akuji (talking),"俺は市議会の依頼で、 あんたを捕まえた。
市議会の方から引き渡し命令が なかったので、捕虜にしている。","I captured you at the request of the city council.
The city council didn't give me an extradition order, so I'm holding you prisoner.","Te capturé a petición del ayuntamiento.
El ayuntamiento no me dio una orden de extradición, así que te tengo preso."
Komatsu Mai (talking),だったら、さっさと釈放するっす！ あたしには大事な使命があるっす！,Then I'll let you go right now! I have an important mission!,¡Entonces te dejaré ir de inmediato! ¡Tengo una misión importante!
Yamamoto Akuji (talking),反対運動か？ そのせいで、ここに捕まっちまってる のに？,A counter-protest? That's why you're stuck here.,¿La contraprotesta? ¿Por eso estás atrapado aquí?
Komatsu Mai (talking),"苦ぅぅ！！
市議会も、お前も、アレもソレも、 ナニもかも、みんな、みんな、みんな、 非国民っす！","Bitter!
The City Council, you, that thing, that thing, that thing, that thing, that thing, that thing, that thing, everyone, everyone, everyone, is unpatriotic!","¡Amargo!
 ¡El Ayuntamiento, tú, esa cosa, esa cosa, esa cosa, todo, todos, todos, todos, son antipatriotas!"
Yamamoto Akuji (talking),非国民ばんざーい。,Hurrah for the unpatriotic.,Hurra por los antipatriotas.
Komatsu Mai (talking),馬鹿にするっすかーーー！！！！！ ま、負けないっすよーー！！！,"You're making fun of me… ！！！！！Well, I won't lose!",Te vas a burlar de mí… ！！！！！¡No voy a perder!
Yamamoto Akuji (talking),おう。 ちっとはおとなしくするつもりに なったか？,"Oh. You're going to be a little quiet now, aren't you?","Oh. Vas a estar un poco más tranquilo ahora, ¿no?"
Komatsu Mai (talking),さっさと、ここから出すっす！ このままだとエデンが完成して しまうっす！,"Let's get this thing out of here! If we don't, Eden will be complete!","¡Sácame de aquí! ¡Si no lo hacemos, el Edén estará completo!"
Yamamoto Akuji (talking),さっさと完成した方が、物資がニホン側に 回ってきていーじゃねーか。,"The sooner it is completed, the better it will be for the Japanese side to get supplies.","Cuanto antes se complete, mejor será para la parte japonesa el abastecimiento."
Komatsu Mai (talking),"そんな事じゃないっす！ ウィミィは、あたしの両親を 殺した敵国っす！
敵国の人間が、このニホンでのうのうと しているのは、許せないっす！","That's not what I'm talking about! Wime is the enemy country that Satsu my parents!
I can't allow people from an enemy country to live here in Japan!","¡No estoy hablando de eso! ¡Wime es el país enemigo que Satsu a mis padres!
 ¡No puedo permitir que gente de un país enemigo viva aquí en Japón!"
Yamamoto Akuji (talking),結構、ヘビーな話だなー…,That's a pretty hefty story…,Es una historia bastante fuerte…
Komatsu Mai (talking),だから、解放するっすー！,"So, I'll let you go!",¡Así que te dejaré ir!
Yamamoto Akuji (talking),さーて、足、開いてもらおうか。,"Now, let's get your legs open.","Ahora, vamos a abrir las piernas."
Komatsu Mai (talking),な、なんすか、それーー！,What is that?,¿Qué demonios es eso?
Yamamoto Akuji (talking),天国に連れてってやるよ。,I'll take you to heaven.,Te llevaré al cielo.
Komatsu Mai (talking),"さ、最悪っす！！ 大体、えっちは天国なんかじゃないっす！ 我慢、辛抱、闘争っす！！
あたしは、ウィミィ人５人に集団レイプ されても、負けなかったっすー！
たかが摩擦行為で、あたしの鉄の意志は 破壊されないっすよー！！","That's the worst! In general, sex is not heaven! It's about endurance, patience, and struggle!
I was gang raped by 5 Wime men and I didn't lose!
My iron will will not be destroyed by a mere act of friction!","¡Eso es lo peor! En general, ¡el sexo no es el cielo! Es la paciencia, la perseverancia y la lucha.
 ¡Fui violado en grupo por cinco Wime men y no perdí!
 ¡Mi voluntad de hierro no será destruida por un simple acto de fricción!"
Yamamoto Akuji (talking),そーか、そーか。,"Oh, yeah.","Ah, sí."
Komatsu Mai (talking),だーかーらー！！,That's all I'm saying!,¡No estoy hablando de eso!
Komatsu Mai (talking),小松舞の意志は、豆腐のようだった。,The will of Komatsu Mai was like tofu.,La voluntad de Komatsu Mai era como el tofu.
Komatsu Mai (talking),…………はわわわ~……,………… is wow~ ……,………… wow~ ……
Yamamoto Akuji (talking),さーて、ごっそーさん。,"Well, Gosso-san.","Muy bien, Gosso-san."
Komatsu Mai (talking),え、も、もう終わ――,"Oh, no, I'm done--","Oh, Dios mío, se acabó…"
Yamamoto Akuji (talking),ん~？,Hmm?,¿Hmm?
Komatsu Mai (talking),うぐっ！！,Ugh!,¡¡¡Uf!!!
Yamamoto Akuji (talking),鉄の意志は、どーなったんだい？,What happened to the iron will?,¿Qué pasó con la voluntad de hierro?
Komatsu Mai (talking),あ、あたしは何も言ってないっす！,"Oh, I didn't say anything!","¡Oh, no he dicho nada!"
Yamamoto Akuji (talking),これをやるから、おとなしくしてな。,"I'm going to give you this, so just be quiet.","Te voy a dar esto, así que cállate."
narrator,と、悪司が舞に差し出したのは、 さくら餅だった。,Akuji offered Mai a cherry blossom cake.,Y Akuji le ofreció a Mai un pastel de flores de cerezo.
Komatsu Mai (talking),………ごくっ……,………Great ……,……… muy……
Yamamoto Akuji (talking),ホンマモンのあんこと、もち米だぜ。,It's real red bean paste and glutinous rice.,Auténtica pasta de judías rojas y arroz glutinoso.
Komatsu Mai (talking),"………………
 ……ぱく……
 ……甘いっす… 美味いっす……","………………
 ……paku……
 ……Sweet… Delicious… ……","………………
 ……paku……
 ……Dulce… Delicioso……"
Yamamoto Akuji (talking),茶、いるかい？,"Tea, you want some?","Té, ¿estás ahí?"
Komatsu Mai (talking),はいっす。,"Yes, sir.","Sí, señor."
Yamamoto Akuji (talking),ほらよ。,There you go.,Ver.
Komatsu Mai (talking),ずず……はぁ~~… しみるっすね~… 美味いっすね~~……,Zuzu…… hah~… it stings… it's delicious… ……,Zuzu…… haa~… pica… sabe bien… ……
Yamamoto Akuji (talking),よかったな。,Good for you.,Bien por ti.
Komatsu Mai (talking),………………,………………,………………
Komatsu Mai (thinking),ひょっとして…… この人、いい人っすか？,"By any chance, is…… this guy a good guy?",Por casualidad…… ¿Es esta persona una buena persona?
Yamamoto Akuji (talking),………おい。,……… Hey.,……… Hey.
Komatsu Mai (talking),なんすか？,What is it?,¿Qué es?
Yamamoto Akuji (talking),喧嘩とかは、得意か？,Are you good at fighting or something?,¿Eres bueno en las peleas y demás?
Komatsu Mai (talking),体力勝負はだめっす。 話し合いのがいいっす。,Physical competition is no good. Talking is better.,La competencia física no es buena. Hablar es mejor.
Yamamoto Akuji (talking),そっか……,I see: ……,Ya veo: ……
Yamamoto Akuji (thinking),つー事は、戦闘で使う部下には 出来ねーって事だな。,This means that my men can't be used in combat.,Lo que significa que no pueden ser utilizados por sus subordinados en combate.
 (talking),はんたーーい、はんたーーい！！,"HANTAI, HANTAI!!!","¡Hantaaa, hantaaa, hantaaa!"
Yamamoto Akuji (talking),ん？,Hmm?,¿Eh?
Komatsu Mai (talking),"はんたーーいっす！！ エデン建設はんたーーい！！
出てけ、外国人ー！！ 田舎帰れーー！！ おとといこーーいっす！！","We are hunters!! We are hunters for the construction of Eden!!
Get out, foreigners!! Go back to the countryside!! Go back!!","¡¡Cazadores!! ¡¡Construyamos el Edén!!
¡¡Fuera, extranjero!! ¡¡Vuelve al campo!! ¡¡Vamos!!"
