"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆吹雪 = 10:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠タイプ = 3:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲抵抗 <= H愛欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲抵抗 <= H物欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"narrator","山林吹雪　こましでるかい？ 　　デバッグ（","Sanrin Fubuki Komashidarou ka? 　　Debugging (","Sanrin Fubuki Komashidekas de komanai? 　　Depuración ("
"narrator","）","）","）"
"Yamamoto Akuji (talking)","………………
 ……ったく、やっと来やがったか。","…………………… Oh, man, you're finally here.","…………………… Oh, querida, por fin estás aquí."
"Sanrin Fubuki (talking)","………………ぜーはー、ぜぇ……","……………… ze ha, ze ……","……………… ze ha, ze ……"
"Yamamoto Akuji (talking)","おいコラ、おせーぞ吹雪。 呼び出しかけてから どんだけ経ったと思ってんだ？","Hey, hey, hey, hey, Fubuki. Do you know how long it's been since I called you out?","¡Oye, oye, oye, oye! ¿Cuánto tiempo crees que ha pasado desde que te llamé?"
"Sanrin Fubuki (talking)","すみません、ちょ……ちょっと、 ちょっとだけ……遅れました……
 …………っく、う…… ぜぇ、ぜぇっ……","I'm sorry, I'm a little…… bit, just a little…… late ……
 …………kkk, ugh…… zzzz, zzzz……","Lo siento, estoy un poco ……, un poco…… tarde……
 …………kkk, u…… ze, ze ……"
"Yamamoto Akuji (talking)","……？ 何でそんな息切らしてんだ、おめー。","……? Why are you so out of breath, dude?","……? ¿Por qué te quedas sin aliento, mierdecilla?"
"Sanrin Fubuki (talking)","せ、折角ですから……そ、その、 少し……と、遠回りして、 ランニングして……こようかと…………","Well, I thought I'd take a little…… detour and go for a…… run …………","He pensado en desviarme un poco de…… y salir a correr y…… …………"
"Yamamoto Akuji (talking)","……んっだよ、情けねーのな。 ランニング程度でゼハゼハ言うな。","……, you're pathetic. Don't be soppy about running.","……… Eres patético. No zecha por correr."
"Sanrin Fubuki (talking)","……りょ、両手に……その、 五キロのパワーリストつけて……
あ、足は……十キロの、鉄ゲタで……
そ、それで…… ぜ……全力疾走、したのが…… ま、間違いでした…………
 …………おえっ……","……Li, in both hands ……, you put on a five-kilogram power wrist ……
And my feet were…… ten kilos of steel gaiters……
I ran as fast as I could with that,…… and it was a mistake,…… ……………… oh……","……Li, en cada mano…… llevas una muñeca de cinco kilos de potencia ……
Y mis pies eran…… polainas de acero de diez kilos……
Corrí tan rápido como pude con eso,…… y fue un error,…… ……………… oh……"
"Yamamoto Akuji (talking)","……………… アホか、おめー。","……………… You're an idiot, dude.","……………… Idiota, tú."
"Sanrin Fubuki (talking)","そ、そんな事……言われても、 私、ランニングの時は……いつも、 こんな、感じ……ですから……
 ……げほっ、げほげほっ………… うー、喉の奥で血の味がするぅ……","Well, even if you…… say that, I always…… feel like this…… when I go running, so… …
I'm always like this when I'm running,…… and I can taste the blood in the back of my throat,…………","Bueno, no sé si tú…… me puedes decir eso, pero yo siempre…… me siento así…… cuando estoy corriendo… ……… gee, gee, gee………… oooh, puedo saborear la sangre en la parte posterior de mi garganta……"
"Yamamoto Akuji (talking)","………………
おめーさあ、こんだけ鍛錬してて 何であんなに弱いんだ？","………………
You know, you train so hard, how come you're so weak?","………………
Sabes, entrenas tan duro, ¿cómo es que eres tan débil?"
"Sanrin Fubuki (talking)","そ、そんなの…… 私なんか、まだまだですから……","Oh, no. I'm not ready for that…… I'm not ready for that……","Oh, no…… No estoy preparado para eso……"
"Yamamoto Akuji (talking)","……謎すぎる…………","…… too mysterious …………","…… demasiado misterioso …………"
"Yamamoto Akuji (talking)","……おう、来たな。 時間ピッタリだ。","…… Oh, you're here. You're right on time.","…… Oh, estás aquí. Llegas justo a tiempo."
"Sanrin Fubuki (talking)","………ぜーはー、ぜぇ…… す、すっ飛ばして来ましたから……","……… ze ha, ze…… ze…… ze ha, ze…… ze ha, ze…… ze ha, ze…… ze ha, ze…… ze ha, ze ……","……… ze ha, ze…… ze…… ze ha, ze…… ze ha, ze…… ze ha, ze…… ze ha, ze…… ze ha, ze ……"
