"character","jap text","Eng","Esp"
"Yamamoto Akuji (talking)","さあて、着いたぜさっちゃん。","Well, here we are, Sacchan.","Bueno, aquí estamos, Sacchan."
"Takega Satsu (talking)","ローカルテレビ局……？ 悪司、お前はこんなところを うちの影響下に置く気なのか？","Local TV station ……? Akuji, are you trying to put this place under our influence?","¿El canal de televisión local ……? Akuji, ¿intentas poner este lugar bajo nuestra influencia?"
"Yamamoto Akuji (talking)","ああ。 これからの時代、マスコミの情報戦を 抑えられるヤツが勝者だぜ。","Yeah. From now on, the winner is the one who can suppress the media's information warfare.","Sí, eso es. A partir de ahora, el ganador es el que puede suprimir la guerra informativa de los medios de comunicación."
"Takega Satsu (talking)","言うことは解るが…… うまく行くとは思えないな。
マスコミは公正中立でいるのが 商売の一部だからな、 裏取引に応じるとは思えん。","I understand what you're saying, but I don't think…… is going to work.
The media is in the business of being impartial and neutral, so I doubt they would agree to a backroom deal.","Entiendo lo que dices, pero…… no creo que vaya a funcionar.
Los medios de comunicación se dedican a ser imparciales y neutrales, por lo que no creo que acepten un acuerdo a escondidas."
"Yamamoto Akuji (talking)","応じる応じる、だーいじょうぶだって。
だいたい、公正中立なんて絵空事だぜ。 人間なんてもんは必ずどっかに 偏るんだからよ。","I'll comply, I'll comply, it's all right.
Fairness and neutrality are just a pipe dream, you know. Human beings are always biased to one side or the other.","Cumpliré, cumpliré, está bien.
Además, la equidad y la neutralidad son sólo un producto de la imaginación. La gente siempre está inclinada hacia un lado u otro."
"Takega Satsu (talking)","…………まあ、お前の言う通りだが……","………… Well, you're right: ……","………… Bueno, tienes razón: ……"
"Yamamoto Akuji (talking)","なあに、別にこっちは、 四六時中プロパガンダをしまくって 独裁者になろうって訳じゃねえんだし。
たまに都合良く利用させてもらって、 持ちつ持たれつの 美しい関係を築きたいだけさ。","We're not trying to become a dictator by spreading propaganda around all hours of the day.
We just want to use them for our own convenience from time to time, and build a beautiful relationship of holding hands.","Mira, no estamos tratando de convertirnos en una dictadura con propaganda 24/7.
Sólo queremos utilizarlos para nuestra propia conveniencia de vez en cuando, y construir una hermosa relación de manos."
"Takega Satsu (talking)","都合良く利用することのどこが 美しい関係だ…………","What a beautiful relationship to use for convenience…………","Qué relación tan bonita para usarla a conveniencia…………"
"__system__??","{★愛 \ 5:","",""
"Takega Satsu (talking)","……ああ、あと一つ訊こう。 何故私を連れてきたのだ？","…… Oh, and one more question. Why did you bring me here?","…… Oh, déjame hacerte una pregunta más. ¿Por qué me has traído aquí?"
"Yamamoto Akuji (talking)","ん？　そりゃさっちゃん中学生だし、 社会勉強になるかと思ってさ。","Hmm?　Well, you're in middle school, so I thought it would be a good social lesson for you.","¿Hmm?　Bueno, estás en la escuela secundaria, así que pensé que sería una buena lección social."
"Takega Satsu (talking)","…………甥の気遣いには痛み入る。","I am pained by………… nephew's concern.","………… Me duele la preocupación de mi sobrino."
"__system__??","}","",""
"Saotome Misuzu (talking)","まあまあまあまあ、奉仕青年団の皆様、 ようこそいらっしゃいました。 お待ちしておりましたのよ。","Well, well, well, welcome to the Service Youth League. We've been waiting for you.","Bien, bien, bien, grupo de jóvenes de servicio, bienvenidos sean. Te hemos estado esperando."
"Yamamoto Akuji (thinking)","…………………………………… 何とまあキョーレツなツラした オバハンだな……","…………………………………… What a very funny looking old lady ……","…………………………………… Qué vieja más graciosa……"
