"character","jap text","Eng","Esp"
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","おう。","Oh.","Oh."
"Hoshikuzu Yozora (talking)","あの……出して下さい。 私、こんなところにいつまでもいては 駄目なんです。
お願いです。 今行かなくちゃ、大王様が、 大王様が……
私を迎えにきて下さるはずなんです。 お願い、出して。 私が行かないと、大王様がお怒りに…","Please send me that ……. I can't stay in this place forever.
Please. I have to go now, the Great One, the Great One will come for me at ……
The Great One will come for me. Please let me out. If I don't go, the Great Pumpkin will be angry…","Por favor, sácame de ese ……. No puedo quedarme aquí para siempre.
Por favor. Tengo que ir ahora, el Grande, el Grande es ……
El Grande debe venir por mí. Por favor, déjame salir. Si no voy, la Gran Calabaza se enfadará…"
"Yamamoto Akuji (talking)","じゃーこーしよう。
今から俺が、お前さんの大王だ。 俺がここにいろと言ったから、 これでＯＫ。","So here's what I'm going to do.
I'm your overlord from now on. I told you to stay here, so it's okay.","Entonces hagamos esto.
A partir de ahora, soy tu señor. Te dije que te quedaras aquí, así que esto está bien."
"Hoshikuzu Yozora (talking)","違います、あなたは大王様じゃないです。","No, sir, you are not the Great One.","No, señor, usted no es el Gran Rey."
"Yamamoto Akuji (talking)","いや、だからー…","No, so…","No, entonces…"
"Hoshikuzu Yozora (talking)","だって、大王様は……
 …………
もういいです…… あなたには何を言っても通じなさそう… 理解など出来ません……","Because the Great One is ……
 …………
That's enough…… You don't seem to understand anything I say to you… I don't understand you, etc……","Porque el Grande es ……
 …………
Es suficiente…… Parece que no entiendes nada de lo que te digo… No te entiendo, etc……."
"Yamamoto Akuji (talking)","そーだな。 俺もキチガイの戯言は 理解出来ねーもんな。","That's right. I don't understand the crazy shit either.","Así es. Yo tampoco entiendo las locuras."
"Hoshikuzu Yozora (talking)","…………","…………","…………"
"narrator","諦めた表情の夜空が部屋に連れられてきた。","A Yozora with a resigned look on her face was brought into the room.","Una Yozora de aspecto resignado entró en la sala."
"Hoshikuzu Yozora (talking)","あの…… 大王様は、現れましたか……？","Did that…… Great Lord show up ……?","¿Apareció ese…… Gran Señor ……?"
"__system__??","{☆夜空 > 11:","",""
"__system__??","{RND = 0:","",""
"Yamamoto Akuji (talking)","ああ……そいつの部下のロボットかな…
現れたけど、退治した。 そりゃーもう、すぱっと。","Oh,…… I think it's that guy's robot…
It showed up, but I got rid of it. That's right, just like that.","Oh,…… creo que es el robot de ese tipo…
Apareció, pero me deshice de él. Bueno, eso fue rápido."
"Hoshikuzu Yozora (talking)","がーーん………","Gahn ………","Ghan………"
"__system__??","}","",""
"Yamamoto Akuji (talking)","あー……アレの事かな。 妙ちくりんな機械が暴れて困ってんだ。","Ah, you mean the…… thing. I'm having trouble with some weird machine going haywire.","Ah, te refieres a lo de ……. Estoy teniendo problemas con una maquinita rara que se descontrola."
"Hoshikuzu Yozora (talking)","それですっ……！！
ああ……私がこんなとこに閉じこめられて しまっているせいで、大王様がとうとう お怒りに……","That's ……!
Oh,…… the Great One is finally angry with me for being cooped up in a place like this……","¡Eso es ……!
Oh,…… el Gran Señor está finalmente enfadado porque estoy atrapado aquí……"
"Yamamoto Akuji (talking)","なんとかなるか？","Can you manage it?","¿Puede hacerlo?"
"Hoshikuzu Yozora (talking)","無理です……もう…… 手遅れです…… 私には、何も出来ません……","I can't do it…… already…… It's too late…… I can't do anything about it……","No puedo…… más…… Es demasiado tarde…… No puedo hacer nada al respecto……"
"__system__??","}","",""
"__system__??","{☆夜空 = 11:","",""
"Yamamoto Akuji (talking)","ンナもん、出てねー。","I don't get it.","Nna mon, no voy a salir."
"Hoshikuzu Yozora (talking)","…………","…………","…………"
"Yamamoto Akuji (talking)","いー加減、妄想の中で遊ぶのやめねーか？ 友達一人でも作った方が建設的だぜ。","Why don't you stop playing in your imagination? It would be more constructive to make a friend.","¿No podemos dejar de jugar con nuestra imaginación para variar? Sería más constructivo hacer un amigo."
"Hoshikuzu Yozora (talking)","大王様は、きっと現れます……
そして……
そして…… この世界を滅ぼしてしまわれる…… 私がこんなとこにいる限り……","The Great Lord will show up: ……
And ……
And…… he will destroy this world…… as long as I am here……","El Gran Señor aparecerá: ……
Y ……
Y…… destruirá este mundo…… mientras yo esté aquí……"
"__system__??","}","",""
"Hoshikuzu Yozora (talking)","………何するんですか？","……… What are you doing?","……… ¿A qué se dedica?"
"Yamamoto Akuji (talking)","ん~？ 妄想なんかより、お前さんがもっと 夢中になれる事だよ。","Hmm? It's not about fantasies, it's about what you can be more passionate about.","¿Hmm? No se trata de fantasías, sino de lo que te puede apasionar más."
"Hoshikuzu Yozora (talking)","……大王様より素晴らしい男性は この世に存在しません。","There is no finer man in the world than the Great ……","…… No hay hombre en el mundo más maravilloso que el Gran Rey."
"Yamamoto Akuji (talking)","まー、そう言ってな。","Well, say so.","Bueno, dilo."
"Yamamoto Akuji (talking)","………大王様………すみません。","I'm sorry……… Great king ……….","………El Gran Rey……… Lo siento."
"Yamamoto Akuji (talking)","そーいや、こんなモン手に入れてな。 いるかい？","Well, I got this. You want some?","Bueno, tengo esta cosa. ¿Quieres un poco?"
"narrator","と言って、悪司は天文ガイドを見せた。","Then Akuji showed the astronomy guide.","dijo Akuji y le mostró la Guía de Astronomía."
"Hoshikuzu Yozora (talking)","あ……最新刊……","Ah…… latest publication ……","A…… última publicación……"
"Yamamoto Akuji (talking)","欲しいか？","Do you want it?","¿Lo quieres?"
"Hoshikuzu Yozora (talking)","……………
いりません…… こ、こんなの……","……………
I don't want this…… I don't want this ……","……………
No quiero esto…… No quiero esto ……"
"Tamanegi (talking)","ああ……きましたね……","Oh…… Kimashi Tane ……","Oh…… Kimashi Tane ……"
"Hoshikuzu Yozora (talking)","……………","……………","……………"
"Tamanegi (talking)","さて、それでは始めましょうか。","Now, let's get started.","Ahora, comencemos."
"Hoshikuzu Yozora (talking)","………なんでも……勝手にして下さい…","……… anything…… please do as you please…","……… cualquier cosa…… por favor haz lo que quieras…"
"Tamanegi (talking)","ほう。","Hou.","Método."
"Hoshikuzu Yozora (talking)","私……ここにいては駄目なのに… 大王様が……大王様が……","I…… shouldn't be here… The Great King is…… the Great King is…… the Great King is…… the Great King is…… the Great King is ……","Yo…… no debería estar aquí… El Gran Rey es…… el Gran Rey es…… el Gran Rey es ……"
"Tamanegi (talking)","大王様か何か知りませんが…… わたくしには関係のない事です。
それよりも、あなたは最前、 なんでも勝手にしろと言いました。 わたくしにはそちらの方が重要です。
その事、後悔なさらないように。
 ……くく………くくく……","I don't know if you are the Great Lord or what, but…… it's none of my business.
I don't know if it's the Great Pumpkin or something else, but it's none of my business. That is more important to me.
I hope you won't regret it.
 ……kuk………kuk……","No sé si eres el Gran Señor o qué, pero…… no es asunto mío.
Al principio dijiste que podías hacer lo que quisieras. Eso es más importante para mí.
Espero que no se arrepienta.
 ……kuk………kuk……"
"Hoshikuzu Yozora (talking)","………っ……","……… and ……","……… y ……"
"cg narrator","「あっ……」
 「ああっ……いやっ……」
 「あっ……」
 「あっ……！！」","Oh, ……
 “Oh, …….”
Oh ……
Oh ……!","Oh ……”
Ahh……Yeah……”
Oh ……”
 ¡Oh ……!"
