"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆弾白 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"Kimura Danpaku (talking)","あ、あの…こんにちわ……","Oh, um…hello ……","Oh, um… hola: ……"
"Yamamoto Akuji (talking)","おう、相変わらず怖い顔だな。 どーだい？ 慣れたか？","Oh, you still look scary. How's it going? You getting used to it?","Oh, sigues dando miedo. ¿Cómo va todo? ¿Te estás acostumbrando?"
"Kimura Danpaku (talking)","は、はい…… なんとか、ぎこちなくですが、 ３回までは、いけるように……","Yes…… I managed to make it up to three times, albeit awkwardly……","Sí ……. Me las arreglé para subir hasta tres veces, aunque torpemente……"
"Yamamoto Akuji (talking)","それって… ナニの話か？","Is that… what are you talking about?","¿Es eso… de lo que estás hablando?"
"Kimura Danpaku (talking)","え、違うんですか？","Oh, no?","¿Ah, no?"
"Yamamoto Akuji (talking)","……やれやれ。 覚えたてのサルのように、 それの事っきゃ考えられねーのか。","…… Good grief. Like a newly-learned monkey, you can't think about anything but that.","……. Como un mono recién aprendido, no puedes pensar en nada más que en eso."
"Kimura Danpaku (talking)","う……す、すみません……","U…… sorry ……","U…… lo siento ……"
"Yamamoto Akuji (talking)","俺は、職場に慣れたかって 聞いてたんだけどな。","I was asking if you've gotten used to working here.","Te preguntaba si te habías instalado en el trabajo."
"Kimura Danpaku (talking)","は、はい、それは…… 特に困った事もありません。
あ、あの……悪司さん……","Ha, yes, that's…… no particular trouble.
Oh, that ……Akuji Mr……","Ja, sí, eso es…… no es particularmente preocupante.
Oh, ese ……Akuji, ……"
"Yamamoto Akuji (talking)","ん？","Hmm?","¿Eh?"
"Kimura Danpaku (talking)","その…実はぼく、 毎週…行ってしまっているんです……","Well… actually, I go there… every week……","Bueno… en realidad, voy allí… cada semana……"
"Yamamoto Akuji (talking)","ひょっとして…売春宿か？","By any chance… a brothel?","Por casualidad… ¿un burdel?"
"Kimura Danpaku (talking)","は、はい… お金…かかりますよね… だから、働きますよね……
 ……ぼくの人生の中で、こんなに 充実したローテーション、 ありませんでした……
ぼく…あの時、悪司さんに拾って もらえなかったら……
こんな楽しい事も知らないで、 あの汚い海に浮んでいたかも しれないんですよ…
ぼく……ぼく、幸せで……
あ、後ですね… お店の女の子に聞いたんですけど… 悪司さん、すごくお上手だって…","Yes… yes… it costs money… so you work……
 ……I've never had such a fulfilling rotation in my life……
If I hadn't been picked up by Akuji at that time, I wouldn't have ……
If I hadn't been picked up by Akuji at that time, I might have been floating in that dirty sea, not knowing such a fun thing…
I…… am happy and ……
Oh, later… I heard from a girl at the store that Akuji is very good at this…","Sí… sí… cuesta dinero… así que hay que trabajar……
 ……Nunca he tenido una rotación tan satisfactoria en mi vida……
Yo… si Akuji no me hubiera recogido en ese momento……
Si no me hubiera recogido Akuji en ese momento, podría haber estado flotando en ese sucio mar, sin saber lo divertido que podía ser…
Yo…… soy feliz y ……
Me ha dicho una chica de la tienda que Akuji es muy buena en eso…"
"Yamamoto Akuji (talking)","何が？","What?","¿Qué?"
"Kimura Danpaku (talking)","そ、その……ベッドでの技術が… すごいって……
そ、その… 今度、教えてもらえないでしょうか！？","Well, that…… technique in bed is… amazing! ……
Well, I mean… could you tell me about it sometime!","Bueno, esa técnica de…… en la cama es… sorprendente……
Bueno, quiero decir… ¡podrías hablarme de ello alguna vez!"
"Yamamoto Akuji (talking)","どーやって？","How?","¿Cómo?"
"Kimura Danpaku (talking)","………………
 ………さあ……？","………………
 ………さあ……?","………………
 ………さあ……?"
"Kimura Danpaku (talking)","あ、あの、悪司さん…","Oh, um, Mr. Akuji…","Oh, um, Sr. Akuji…"
"Yamamoto Akuji (talking)","んー？","Hmm?","¿Hmm?"
"__system__??","{RND = 1:","",""
"Kimura Danpaku (talking)","教えて欲しいんですが……
一晩で何回ぐらい出来れば、一人前の 男と認められるんでしょう！？ ぼく、３回ぐらいかなと……","I would like to know: ……
How many times do you have to do it in one night to be considered a full-fledged man? I'm thinking about 3 times……","Me gustaría que me dijeras: ……
 ¿Cuántas veces hay que hacerlo en una noche para ser considerado un hombre? Estoy pensando en tres veces……"
