"character","jap text","Eng","Esp"
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"Yamamoto Akuji (talking)","よー、でかちち娘。 囚われの気分はどうだ？","Yo, Dekachi girl. How's it feel to be trapped?","Oye, chica dekachi. ¿Qué se siente al estar atrapado?"
"Ikeda Ichigo (talking)","………………
信じられない。","………………
Unbelievable.","………………
Increíble."
"Yamamoto Akuji (talking)","は？","Huh?","¿Ja?"
"Ikeda Ichigo (talking)","売春だけならまだしも…… いいえ、それだけでも許されないのに こんな風に人を監禁してるだなんて！","If it was just prostitution,…… No, that alone is unacceptable, and yet they are locking people up like this!","Si sólo fuera prostitución, seguiría siendo…… No, sólo eso es inaceptable, ¡y aún así encierran a la gente así!"
"Yamamoto Akuji (talking)","んなこと言ったってよ、 おめーが告発するとか意地はってる以上 野放しにはできねぇもんな。","Even if I said that, since you are so determined to press charges, I can't let it go unchecked.","Aunque dijera eso, ya que estás tan decidido a presentar cargos, no puedo dejarte libre de culpa."
"Ikeda Ichigo (talking)","その上、あたしをあんな…… 数人がかりで乱暴して！
最悪！　悪党！　この悪魔！ 絶対訴えてやるんだからーーーー！","And then they roughed me up with a couple of guys from ……!
Worst!　You scoundrel!　You devil! I'll sue you for sure!","¡Y entonces me dieron una paliza con esos tipos de ……!
 ¡Lo peor!　¡Sinvergüenza!　¡Diablos! ¡Seguro que te demandaré!"
"Yamamoto Akuji (talking)","……おめーなあ。 そんな事言えば言うほど 帰れなくなるって解らんのか？","…… You are a jerk, aren't you? Don't you realize that the more you say things like that, the more you won't be able to go home?","…… Eres un idiota. ¿No te das cuenta de que cuanto más digas esas cosas, más te quedarás sin poder volver a casa?"
"Yamamoto Akuji (talking)","よー、でかちち娘。 ちったあ考え直したか？","Hey, big girl. You're having second thoughts, aren't you?","Oye, chica dekachi. ¿Te has replanteado algo?"
"Ikeda Ichigo (talking)","……はっ、極悪人がまた来たっ。","…… Ha, the nefarious man is at it again.","…… Ha, los nefastos han venido de nuevo."
"narrator","苺は言って、手にしたカメラを悪司に向けて カシャカシャと何度もシャッターを切った。","Ichigo said, pointing the camera in his hand at Akuji and clicking the shutter repeatedly.","Ichigo dijo, apuntando con la cámara en la mano a Akuji y pulsando el obturador repetidamente."
"Yamamoto Akuji (talking)","……あんなあ、とっくに俺らが フィルム抜いてんのは知ってんだろ？ 無駄なことすんなよ、おめー。","…… You know we've already pulled the film out, right? Don't waste your time, dude.","…… Sabes que ya hemos retirado la película, ¿no? No pierdas el tiempo."
"Ikeda Ichigo (talking)","うるさいっ、この性犯罪者！ いつかあたしが……いえマスコミが、 あなたに裁きの鉄槌を下すんだから！","Shut up, you sexual predator! One day I will bring you to justice at…… or in the media!","¡Cállate, depredador sexual! Un día te llevaré a…… y los medios de comunicación te llevarán a la justicia."
"Yamamoto Akuji (talking)","へいへい。","Hey, hey, hey.","Heihei."
"Yamamoto Akuji (talking)","……しかしまあ、 おめーのチチってでけぇよな。","…… But, well, you have a big penis, don't you?","…… Pero, bueno, tienes una gran polla, ¿no?"
"Ikeda Ichigo (talking)","………………
悪の大ボスのくせに、 言うことはそこらの男と一緒ね。
誰も彼もそう、 あたしを見たらやれでかい、やれ揺れる、 他に言うことないのかしら？","………………
You're the big bad boss, but you say the same things as every other guy out there.
I'm just like all the other guys, when they see me, they say I'm big, I'm shaky, what else can they say?","………………
Eres un gran jefe malvado, pero dices las mismas cosas que los demás.
Eres como todo el mundo, cuando me ves, dices: 'Soy grande, estoy temblando, ¿tienes algo más que decir?"
"Yamamoto Akuji (talking)","おめー見て他に言うことだと？ んー、例えばどんな。","What else do you have to say when you look at me? Well, like what?","¿Qué más tienes que decir cuando te miras? Bueno, como qué, por ejemplo."
"Ikeda Ichigo (talking)","えっ？　……知識とか、性格とか。","Eh?…… knowledge and personality.","¿Eh?…… conocimientos y personalidad."
"Yamamoto Akuji (talking)","んなもん見ただけで解るかボケ。 実はアホだろ、お前。","You can't figure that out just by looking at it. Actually, you're an idiot, aren't you?","No se puede saber eso sólo con mirarlo, idiota. En realidad eres un idiota, ¿no?"
"Ikeda Ichigo (talking)","なっ、なななな何ですってーー！？","What the heck is that?","¿Qué demonios?"
"Yamamoto Akuji (talking)","つーかお前、背の高い男に 背高いですねーとか言ったことねぇのか？ 発言のレベル的には大差ないんだぞ。","Have you ever told a tall guy that he is tall? There's not much difference in the level of the statement.","Nunca le has dicho a un hombre alto que es alto, ¿verdad? No hay mucha diferencia en el nivel de la declaración."
"Ikeda Ichigo (talking)","…………うぐ。","………… ug.","………… ug."
"Yamamoto Akuji (talking)","なあ、おめーさあ。 胸でかいのコンプレックスなのか？
別に気にするこたぁねぇんだぞ、 あーらありがとうウフ♪　くらいで 軽く流せや。","Hey, you. Do you have a complex about your big breasts?
There's nothing to be concerned about.","Oye, ¿sabes qué? ¿Estás acomplejada por tus grandes pechos?
No hay que molestarse por ello, sólo dar las gracias y dejarlo pasar."
"Ikeda Ichigo (talking)","あ、あんたにそんな事 言われる筋合いないわよ！","Oh, I don't need you to tell me that!","¡Oh, no necesito que me lo digas!"
"Yamamoto Akuji (talking)","やれやれ、開き直る自信もねぇってか。
しゃあねぇな。 ちと性格改善に付き合ってやるか……","Oh dear, you don't even have the confidence to open up?
Oh well, I guess I can't help it. I'll go out with you to improve your character……","Oh, querido, ¿ni siquiera tienes la confianza de reabrir?
Oh, bueno. Saldré contigo para mejorar tu carácter……"
"narrator","悪司はおもむろに苺の手を取り、 房の外へと歩き始めた。","Akuji took Ichigo's hand and walked out of the cell to Hajime.","Akuji tomó la mano de Ichigo y acompañó a Hajime fuera de la celda."
"Ikeda Ichigo (talking)","な、ちょ……こら、放しなさいっ！ はなせーーーーーセクハラ男ーーーー！！","Hey, hey ……, let go of me! Let go of me, you sexual harasser!","Oye, oye, oye,…… ¡Oye, suéltame! ¡Suéltame, acosador sexual!"
"Yamamoto Akuji (talking)","セクハラくらいで済みゃいいけどな。","I hope it's just sexual harassment.","Espero que sólo sea acoso sexual."
"Ikeda Ichigo (talking)","………………えっ……？","……………… eh ……?","……………… eh ……?"
"narrator","──言うまでもなく、二人の行き着く先は、 悪司の部屋にあるベッドの上である。
そして当然ながら、ここで行われたのは セクハラなどで終わるような 生易しい行為ではなかったのだった。","Needless to say, they ended up on the bed in Akuji's room.
And of course, what took place here was not a simple act of sexual harassment.","─ ─ Ni que decir tiene que acabaron en la cama de la habitación de Akuji.
Y por supuesto, lo que tuvo lugar aquí no fue un simple acto que pudiera terminar en acoso sexual."
"narrator","池田苺は、悪司にこまされた。","Ikeda Ichigo is now Akuji.","Ikeda Ichigo fue Komedoed por Akuji."
"narrator","──事が終わり、起きあがれない苺を後目に 悪司がベッドから下りる。","After the event is over, Akuji gets out of bed with Ichigo unable to get up.","Una vez terminado el asunto, Akuji se levanta de la cama con Ichigo, que no puede levantarse, a su paso."
"Yamamoto Akuji (talking)","……どーよ、でかちち娘。 今の感想は。","…… How's it going, Dekachi-Musume. What do you think now?","…… ¿Qué te parece, Dekachi-Musume? ¿Qué piensas ahora?"
"Ikeda Ichigo (talking)","………………
 ……はあ、っ…………あ……… ………………ん、っう……","………………
 ……Ha, u…………a……… ………………n,uu……","………………
 ……haa, uu…………a……… ………………n,¡u……"
