character,jap text,Eng,Esp
__system__??,{麦 = 1:,,
__system__??,},,
__system__??,{麦 = 3:,,
__system__??,},,
__system__??,{麦 = 10:,,
__system__??,},,
__system__??,{麦 = 11:,,
__system__??,},,
__system__??,{麦 = 12:,,
__system__??,},,
__system__??,{麦 = 13:,,
__system__??,},,
__system__??,{麦 = 15:,,
__system__??,},,
__system__??,{麦 = 16:,,
__system__??,},,
__system__??,{麦 = 17:,,
__system__??,{H拷問抵抗 < H拷問:,,
__system__??,},,
__system__??,{H拷問 = 1:,,
__system__??,},,
__system__??,},,
Kawahara Iori (talking),何か用か？,What do you want?,¿Qué quieres?
Yamamoto Akuji (talking),おう。,Oh.,Oh.
Yamamoto Akuji (talking),やるよ。 店の運営資金にでもしな。,I'll do it. You can use it to fund the operation of the store.,Yo lo haré. Puedes utilizarlo para financiar las operaciones de la tienda.
Kawahara Iori (talking),金か。,Money.,Dinero.
Yamamoto Akuji (talking),ああ。,Oh.,Oh.
Kawahara Iori (talking),いらん。,I don't want it.,No lo quiero.
Yamamoto Akuji (talking),やせ我慢すんなよ。,Don't be stingy.,No seas tacaño.
Kawahara Iori (talking),本気でいらん。,I seriously don't want it.,Realmente no lo quiero.
Yamamoto Akuji (talking),あっそ。,"Oh, I see.","Ah, ok."
Kawahara Iori (talking),………………,………………,………………
Yamamoto Akuji (talking),見事な仏頂面だな。,That's a stunning Buddha's face.,Es una cara de Buda impresionante.
Kawahara Iori (talking),志津は……？ 志津はどうした？　無事だろうな？ 手を出してないだろうな！？,What about Shizu is ……? What happened to Shizu?　I hope she's okay? I hope you didn't touch him!,"¿Está Shizu en ……? ¿Qué pasó con Shizu?　Estás a salvo, ¿verdad? ¡Espero que no lo hayas tocado!"
narrator,悪司は顎をしゃくって、部下に命じた。,Akuji cupped his chin and ordered his men.,Akuji ahuecó la barbilla y ordenó a sus hombres.
Tanzawa Shizu (talking),伊織おにーちゃん！！,Iori-onii-Chan!!,¡¡Iori-onii-Chan!!
Kawahara Iori (talking),志津！,Shizu!,¡Shizu!
Tanzawa Shizu (talking),よかった…無事だったんだね…,Thank God… You're safe…,Gracias a Dios… Estás a salvo…
