character,jap text,Eng,Esp
narrator,悪司は部下を何人か連れ、 温泉宿の玄関にやってきた。,Akuji came to the entrance of the hot spring resort with some of his men.,Akuji llegó a la entrada de la posada del balneario con algunos de sus hombres.
Yamamoto Akuji (talking),おーい。,Hey.,Oy.
 (talking),はーい？,Yes?,¿Sí?
Yumuro Setsuko (talking),いらっしゃいませ。 ご予約のお客様で？,Welcome. Are you a customer with a reservation?,Bienvenido. ¿Es usted un cliente con una reserva?
Yamamoto Akuji (talking),この地区を預かる奉仕青年団ってとこの、 山本悪司ってもんだ。,"The group is called Yamamoto Akuji, which is the Youth Service Corps that takes care of this area.",La organización juvenil encargada de esta zona se llama Yamamoto Akuji.
Yumuro Setsuko (talking),えっ…,Eh…,Eh…
Yamamoto Akuji (talking),で、この宿も、うちの管理下に おく事になった。,"So, we decided to place this inn under our management.",La posada también fue puesta bajo nuestro control.
Yumuro Setsuko (talking),そんな……,Such as ……,Como ……
Yamamoto Akuji (talking),協力金は…まー、この規模の宿だったら、 こんなモンかな。,"The cooperation fee is… well, for an inn of this size, I guess it's about the same.","La tarifa de cooperación es… bueno, para una posada de este tamaño, es más o menos lo mismo."
narrator,と言って、悪司は金額をはじき出した そろばんを、世津子に見せた。,Then Akuji showed Setsuko the abacus with which he had calculated the amount of money.,Akuji mostró a Setsuko el ábaco con el que había calculado la cantidad de dinero.
Yumuro Setsuko (talking),"こっ…こんな金額をお支払いするのは 無理です…
うちは、あまり商売っ気を出して いないので、お客様にサービスする為に ぎりぎりの宿泊料に設定していて…","I can't pay you this kind of money…
We are not very commercial, so we set our rates at the very limit in order to serve our guests…","No puedo pagarte esta cantidad de dinero…
No somos muy comerciales, así que fijamos nuestras tarifas al límite para servir a nuestros huéspedes…"
Yamamoto Akuji (talking),ふーん、あっそ。,"Hmmm, oh yeah.","Hmmm, oh sí."
Yumuro Setsuko (talking),あっそって…そんな…,"Oh, that's… that's… that's…","Oh, eso es… eso es… eso es…"
Yamamoto Akuji (talking),"これ、書類ね。 置いてくから、ここにサインと捺印 しといてくんな。
今日のところは、これで引き上げるわ。 んでもよ、諦めた訳じゃねぇから。 またくるわ。","Here are the documents. I'll leave them here for you to sign and seal.
I'll leave you alone for now. But I'm not giving up. I'll be back.","Aquí están los documentos. Te los dejo, así que firma y séllalos aquí.
Os dejo con esto por hoy. Pero no me voy a rendir. Volveré."
Yumuro Setsuko (talking),っ……,~……,~……
Yamamoto Akuji (talking),じゃーな。,See you.,Nos vemos.
narrator,悪司は玄関から出てしばらく歩いてから、 一人の部下の名前を呼んだ。,"Akuji walked out the front door, walked for a while, and then called out the name of one of his men.",Akuji salió por la puerta principal y caminó un rato antes de decir el nombre de uno de sus hombres.
Yamamoto Akuji (talking),仁。,Jin.,Jin.
Chinpira (talking),オイッス！,Oyessss!,¡Oiessss!
Yamamoto Akuji (talking),あのテの女はどうだ？ コマせそーか？,What about that girl? You want me to put her on?,¿Qué pasa con esa chica? ¿Quieres que te la ponga?
Chinpira (talking),オイッス。 イケます。,Oissss. I can do it.,Oyess. Soy guapo.
Yamamoto Akuji (talking),任せる。 行け。,You're in charge. Go.,Déjalo. Ve.
Chinpira (talking),オイッス。,Oyessss.,Oyez.
