"character","jap text","Eng","Esp"
"__system__??","{麦 = 1:","",""
"__system__??","{☆どん子 = 10:","",""
"__system__??","}","",""
"__system__??","{☆どん子 = 11:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 2:","",""
"__system__??","{B忠誠タイプ = 3:","",""
"__system__??","{B忠誠心 > 70:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 3:","",""
"__system__??","}","",""
"__system__??","{麦 = 4:","",""
"__system__??","}","",""
"__system__??","{麦 = 5:","",""
"__system__??","}","",""
"__system__??","{麦 = 10:","",""
"__system__??","}","",""
"__system__??","{麦 = 11:","",""
"__system__??","}","",""
"__system__??","{麦 = 12:","",""
"__system__??","{H愛欲抵抗 <= H愛欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 13:","",""
"__system__??","{H物欲抵抗 <= H物欲:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 15:","",""
"__system__??","}","",""
"__system__??","{麦 = 16:","",""
"__system__??","}","",""
"__system__??","{麦 = 17:","",""
"__system__??","{H拷問抵抗 < H拷問:","",""
"__system__??","}","",""
"__system__??","{H拷問 = 1:","",""
"__system__??","}","",""
"__system__??","}","",""
"__system__??","{麦 = 18:","",""
"__system__??","}","",""
"__system__??","{麦 = 19:","",""
"__system__??","}","",""
"Honoo Donko (talking)","……どんどんどん、どんどんどん、 どんどんど~ん♪
悪司しゃん、おいっす！ 呼ばれてやって参りました、 炎どん子で~~~~すっ！","……Don't stop, don't stop, don't stop, don't stop, don't stop, don't stop, don't stop… ♪♪
Hey, Akuji! I've been called here by Honoo Donko and ~~~~!","…… dong, dong, dong, dong, dong, dong, dong, dong, dong…
 ¡Oye, Akuji! ¡Me ha llamado Honoo Donko y he venido a Honoo Donko y he venido a ~~~~!"
"Yamamoto Akuji (talking)","……………………","……………………","……………………"
"Honoo Donko (talking)","……どんどんどん、どんどんどん、 どんどんど~ん♪","…… dong, dong, dong, dong, dong, dong, dong, dong, dong, dong, dong, dong… ♪","…… dong dong dong dong dong dong dong dong dong dong dong dong dong dong dong dong dong dong dong"
"Yamamoto Akuji (talking)","……そりゃ一体何の歌だ。","…… What the hell kind of song is that?","…… ¿Qué tipo de canción es esa?"
"Honoo Donko (talking)","どん子のテーマソングでーす。","This is the theme song of Donko.","El tema de Donko."
"Yamamoto Akuji (talking)","あっそ。","Oh, yeah.","Ah, sí."
"Honoo Donko (talking)","……どんどんどん、どんどんどん、 どんどんど~ん♪ いつも歌ってま~~~~~~すっ。","……Don-don-don-don-don-don-don-don-don-don-don-don-don-don-don-don… ♪ I'm always singing ~~~~~~.","……No te detengas, no te detengas, no te detengas, no te detengas, no te detengas, no te detengas, no te detengas, no te detengas… Siempre canto ~~~~~~."
"Yamamoto Akuji (talking)","いつもって、まさか仕事中もか？","All the time? You don't mean all the time, even at work?","Todo el tiempo, ¿no querrá decir todo el tiempo, incluso en el trabajo?"
"Honoo Donko (talking)","うーん…………だいたいは。","Hmmm………… approximately.","Hmmm………… aproximadamente."
"Yamamoto Akuji (talking)","真面目に仕事してんだろうなぁ、 おめー…………","I hope you're taking your job seriously, boy…………","Espero que te tomes tu trabajo en serio, chico…………"
"Honoo Donko (talking)","もちろんですよーっ。 お仕事してます、それはもうしっかりと！","Of course I am! We're working, and we're doing it well, that's for sure!","Por supuesto. Estoy trabajando, y estoy trabajando duro, ¡eso es seguro!"
"Yamamoto Akuji (talking)","……限りなく疑わしい……","…… infinitely doubtful ……","…… infinitamente dudoso ……"
"Yamamoto Akuji (talking)","さて、どん子のヤツが ぼちぼち来る頃だが……","Well, the Donko guy should be here soon……","Bueno, el tipo Donko debería llegar pronto……"
" (talking)","……どんどんどん、どんどんどん、 どんどんど~ん…………♪","……Don't go on, don't go on, don't go on, don't go on, don't go on…………♪","……No sigas, no sigas, no sigas, no sigas …………♪"
"Yamamoto Akuji (talking)","……来たみてぇだな。 解りやすいヤツめ……","Looks like…… is here. You're an easy guy to figure out……","Parece que…… está aquí. Eres un tipo fácil de entender……"
